fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - BASE*2017*2017-01-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.11**49792.685000000005*20.5**670000.0*False*9.8221*0.48*0.0*0.48*0.04****True*Y*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - BASE*2017 T4*2017-07-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.07**89432.24000000002*52.0**670000.0*False*9.8221*0.16999999999999998*0.0*0.16999999999999998*0.019999999999999997****True*T*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PLUS*2017*2017-01-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.11**88164.385*59.5**174000.0*False*9.8271*0.31*0.0*0.31*0.03****True*Y*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PLUS*2017 T4*2017-07-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.07**-758613.97*-396.0**174000.0*False*9.8271*0.15*0.0*0.15*0.019999999999999997****True*T*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PREMIER*2017*2017-01-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.11**0.0*0.0**0.0*False*9.8353*0.2*0.0*0.2*0.02****True*Y*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PREMIER*2017 T4*2017-07-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.07**-1830990.0*-2.0**0.0*False*9.8353*0.1*0.0*0.1*0.01****True*T*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - CARTERA*2017*2017-01-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.11**5224108.4399999995*16319.5**84398000.0*False*9.8256*0.31*0.0*0.31*0.02****True*Y*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - CARTERA*2017 T4*2017-07-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.07**13073570.32*18988.0**84398000.0*False*9.8256*0.13999999999999999*0.0*0.13999999999999999*0.01****True*T*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - EMPRESA*2017*2017-01-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.11**0.0*0.0**0.0*False*9.827*0.0*0.0*0.0*0.0****True*Y*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - EMPRESA*2017 T4*2017-07-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.07**0.0*0.0**0.0*False*9.827*0.0*0.0*0.0*0.0****True*T*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PYME*2017*2017-01-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.11**0.0*0.0**0.0*False*9.8243*0.0*0.0*0.0*0.0****True*Y*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PYME*2017 T4*2017-07-01*2017-12-31*3 en una escala del 1 al 7*0.0*-0.07**0.0*0.0**0.0*False*9.8243*0.0*0.0*0.0*0.0****True*T*2017
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - BASE*2018 T2*2018-01-01*2018-06-30*3 en una escala del 1 al 7*0.0*-0.41000000000000003**-2424.6199999999953*48.0**224000.0*False*9.787*0.17999999999999997*0.0*0.17999999999999997*0.01****True*T*2018
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PLUS*2018 T2*2018-01-01*2018-06-30*3 en una escala del 1 al 7*0.0*-0.41000000000000003**31677.64*-2.0**327000.0*False*9.7969*0.15*0.0*0.15*0.01****True*T*2018
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PREMIER*2018 T2*2018-01-01*2018-06-30*3 en una escala del 1 al 7*0.0*-0.41000000000000003**0.0*0.0**0.0*False*9.8124*0.0*0.0*0.0*0.0****True*T*2018
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - CARTERA*2018 T2*2018-01-01*2018-06-30*3 en una escala del 1 al 7*0.0*-0.41000000000000003**8537317.39*17464.0**83791000.0*False*9.81*0.07999999999999999*0.0*0.07999999999999999*0.01****True*T*2018
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - EMPRESA*2018 T2*2018-01-01*2018-06-30*3 en una escala del 1 al 7*0.0*-0.41000000000000003**0.0*0.0**0.0*False*9.7969*0.0*0.0*0.0*0.0****True*T*2018
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PYME*2018 T2*2018-01-01*2018-06-30*3 en una escala del 1 al 7*0.0*-0.41000000000000003**2028.22*2.0**10000.0*False*9.7918*0.12*0.0*0.12*0.01****True*T*2018
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - BASE*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.4*-0.19**36517.22000000001*67.0**362000.0*False*9.6621*0.17999999999999997*0.0*0.17999999999999997*0.01****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - BASE*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.49*-0.38000000000000006**40248.72*66.0**388000.0*False*9.9058*0.16999999999999998*0.0*0.16999999999999998*0.019999999999999997****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PLUS*2020*2020-01-01*2020-12-31*3, en una escala del 1 al 7*0.245*-0.19**20063.54*2.0**199000.0*False*9.9406*0.6*0.0*0.6*0.05****True*Y*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PLUS*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.4*-0.19**20063.54*2.0**194000.0*False*9.6913*0.15*0.0*0.15*0.01****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PLUS*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.49*-0.38000000000000006**20063.54*2.0**199000.0*False*9.9406*0.15*0.0*0.15*0.019999999999999997****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PREMIER*2020*2020-01-01*2020-12-31*3, en una escala del 1 al 7*0.245*-0.19**0.0*0.0**0.0*False*9.9939*0.0*0.0*0.0*0.0****True*Y*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PREMIER*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.4*-0.19**0.0*0.0**0.0*False*9.7358*0.0*0.0*0.0*0.0****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PREMIER*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.49*-0.38000000000000006**0.0*0.0**0.0*False*9.9939*0.0*0.0*0.0*0.0****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - CARTERA*2020*2020-01-01*2020-12-31*3, en una escala del 1 al 7*0.245*-0.19**6036382.195*11449.0**57408000.0*False*10.029*0.3*0.0*0.3*0.05****True*Y*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - CARTERA*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.4*-0.19**6188390.59*11725.0**61979000.0*False*9.7627*0.07999999999999999*0.0*0.07999999999999999*0.01****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - CARTERA*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.49*-0.38000000000000006**5333676.83*10347.0**57408000.0*False*10.029*0.06999999999999999*0.0*0.06999999999999999*0.019999999999999997****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - EMPRESA*2020*2020-01-01*2020-12-31*3, en una escala del 1 al 7*0.245*-0.19**0.0*0.0**0.0*False*9.9406*0.0*0.0*0.0*0.0****True*Y*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - EMPRESA*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.4*-0.19**0.0*0.0**0.0*False*9.6912*0.0*0.0*0.0*0.0****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - EMPRESA*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.49*-0.38000000000000006**0.0*0.0**0.0*False*9.9406*0.0*0.0*0.0*0.0****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PYME*2020*2020-01-01*2020-12-31*3, en una escala del 1 al 7*0.245*-0.19**5697.19*2.5**75000.0*False*9.9249*0.65*0.0*0.65*0.04****True*Y*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PYME*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.4*-0.19**4335.4400000000005*2.0**37000.0*False*9.6783*0.16*0.0*0.16*0.01****True*T*2020
SABADELL BONOS INFLACIÓN EURO F.I.*SABADELL BONOS INFLACIÓN EURO, FI - PYME*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.49*-0.38000000000000006**11369.08*4.0**75000.0*False*9.9249*0.17*0.0*0.17*0.01****True*T*2020
