fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2013 T4*2013-07-01*2013-12-31*5 en una escala de 1 a 7.*0.0*0.08**640224.23*191.0*0.0*41815217.0*False*105.4291*0.11**0.11*0.01****False*T*2013
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2014*2014-01-01*2014-12-31*4, en una escala de 1 a 7.*0.49*0.07**393864.19*113.0*0.0*43210287.0*False*110.4968*0.45**0.45*0.04****False*Y*2014
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2014 T2*2014-01-01*2014-06-30*5, en una escala de 1 a 7.*0.9500000000000001*0.14**396727.97000000003*113.0*0.0*44078378.0*False*111.12*0.11**0.11*0.01****False*T*2014
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2014 T4*2014-07-01*2014-12-31*4, en una escala de 1 a 7.*0.31*0.01**388107.44*119.0*0.0*43210287.0*False*110.4968*0.12000000000000001**0.12000000000000001*0.01****False*T*2014
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2015*2015-01-01*2015-12-31*4, en una escala de 1 a 7.*0.205*0.0**391047.78500000003*140.5*0.0*45111449.0*False*115.0906*0.45**0.45*0.04****False*Y*2015
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2015 T2*2015-01-01*2015-06-30*4, en una escala de 1 a 7.*0.5599999999999999*0.0**389819.44*156.0*0.0*46577366.0*False*119.3891*0.11**0.11*0.01****False*T*2015
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2015 T4*2015-07-01*2015-12-31*4, en una escala de 1 a 7.*-0.15*0.0**394523.62000000005*152.0*0.0*45111449.0*False*115.0906*0.12000000000000001**0.12000000000000001*0.01****False*T*2015
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2016*2016-01-01*2016-12-31*5, en una escala de 1 a 7.*0.29*-0.13**380670.53*130.5*0.0*43994435.0*False*116.9922*0.5**0.5*0.04****False*Y*2016
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2016 T2*2016-01-01*2016-06-30*5, en una escala de 1 a 7.*0.9999999999999999*-0.06000000000000001**378993.36*131.0*0.0*41143810.0*False*106.7852*0.13**0.13*0.01****False*T*2016
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2016 T4*2016-07-01*2016-12-31*5, en una escala de 1 a 7.*-0.12*-0.38**371410.85000000003*117.0*0.0*43994435.0*False*116.9922*0.12**0.12*0.01****False*T*2016
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2017*2017-01-01*2017-12-31*5, en una escala de 1 a 7.*0.225*-0.335**350264.42000000004*146.0*0.0*40073740.0*False*125.6277*0.5**0.5*0.04****False*Y*2017
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2017 T2*2017-01-01*2017-06-30*5, en una escala de 1 a 7.*0.0*-0.4**381807.70000000007*154.0*0.0*46572934.0*False*122.0654*0.13**0.13*0.02****False*T*2017
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2017 T4*2017-07-01*2017-12-31*5, en una escala de 1 a 7.*0.71*-0.14**207894.61*160.0*0.0*40073740.0*False*125.6277*0.12**0.12*0.01****False*T*2017
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2018 T2*2018-01-01*2018-06-30*5, en una escala de 1 a 7.*0.72*-0.4**446858.36999999994*140.0*0.0*54861819.0*False*122.6801*0.13**0.13*0.01****False*T*2018
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2019*2019-01-01*2019-12-31*5, en una escala de 1 a 7.*0.19*-0.445**467214.88*140.5*0.0*64239812.0*False*133.532*0.5*0.0*0.5*0.04****False*Y*2019
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2019 T2*2019-01-01*2019-06-30*5, en una escala de 1 a 7.*0.68*-0.41000000000000003**452600.05999999994*128.0*0.0*56573026.0*False*124.7894*0.13*0.0*0.13*0.01****False*T*2019
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2019 T4*2019-07-01*2019-12-31*5, en una escala de 1 a 7.*0.0*-0.53**484726.74000000005*175.0*0.0*64239812.0*False*133.532*0.12*0.0*0.12*0.01****False*T*2019
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2020*2020-01-01*2020-12-31*5, en una escala de 1 a 7.*0.385*-0.44**480633.52*141.0*0.0*64961472.0*False*134.9441*0.5*0.0*0.5*0.04****False*Y*2020
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2020 T2*2020-01-01*2020-06-30*5, en una escala de 1 a 7.*0.69*-0.38**479364.31000000006*138.0*0.0*60172138.0*False*125.3922*0.13*0.0*0.13*0.01****False*T*2020
MUTUAFONDO MIXTO FLEXIBLE, FI*MUTUAFONDO MIXTO FLEXIBLE FI*2020 T4*2020-07-01*2020-12-31*5, en una escala de 1 a 7.*0.51*-0.5**481379.12*135.0*0.0*64961472.0*False*134.9441*0.12*0.0*0.12*0.01****False*T*2020
