fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKINTER BOLSA ESPAÑA, FI*BK BOLSA ESPAÑA 2, FI*2010*2010-01-01*2010-12-31*Alto*0.905*0.375**12442.98*765.0*0.0*11145617.0*False*943.0144***1.46*0.04****False*Y*2010
BANKINTER BOLSA ESPAÑA, FI*BK BOLSA ESPAÑA 2, FI*2010 T2*2010-01-01*2010-06-30*Alto*0.8099999999999999*0.16**11805.41*747.0*0.0*11617443.0*False*889.0796***0.36*0.01****False*T*2010
BANKINTER BOLSA ESPAÑA, FI*BK BOLSA ESPAÑA 2, FI*2010 T4*2010-07-01*2010-12-31*Alto*1.8199999999999998*0.6200000000000001**11310.159999999998*694.0*0.0*11145617.0*False*943.0144***0.37*0.01****False*T*2010
BANKINTER BOLSA ESPAÑA, FI*BK BOLSA ESPAÑA 2, FI*2011*2011-01-01*2011-12-31*Alto*0.485*0.99**13075.78*839.5*0.0*10537237.0*False*832.5808***1.46*0.04****False*Y*2011
BANKINTER BOLSA ESPAÑA, FI*BK BOLSA ESPAÑA 2, FI*2011 T2*2011-01-01*2011-06-30*Alto*0.9299999999999999*1.02**14404.520000000002*857.0*0.0*13222539.0*False*979.7778***0.36*0.01****False*T*2011
BANKINTER BOLSA ESPAÑA, FI*BK BOLSA ESPAÑA 2, FI*2011 T4*2011-07-01*2011-12-31*Alto*-0.01*1.1999999999999997**11615.170000000002*793.0*0.0*10537237.0*False*832.5808***0.37*0.01****False*T*2011
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA, FI*2015 T2*2015-01-01*2015-06-30*7, en una escala del 1 al 7*0.13999999999999996*0.45**297163.25000000006*19863.0*0.0*396880779.0*False*1352.2849*0.4*0.0*0.4*0.030000000000000006****False*T*2015
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA, FI*2015 T4*2015-07-01*2015-12-31*7, en una escala del 1 al 7*0.0*0.38**252020.15999999997*18863.0*0.0*306404442.0*False*1233.0293*0.41000000000000003*0.0*0.41000000000000003*0.04****False*T*2015
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA, FI*2016*2016-01-01*2016-12-31*7, en una escala del 1 al 7*0.095*0.18**189930.29499999998*10269.0*0.0*238190803.0*False*1241.6431*1.6*0.0*1.6*0.15000000000000002****False*Y*2016
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA, FI*2016 T2*2016-01-01*2016-06-30*7, en una escala del 1 al 7*-0.07*0.21000000000000002**147183.56*2533.0*0.0*199774796.0*False*1062.4881*0.4*0.0*0.4*0.030000000000000006****False*T*2016
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA, FI*2016 T4*2016-07-01*2016-12-31*7, en una escala del 1 al 7*0.0*0.11000000000000001**197341.38999999998*10273.0*0.0*238190803.0*False*1241.6431*0.4*0.0*0.4*0.04****False*T*2016
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA FI*2017*2017-01-01*2017-12-31*7, en una escala del 1 al 7*0.005*0.045**203251.81*10192.0*0.0*279243400.0*False*1380.0768*1.6*0.0*1.6*0.15000000000000002****False*Y*2017
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA, FI*2017 T2*2017-01-01*2017-06-30*7, en una escala del 1 al 7*0.0*0.07999999999999999**200409.94999999998*10338.0*0.0*284452401.0*False*1393.2505*0.4*0.0*0.4*0.030000000000000006****False*T*2017
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA FI*2017 T4*2017-07-01*2017-12-31*7, en una escala del 1 al 7*0.02*-0.05**198789.99000000002*9685.0*0.0*279243400.0*False*1380.0768*0.41000000000000003*0.0*0.41000000000000003*0.04****False*T*2017
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA FI*2017*2017-01-01*2017-12-31*7, en una escala del 1 al 7*0.005*0.045**203251.81*10192.0*0.0*279243400.0*False*1380.0768*1.6*0.0*1.6*0.15000000000000002****False*Y*2017
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA, FI*2017 T2*2017-01-01*2017-06-30*7, en una escala del 1 al 7*0.0*0.07999999999999999**200409.94999999998*10338.0*0.0*284452401.0*False*1393.2505*0.4*0.0*0.4*0.030000000000000006****False*T*2017
BANKINTER BOLSA ESPAÑA, FI*BANKINTER BOLSA ESPAÑA FI*2017 T4*2017-07-01*2017-12-31*7, en una escala del 1 al 7*0.02*-0.05**198789.99000000002*9685.0*0.0*279243400.0*False*1380.0768*0.41000000000000003*0.0*0.41000000000000003*0.04****False*T*2017
BANKINTER BOLSA ESPAÑA, FI*CLASE R*2018*2018-01-01*2018-12-31*7, en una escala del 1 al 7*0.075*-0.13**177885.0*9972.5*0.0*200478509.0*False*1214.2258*1.6*0.0*1.6*0.15000000000000002****True*Y*2018
BANKINTER BOLSA ESPAÑA, FI*CLASE R*2018 T4*2018-07-01*2018-12-31*7, en una escala del 1 al 7*0.24*0.0**162259.01*5256.0*0.0*200478509.0*False*1214.2258*0.41000000000000003*0.0*0.41000000000000003*0.04****True*T*2018
BANKINTER BOLSA ESPAÑA, FI*CLASE C*2018*2018-01-01*2018-12-31*7, en una escala del 1 al 7*0.075*-0.13**17540.065000000002*4803.5*0.0*31373318.0*False*1247.5633*0.43000000000000005*0.0*0.43000000000000005*0.08****True*Y*2018
BANKINTER BOLSA ESPAÑA, FI*CLASE C*2018 T4*2018-07-01*2018-12-31*7, en una escala del 1 al 7*0.24*0.0**23215.27*8004.0*0.0*31373318.0*False*1247.5633*0.2*0.0*0.2*0.04****True*T*2018
BANKINTER BOLSA ESPAÑA, FI*CLASE R*2019 T2*2019-01-01*2019-06-30*7, en una escala del 1 al 7*0.09000000000000001*0.0**130669.4*4540.0*0.0*184951077.0*False*1300.8161*0.4*0.0*0.4*0.030000000000000006****True*T*2019
BANKINTER BOLSA ESPAÑA, FI*CLASE C*2019 T2*2019-01-01*2019-06-30*7, en una escala del 1 al 7*0.09000000000000001*0.0**13214.120000000003*6955.0*0.0*23973218.0*False*1342.2775*0.2*0.0*0.2*0.030000000000000006****True*T*2019
BANKINTER BOLSA ESPAÑA, FI*CLASE R*2020 T4*2020-07-01*2020-12-31*6, en una escala del 1 al 7*0.0*0.0**72044.34*3161.0*0.0*91404100.0*True*1157.6812*0.41000000000000003*0.0*0.41000000000000003*0.04****True*T*2020
BANKINTER BOLSA ESPAÑA, FI*CLASE C*2020 T4*2020-07-01*2020-12-31*6, en una escala del 1 al 7*0.0*0.0**1313.2199999999998*94.0*0.0*1163578.0*True*1209.0418*0.2*0.0*0.2*0.04****True*T*2020
