fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PATRISA, FI*PATRISA, F.I.*80852601*Semester 2 2009*2009-07-01*2009-12-31*484*barclayswealthmanagers.comunicaciones@barclays.es*n.d.*Alto*0.05*0.25**1078956.84*121*0.0*16382984*false*15.1841***0.76*0.08*-0.95*8.78*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 3 2009*2009-07-01*2009-09-30*484*barclayswealthmanagers.comunicaciones@barclays.es*n.d.*Alto*0.03*0.25**1121465.62*119*0.0*17191773*false*15.32***0.38*0.04*6.15*8.54*0.44*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 1 2009*2009-01-01*2009-06-30*484*barclayswealthmanagers.comunicaciones@barclays.es*n.d.*Alto*0.13*0.87**1189672.04*122*0.0*17180249*false*14.4412***0.74*0.07*13.61*10.19*0.45*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 2 2010*2010-07-01*2010-12-31*484*barclayswealthmanagers.comunicaciones@barclays.es*n.d.*Alto*0.01*0.35**859612.37*104*0.0*12952387*false*15.0677***0.76*0.08*1.25*7.39*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 3 2010*2010-07-01*2010-09-30*484*barclayswealthmanagers.comunicaciones@barclays.es*n.d.*Alto*0.0*0.28**883944.43*103*0.0*13154567*false*14.8817***0.38*0.04*2.91*9.4*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 1 2010*2010-01-01*2010-06-30*484*barclayswealthmanagers.comunicaciones@barclays.es*n.d.*Alto*0.28*0.08**886167.74*105*0.0*12814492*false*14.4606***0.74*0.07*-5.88*12.89*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 1 2010*2010-01-01*2010-03-31*484*barclayswealthmanagers.comunicaciones@barclays.es*n.d.*Alto*0.26*0.1**896791.03*113*0.0*13778167*false*15.3639***0.37*0.04*1.18*8.02*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 3 2011*2011-07-01*2011-09-30*484*barclayswealthmanagers.comunicaciones@barclays.es*AA- (S&P)*Alto*0.01*0.04**806084.88*109*0.0*11230233*false*13.9318***0.38*0.04*-7.71*16.58*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 1 2011*2011-01-01*2011-06-30*484*barclayswealthmanagers.comunicaciones@barclays.es*AA- (S&P)*Alto*0.08*0.24**815471.35*100*0.0*12309733*false*15.0952***0.74*0.07*-0.26*6.4*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Trimester 1 2011*2011-01-01*2011-03-31*484*barclayswealthmanagers.comunicaciones@barclays.es*n.d.*Alto*0.03*0.42**848954.68*103*0.0*12847986*false*15.1339***0.37*0.04*0.44*7.75*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
PATRISA, FI*PATRISA, F.I.*80852601*Semester 2 2010*2010-07-01*2010-12-31*484*barclayswealthmanagers.comunicaciones@barclays.es*n.d.*Alto*0.01*0.35**859612.37*104*0.0*12952387*false*15.0677***0.76*0.08*1.25*7.39*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0168812032
