fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Semester 2 2016*2016-07-01*2016-12-31*5055*35049900@bancopopular.es*A+*4*0.1*0.0**3000.0*1*0.0*299805*true*99.9349*0.0**0.0*0.0*-0.06*0.09*0.08*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Trimester 3 2016*2016-07-01*2016-09-30*5055*35049900@bancopopular.es*A+*4*0.1*0.0**3000.0*1*0.0*299979*true*99.993*0.0**0.0*0.0****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Trimester 3 2017*2017-07-01*2017-09-30*5055*35049900@bancopopular.es*A+*4*0.19*0.0**870932.34*2443*0.0*85911617*true*98.6433*0.37**0.37*0.01*0.16*4.94*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Semester 1 2017*2017-01-01*2017-06-30*5055*35049900@bancopopular.es*A+*4*1.47*0.0**790105.25*2291*0.0*77817588*true*98.4902*0.72**0.72*0.02*-2.36*4.03*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Trimester 1 2017*2017-01-01*2017-03-31*5055*35049900@bancopopular.es*A+*4*2.14*0.0**621583.52*1856*0.0*62701449*true*100.8737*0.35**0.35*0.01*0.94*3.2*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Semester 2 2016*2016-07-01*2016-12-31*5055*35049900@bancopopular.es*A+*4*0.1*0.0**3000.0*1*0.0*299805*true*99.9349*0.0**0.0*0.0*-0.06*0.09*0.08*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Trimester 3 2018*2018-07-01*2018-09-30*5055*35049900@bancopopular.es*A+*4*0.28*0.0**813115.97*2285*0.58*76871508*true*94.5394*0.37**0.37*0.01*0.94*3.81*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Semester 1 2018*2018-01-01*2018-06-30*5055*35049900@bancopopular.es*A+*4*0.73*0.0**821140.8*2333*0.7*77382220*true*94.2375*0.72**0.72*0.02*1.19*5.05*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Trimester 1 2018*2018-01-01*2018-03-31*5055*35049900@bancopopular.es*A+*4*0.12*0.0**843441.62*2428*0.7*78551991*true*93.1327*0.36**0.36*0.01*-3.7*6.64*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Semester 2 2017*2017-07-01*2017-12-31*5055*35049900@bancopopular.es*A+*4*0.32*0.0**906265.49*2536*1.37*88298123*true*97.4307*0.74**0.74*0.02*-1.23*3.44*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Semester 2 2019*2019-07-01*2019-12-31*5055*35049900@bancopopular.es*A+*4*0.43*0.0**714928.86*1996*1.47*67594669*true*94.5474*0.74**0.74*0.02*0.34*3.9*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Trimester 3 2019*2019-07-01*2019-09-30*5055*35049900@bancopopular.es*A+*4*0.13*0.0**804387.51*2214*0.81*75795900*true*94.2281*0.37**0.37*0.01*1.47*4.96*0.46*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Semester 1 2019*2019-01-01*2019-06-30*5055*35049900@bancopopular.es*A+*4*1.09*0.0**846826.66*2330*1.13*79315958*true*93.6626*0.72**0.72*0.02*-0.21*3.83*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Trimester 1 2019*2019-01-01*2019-03-31*5055*35049900@bancopopular.es*A+*4*0.49*0.0**855130.48*2326*0.77*80258349*true*93.8551*0.36**0.36*0.01*5.06*4.8*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*Santander Income, F.I.*87599924*Semester 2 2020*2020-07-01*2020-12-31*5055*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.58*-0.5**507726.26*1541*1.54*43180134*true*85.0461*0.73**0.73*0.05*3.02*6.07*0.49*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*Popular Income, F.I.*87599924*Trimester 3 2020*2020-07-01*2020-09-30*5055*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.18*-0.5**573817.06*1658*0.75*47812873*true*83.3242*0.37**0.37*0.03*0.55*6.39*0.47*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*Popular Income, F.I.*87599924*Semester 1 2020*2020-01-01*2020-06-30*5055*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.81*-0.25**613228.92*1726*1.12*51271358*true*83.6088*0.73**0.73*0.03*6.14*11.88*0.48*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
SANTANDER INCOME, FI*POPULAR INCOME FI*87599924*Trimester 1 2020*2020-01-01*2020-03-31*5055*35049900@bancopopular.es*A+*4*0.67*0.0**629086.77*1772*0.76*49765776*true*79.108*0.36**0.36*0.01*-16.33*24.84*0.46*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0170382008
