fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Semester 2 2009*2009-07-01*2009-12-31*2027*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.08**13704536.62*3153*0.0*21910719*false*1.5988***0.83*0.05*7.63*15.05*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA NUEVA ECONOMIA F.I.*95077574*Trimester 3 2009*2009-07-01*2009-09-30*2027*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.08**11258886.9*2634*0.0*16724301*false*1.4854***0.41*0.03*12.52*14.57*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA NUEVA ECONOMIA F.I.*95077574*Semester 1 2009*2009-01-01*2009-06-30*2027*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.35**7956900.64*2426*0.0*10504434*false*1.3202***0.82*0.05*16.33*20.91*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Semester 2 2010*2010-07-01*2010-12-31*2027*bbk.gestion@grupobbk.com*A (IBCA)*Muy alto*0.0*0.17**10359430.57*2358*0.0*19246241*false*1.8578***0.83*0.05*9.48*11.33*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Trimester 3 2010*2010-07-01*2010-09-30*2027*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.13**11462059.12*2127*0.0*19450737*false*1.697***0.42*0.03*12.49*16.51*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Semester 1 2010*2010-01-01*2010-06-30*2027*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.12**12348307.26*1933*0.0*18627794*false*1.5085***0.82*0.05*-10.68*25.65*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Trimester 1 2010*2010-01-01*2010-03-31*2027*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.1**10238821.25*1631*0.0*17293173*false*1.689***0.41*0.02*5.64*14.26*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Semester 2 2011*2011-07-01*2011-12-31*2027*bbk.gestion@grupobbk.com*A (IBCA)*Muy alto*0.2*0.31**8465274.83*2723*0.0*15991145*false*1.889*0.83*0.0*0.83*0.05*5.0*21.89*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Trimester 3 2011*2011-07-01*2011-09-30*2027*bbk.gestion@grupobbk.com*A (IBCA)*Muy alto*0.12*0.34**8600021.59*2819*0.0*15471961*false*1.7991***0.42*0.03*-7.22*29.81*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Semester 1 2011*2011-01-01*2011-06-30*2027*bbk.gestion@grupobbk.com*A (IBCA)*Muy alto*0.0*0.32**8985488.17*2834*0.0*17424063*false*1.9391***0.82*0.05*-0.78*13.24*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Trimester 1 2011*2011-01-01*2011-03-31*2027*bbk.gestion@grupobbk.com*A (IBCA)*Muy alto*0.0*0.24**9261986.74*2665*0.0*18101874*false*1.9544***0.41*0.02*5.2*15.13*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Semester 2 2012*2012-07-01*2012-12-31*2027*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*0.73*0.09**7929320.88*2841*0.0*17025132*false*2.1471*0.83*0.0*0.83*0.05*-5.09*14.86*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Trimester 3 2012*2012-07-01*2012-09-30*2027*bbk.gestion@grupobbk.com*BBB- (S&P)*Muy alto*0.39*0.1**7990050.12*2750*0.0*18075522*false*2.2623*0.41*0.0*0.41*0.03*6.31*12.98*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Semester 1 2012*2012-01-01*2012-06-30*2027*bbk.gestion@grupobbk.com*BBB (Fitch)*Muy alto*0.59*0.13**8366363.78*2748*0.0*17802903*false*2.1279*0.82*0.0*0.82*0.05*-4.83*18.81*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA NUEVA ECONOMIA, FI*BBK BOLSA EEUU NUEVA ECONOMIA F.I.*95077574*Trimester 1 2012*2012-01-01*2012-03-31*2027*bbk.gestion@grupobbk.com*A- (IBCA)*Muy alto*0.1*0.1**8578704.75*2765*0.0*19181969*false*2.236*0.41*0.0*0.41*0.02*18.37*9.0*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
