fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GVC GAESCO RENTA FIJA, FI*"P&G
                Crecimiento F.I."*58242751*Semester 2 2009*2009-07-01*2009-12-31*16*info@gvcgaesco.es*BBB +*bajo*0.27*0.36**842475.21*391*0.0*17086759*false*20.2816***0.5*0.08*0.03*0.18*0.28*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*"P&G
                Crecimiento F.I."*58242751*Trimester 3 2009*2009-07-01*2009-09-30*16*info@gvcgaesco.es*BBB +*bajo*0.17*0.36**918838.47*392*0.0*18629295*false*20.2748***0.25*0.04*0.21*0.33*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*"P &
                G Crecimiento, F.I."*58242751*Semester 1 2009*2009-01-01*2009-06-30*16*info@gvcgaesco.es*BBB +*bajo*0.62*0.24**911986.05*395*0.0*18451527*false*20.2322***0.5*0.07*0.1*0.12*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2010*2010-07-01*2010-12-31*16*info@gvcgaesco.es*Aa2*bajo*0.05*0.35**543534.62*304*0.0*11021778*false*20.278***0.5*0.08*-0.06*0.43*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2010*2010-07-01*2010-09-30*16*info@gvcgaesco.es*BBB +*bajo*0.1*0.31**645392.96*328*0.0*13095311*false*20.2904***0.25*0.04*0.49*0.33*0.26*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*"P&G
                Crecimiento F.I."*58242751*Semester 1 2010*2010-01-01*2010-06-30*16*info@gvcgaesco.es*BBB +*bajo*0.53*0.24**670336.55*340*0.0*13535408*false*20.192***0.5*0.07*-0.41*0.59*0.27*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*"P&G
                Crecimiento F.I."*58242751*Trimester 1 2010*2010-01-01*2010-03-31*16*info@gvcgaesco.es*BBB +*bajo*0.1*0.36**825225.1*373*0.0*16730909*false*20.2744***0.25*0.04*-0.04*0.25*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 2 2011*2011-07-01*2011-12-31*16*info@gvcgaesco.es*A*Bajo*0.11*1.2**388792.13*265*0.0*8022323*false*20.634*0.5*0.0*0.5*0.08*0.59*1.54*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 3 2011*2011-07-01*2011-09-30*16*info@gvcgaesco.es*A*Bajo*0.05*1.2**409459.76*268*0.0*8399470*false*20.5135***0.25*0.04*0.47*0.81*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Semester 1 2011*2011-01-01*2011-06-30*16*info@gvcgaesco.es*A*Bajo*0.07*1.04**413550.89*279*0.0*8444108*false*20.4185***0.5*0.07*0.19*0.43*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
GVC GAESCO RENTA FIJA, FI*GVC Gaesco Renta Fija, F.I.*58242751*Trimester 1 2011*2011-01-01*2011-03-31*16*info@gvcgaesco.es*A*bajo*0.0*0.64**420023.6*288*0.0*8560347*false*20.3806***0.25*0.04*0.51*0.7*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0169764034
