fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GRANTIA EAGLE, FI*CLASE A GRANTIA EAGLE FI*88254958*Semester 2 2019*2019-07-01*2019-12-31*5388*N/D*ND*3 en una escala de 1 a 7*0.48*-0.05**21108.74*28*0.0*2158131*false*102.2388*0.56*0.17*0.73*0.04*[]*[]*[]*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE A GRANTIA EAGLE FI*88254958*Trimester 3 2019*2019-07-01*2019-09-30*5388*N/D*ND*3 en una escala de 1 a 7*3.19*-2.74**3302.09*7*0.0*333615*false*101.0314*0.07*0.09*0.16*0.02*1.03*1.94*0.1*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE B GRANTIA EAGLE FI*88254958*Trimester 3 2019*2019-07-01*2019-09-30*5388*N/D*ND*3 en una escala de 1 a 7*3.19*-2.74**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE A GRANTIA EAGLE FI*88254958*Semester 1 2019*2019-01-01*2019-06-30*5388*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**3300.0*5*0.0*330000*false*100.0*0.0*0.0*0.0*0.0*[]*[]*[]*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE B GRANTIA EAGLE FI*88254958*Semester 1 2019*2019-01-01*2019-06-30*5388*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE A GRANTIA EAGLE FI*88254958*Semester 2 2020*2020-07-01*2020-12-31*5388*N/D*ND*4 en una escala de 1 a 7*0.9*-0.49**20204.07*104*0.0*1978214*false*97.9116*0.68*0.0*0.68*0.04*[]*[]*[]*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE B GRANTIA EAGLE FI*88254958*Semester 2 2020*2020-07-01*2020-12-31*5388*N/D*ND*4 en una escala de 1 a 7*0.9*-0.49**11823.58*1*0.0*1140467*false*96.457*0.45*0.0*0.45*0.04*[]*[]*[]*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE A GRANTIA EAGLE FI*88254958*Trimester 3 2020*2020-07-01*2020-09-30*5388*N/D*ND*4 en una escala de 1 a 7*0.33*-0.48**20302.54*105*0.0*2025686*false*99.775*0.34*0.0*0.34*0.02*2.27*6.07*0.4*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE B GRANTIA EAGLE FI*88254958*Trimester 3 2020*2020-07-01*2020-09-30*5388*N/D*ND*4 en una escala de 1 a 7*0.33*-0.48**13112.02*2*0.0*1287359*false*98.1816*0.23*0.0*0.23*0.02*2.38*6.07*0.29*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE A GRANTIA EAGLE FI*88254958*Semester 1 2020*2020-01-01*2020-06-30*5388*N/D*ND*4 en una escala de 1 a 7*0.55*-0.5**21364.04*105*0.0*2084381*false*97.5649*0.67*0.01*0.68*0.04*[]*[]*[]*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE B GRANTIA EAGLE FI*88254958*Semester 1 2020*2020-01-01*2020-06-30*5388*N/D*ND*4 en una escala de 1 a 7*0.55*-0.5**11294.25*2*0.0*1083099*false*95.8983*0.45*0.01*0.46*0.04*[]*[]*[]*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE A GRANTIA EAGLE FI*88254958*Trimester 1 2020*2020-01-01*2020-03-31*5388*N/D*ND*3 en una escala de 1 a 7*0.32*-0.57**21066.21*48*0.0*1983355*false*94.1486*0.34*0.01*0.35*0.02*-7.91*9.65*0.36*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GRANTIA EAGLE, FI*CLASE B GRANTIA EAGLE FI*88254958*Trimester 1 2020*2020-01-01*2020-03-31*5388*N/D*ND*3 en una escala de 1 a 7*0.32*-0.57**11713.94*2*0.0*1082801*false*92.4369*0.22*0.01*0.23*0.02*-7.81*9.65*0.25*GRANTIA CAPITAL, SGIIC, S.A.*BANCO INVERSIS, S.A.*
