fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
ABANCA RENTA FIJA FLEXIBLE, FI*Caixa Galicia Gest. Conservador, FI*84857739*Semester 2 2009*2009-07-01*2009-12-31*3682*acgestionclientes@ahorro.com*A3    MOODY'S*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Caixa Galicia Gest. Conservador, FI*84857739*Trimester 3 2009*2009-07-01*2009-09-30*3682*acgestionclientes@ahorro.com*A3    MOODY'S*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Caixa Galicia Gest. Conservador, FI*84857739*Semester 1 2009*2009-01-01*2009-06-30*3682*acgestionclientes@ahorro.com*A3    MOODY'S*BAJO***************
ABANCA RENTA FIJA FLEXIBLE, FI*Caixa Galicia Gest. Conservador, FI*84857739*Trimester 3 2010*2010-07-01*2010-09-30*3682*acgestionclientes@ahorro.com*A3    MOODY'S*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Caixa Galicia Gest. Conservador, FI*84857739*Semester 1 2010*2010-01-01*2010-06-30*3682*acgestionclientes@ahorro.com*A3    MOODY'S*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Caixa Galicia Gest. Conservador, FI*84857739*Trimester 1 2010*2010-01-01*2010-03-31*3682*acgestionclientes@ahorro.com*A3    MOODY'S*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Caixa Galicia Gest. Conservador, FI*84857739*Semester 2 2009*2009-07-01*2009-12-31*3682*acgestionclientes@ahorro.com*A3    MOODY'S*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novacaixagalicia G.Conservador,F.I.*84857739*Trimester 3 2011*2011-07-01*2011-09-30*3682*acgestionclientes@ahorro.com*BB+   FITCH*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Caixa Galicia Gest. Conservador, FI*84857739*Semester 1 2011*2011-01-01*2011-06-30*3682*acgestionclientes@ahorro.com*BB+   FITCH*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Caixa Galicia Gest. Conservador, FI*84857739*Trimester 1 2011*2011-01-01*2011-03-31*3682*acgestionclientes@ahorro.com*Baa3  MOODY'S*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Caixa Galicia Gest. Conservador, FI*84857739*Semester 2 2010*2010-07-01*2010-12-31*3682*acgestionclientes@ahorro.com*BBB-  FITCH*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novagalicia G.Conservador,F.I.*84857739*Semester 2 2012*2012-07-01*2012-12-31*3682*acgestionclientes@ahorro.com*;B1  MOODY'S;BB+  FITCH*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novacaixagalicia G.Conservador,F.I.*84857739*Trimester 3 2012*2012-07-01*2012-09-30*3682*acgestionclientes@ahorro.com*;B1  MOODY'S;BB+  FITCH*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novacaixagalicia G.Conservador,F.I.*84857739*Semester 1 2012*2012-01-01*2012-06-30*3682*acgestionclientes@ahorro.com*;B1  MOODY'S;BB+  FITCH*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novacaixagalicia G.Conservador,F.I.*84857739*Trimester 1 2012*2012-01-01*2012-03-31*3682*acgestionclientes@ahorro.com*;Ba1  MOODY'S;BB+  FITCH*Bajo***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novagalicia G.Conservador,F.I.*84857739*Semester 2 2013*2013-07-01*2013-12-31*3682*acgestionclientes@ahorro.com*;B3  MOODY'S;BB+  FITCH*2, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novagalicia G.Conservador,F.I.*84857739*Trimester 3 2013*2013-07-01*2013-09-30*3682*acgestionclientes@ahorro.com*;B3  MOODY'S;BB+  FITCH*2, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novagalicia G.Conservador,F.I.*84857739*Semester 1 2013*2013-01-01*2013-06-30*3682*acgestionclientes@ahorro.com*;B1  MOODY'S;BB+  FITCH*2, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novagalicia G.Conservador,F.I.*84857739*Trimester 1 2013*2013-01-01*2013-03-31*3682*acgestionclientes@ahorro.com*;B1  MOODY'S;BB+  FITCH*2, de una***************
ABANCA RENTA FIJA FLEXIBLE, FI*Abanca Gestion Conservador,F.I.*84857739*Trimester 3 2014*2014-07-01*2014-09-30*3682*acgestionclientes@ahorro.com*;Caa1  MOODY'S;BB+  FITCH*2, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Abanca Gestion Conservador,F.I.*84857739*Semester 1 2014*2014-01-01*2014-06-30*3682*acgestionclientes@ahorro.com*;Caa1  MOODY'S;BB+  FITCH*2, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novagalicia G.Conservador,F.I.*84857739*Trimester 1 2014*2014-01-01*2014-03-31*3682*acgestionclientes@ahorro.com*;B3  MOODY'S;BB+  FITCH*2, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Novagalicia G.Conservador,F.I.*84857739*Semester 2 2013*2013-07-01*2013-12-31*3682*acgestionclientes@ahorro.com*;B3  MOODY'S;BB+  FITCH*2, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Abanca Renta Fija Flexible,F.I.*84857739*Semester 2 2015*2015-07-01*2015-12-31*3682*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*3, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Abanca Renta Fija Flexible,F.I.*84857739*Trimester 3 2015*2015-07-01*2015-09-30*3682*imantiaclientes@imantia.com*;Caa1  MOODY'S;BB+  FITCH*3, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Abanca Renta Fija Flexible,F.I.*84857739*Semester 1 2015*2015-01-01*2015-06-30*3682*acgestionclientes@ahorro.com*;Caa1  MOODY'S;BB+  FITCH*3, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Abanca Renta Fija Flexible,F.I.*84857739*Trimester 1 2015*2015-01-01*2015-03-31*3682*acgestionclientes@ahorro.com*;Caa1  MOODY'S;BB+  FITCH*3, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Abanca Renta Fija Flexible,F.I.*84857739*Trimester 3 2016*2016-07-01*2016-09-30*3682*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*4, de una escala del 1 al 7***************
ABANCA RENTA FIJA FLEXIBLE, FI*Abanca Renta Fija Flexible,F.I.*84857739*Semester 1 2016*2016-01-01*2016-06-30*3682*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*3, de una escala del 1 al 7***************
