fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART MONEY RENTA FIJA GOBIERNO, FI*87961587*Semester 2 2018*2018-07-01*2018-12-31*5233*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*3 - Medio-bajo*0.0*-0.69**1724026.17*5663*0.0*10373023*false*6.0167*0.17*0.0*0.17*0.01*1.75*2.29*0.14*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART MONEY RENTA FIJA GOBIERNO, FI*87961587*Trimester 3 2018*2018-07-01*2018-09-30*5233*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*3 - Medio-bajo*0.0*-0.6**1373902.43*4357*0.0*8123872*false*5.913*0.08*0.0*0.08*0.0*-1.05*2.58*0.12*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART MONEY RENTA FIJA GOBIERNO, FI*87961587*Semester 1 2018*2018-01-01*2018-06-30*5233*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*3 - Medio-bajo*1.63*-0.71**683919.21*1886*0.0*4086753*false*5.9755*0.16*0.0*0.16*0.01*-1.43*3.77*0.35*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART MONEY RENTA FIJA GOBIERNO, FI*87961587*Trimester 1 2018*2018-01-01*2018-03-31*5233*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*3 - Medio-bajo*2.58*-0.58**152322.21*212*0.0*923444*false*6.0624*0.07*0.0*0.07*0.0***0.22*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART MONEY RENTA FIJA GOBIERNO, FI*87961587*Semester 2 2019*2019-07-01*2019-12-31*5233*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.1*-0.41**70704093.84*56120*0.0*450578759*false*6.3727*0.17*0.0*0.17*0.01*-2.9*3.59*0.12*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART MONEY RENTA FIJA GOBIERNO, FI*87961587*Trimester 3 2019*2019-07-01*2019-09-30*5233*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.0*-0.37**49929194.79*40249*0.0*327685867*false*6.563*0.08*0.0*0.08*0.0*3.14*4.73*0.12*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART MONEY RENTA FIJA GOBIERNO, FI*87961587*Semester 1 2019*2019-01-01*2019-06-30*5233*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.0*-0.65**14953873.36*19264*0.0*95155729*false*6.3633*0.16*0.0*0.16*0.01*3.05*3.28*0.12*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART MONEY RENTA FIJA GOBIERNO, FI*87961587*Trimester 1 2019*2019-01-01*2019-03-31*5233*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*3 - Medio-bajo*0.01*-0.86**1879751.81*6427*0.0*11607247*false*6.1749*0.08*0.0*0.08*0.0*2.63*2.84*0.13*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*87961587*Semester 2 2020*2020-07-01*2020-12-31*5233*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.66*-0.03**136871139.97*85457*0.0*906828949*false*6.6254*0.17*0.0*0.17*0.01*1.03*2.62*0.09*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*87961587*Trimester 3 2020*2020-07-01*2020-09-30*5233*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.31*0.0**89690845.53*72848*0.0*588168996*false*6.5577*0.08*0.0*0.08*0.01*1.32*3.16*0.09*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI*87961587*Semester 1 2020*2020-01-01*2020-06-30*5233*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*1.88*-0.38**91546727.31*69834*0.0*592528185*false*6.4724*0.16*0.0*0.16*0.01*1.28*4.29*0.2*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137627008
