fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  D*87543336*Semester 1 2017*2017-01-01*2017-06-30*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**279641.31*54*0.0*2883202*false*10.3104*0.05*0.0*0.05*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  A*87543336*Semester 1 2017*2017-01-01*2017-06-30*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**28469714.82*23*0.0*293731827*false*10.3173*0.05*0.0*0.05*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  B*87543336*Semester 1 2017*2017-01-01*2017-06-30*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**3382443.73*30*0.0*34643528*false*10.2422*0.49*0.0*0.49*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  P*87543336*Semester 1 2017*2017-01-01*2017-06-30*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  D*87543336*Trimester 1 2017*2017-01-01*2017-03-31*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**66511.33*13*0.0*679539*false*10.2169*0.02*0.0*0.02*0.01*0.76*1.42*0.29*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  A*87543336*Trimester 1 2017*2017-01-01*2017-03-31*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**20691569.77*23*0.0*211546839*false*10.2238*0.02*0.0*0.02*0.01*0.76*1.42*0.12*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  B*87543336*Trimester 1 2017*2017-01-01*2017-03-31*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**2234037.19*16*0.0*22724882*false*10.1721*0.24*0.0*0.24*0.01*0.54*1.42*0.4*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*AVIVA RETORNO ABS.  P*87543336*Trimester 1 2017*2017-01-01*2017-03-31*5028*N/D*A +*4 en una escala del 1 al 7*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  D*87543336*Trimester 3 2018*2018-07-01*2018-09-30*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.47*-0.42**93379.75*29*0.0*953065*false*10.2063*0.03*0.0*0.03*0.01*-0.12*0.9*0.12*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Trimester 3 2018*2018-07-01*2018-09-30*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.47*-0.42**45889183.17*23*0.0*468804844*false*10.216*0.03*0.0*0.03*0.01*-0.12*0.9*0.12*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Trimester 3 2018*2018-07-01*2018-09-30*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.47*-0.42**5194715.61*61*0.0*52092270*false*10.0279*0.25*0.0*0.25*0.01*-0.35*0.9*0.35*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  P*87543336*Trimester 3 2018*2018-07-01*2018-09-30*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.47*-0.42**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  D*87543336*Semester 1 2018*2018-01-01*2018-06-30*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.74*-0.42**116300.4*31*0.0*1188453*false*10.2188*0.05*0.0*0.05*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Semester 1 2018*2018-01-01*2018-06-30*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.74*-0.42**45934120.45*23*0.0*469838262*false*10.2285*0.05*0.0*0.05*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Semester 1 2018*2018-01-01*2018-06-30*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.74*-0.42**5353578.4*60*0.0*53873113*false*10.063*0.5*0.0*0.5*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  P*87543336*Semester 1 2018*2018-01-01*2018-06-30*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.74*-0.42**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  D*87543336*Trimester 1 2018*2018-01-01*2018-03-31*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.04*-0.42**123788.76*31*0.0*1273122*false*10.2846*0.02*0.0*0.02*0.01*-0.62*1.88*0.11*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Trimester 1 2018*2018-01-01*2018-03-31*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.04*-0.42**42715422.74*23*0.0*439729395*false*10.2944*0.02*0.0*0.02*0.01*-0.62*1.88*0.11*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Trimester 1 2018*2018-01-01*2018-03-31*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.04*-0.42**5230247.51*61*0.0*53089968*false*10.1506*0.25*0.0*0.25*0.01*-0.84*1.88*0.34*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  P*87543336*Trimester 1 2018*2018-01-01*2018-03-31*5028*santaluciasgiic@santaluciagestion.es*A+*4 en una escala del 1 al 7*0.04*-0.42**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  D*87543336*Semester 2 2017*2017-07-01*2017-12-31*5028*N/D*A+*alto*0.14*-0.41**136909.57*32*0.0*1416818*false*10.3486*0.05*0.0*0.05*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Semester 2 2017*2017-07-01*2017-12-31*5028*N/D*A+*alto*0.14*-0.41**33728006.6*23*0.0*349367850*false*10.3584*0.05*0.0*0.05*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Semester 2 2017*2017-07-01*2017-12-31*5028*N/D*A+*alto*0.14*-0.41**4695515.62*59*0.0*48064981*false*10.2364*0.5*0.0*0.5*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  P*87543336*Semester 2 2017*2017-07-01*2017-12-31*5028*N/D*A+*alto*0.14*-0.41**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  C*87543336*Semester 2 2019*2019-07-01*2019-12-31*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*0.38*-0.52**506945.64*48*0.0*5152934*false*10.1647*0.23*0.0*0.23*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Semester 2 2019*2019-07-01*2019-12-31*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*0.38*-0.52**40365479.34*17*0.0*411815265*false*10.2022*0.05*0.0*0.05*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Semester 2 2019*2019-07-01*2019-12-31*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*0.38*-0.52**201602.85*44*0.0*1997857*false*9.9099*0.45*0.0*0.45*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  C*87543336*Trimester 3 2019*2019-07-01*2019-09-30*5028*administraciones@santaluciaam.es*A+*3 en una escala del 1 al 7*0.08*-0.46**435093.51*47*0.0*4378136*false*10.0625*0.11*0.0*0.11*0.01*-0.3*1.33*0.38*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Trimester 3 2019*2019-07-01*2019-09-30*5028*administraciones@santaluciaam.es*A+*3 en una escala del 1 al 7*0.08*-0.46**41321534.57*17*0.0*416964542*false*10.0907*0.03*0.0*0.03*0.01*-0.21*1.33*0.29*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Trimester 3 2019*2019-07-01*2019-09-30*5028*administraciones@santaluciaam.es*A+*3 en una escala del 1 al 7*0.08*-0.46**229979.9*45*0.0*2258726*false*9.8214*0.22*0.0*0.22*0.01*-0.41*1.33*0.49*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  C*87543336*Semester 1 2019*2019-01-01*2019-06-30*5028*administraciones@santaluciaam.es*A+*3 en una escala del 1 al 7*0.57*-0.4**420877.85*47*0.0*4247889*false*10.0929*0.15*0.0*0.15*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Semester 1 2019*2019-01-01*2019-06-30*5028*administraciones@santaluciaam.es*A+*3 en una escala del 1 al 7*0.57*-0.4**42190113.5*17*0.0*426639130*false*10.1123*0.05*0.0*0.05*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Semester 1 2019*2019-01-01*2019-06-30*5028*administraciones@santaluciaam.es*A+*3 en una escala del 1 al 7*0.57*-0.4**235440.41*49*0.0*2321976*false*9.8623*0.47*0.0*0.47*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  C*87543336*Trimester 1 2019*2019-01-01*2019-03-31*5028*administraciones@santaluciaam.es*A+*3 en una escala del 1 al 7*0.41*-0.39**345156.3*43*0.0*3479126*false*10.0799*0.02*0.0*0.02*0.01*1.06*0.9*0.29*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Trimester 1 2019*2019-01-01*2019-03-31*5028*administraciones@santaluciaam.es*A+*3 en una escala del 1 al 7*0.41*-0.39**48416808.33*17*0.0*488497707*false*10.0894*0.02*0.0*0.02*0.01*1.06*0.9*0.29*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Trimester 1 2019*2019-01-01*2019-03-31*5028*administraciones@santaluciaam.es*A+*3 en una escala del 1 al 7*0.41*-0.39**255449.62*50*0.0*2518558*false*9.8593*0.25*0.0*0.25*0.01*0.84*0.9*0.51*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  C*87543336*Trimester 3 2020*2020-07-01*2020-09-30*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*0.35*-0.59**310500.18*57*0.0*3022099*false*9.733*0.11*0.0*0.11*0.01*0.85*1.78*0.36*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Trimester 3 2020*2020-07-01*2020-09-30*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*0.35*-0.59**20503229.39*15*0.0*200819972*false*9.7946*0.03*0.0*0.03*0.01*0.94*1.78*0.26*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Trimester 3 2020*2020-07-01*2020-09-30*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*0.35*-0.59**163545.25*32*0.0*1546663*false*9.4571*0.23*0.0*0.23*0.01*0.74*1.78*0.47*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  C*87543336*Semester 1 2020*2020-01-01*2020-06-30*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*1.24*-0.58**320457.77*58*0.0*3092596*false*9.6506*0.22*0.0*0.22*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Semester 1 2020*2020-01-01*2020-06-30*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*1.24*-0.58**24927958.61*15*0.0*241877127*false*9.703*0.05*0.0*0.05*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Semester 1 2020*2020-01-01*2020-06-30*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*1.24*-0.58**174476.78*35*0.0*1637918*false*9.3876*0.45*0.0*0.45*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  C*87543336*Trimester 1 2020*2020-01-01*2020-03-31*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*0.7*-0.58**505773.74*47*0.0*4781562*false*9.454*0.11*0.0*0.11*0.01*-6.99*7.28*0.33*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  A*87543336*Trimester 1 2020*2020-01-01*2020-03-31*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*0.7*-0.58**37348970.42*18*0.0*354707075*false*9.4971*0.02*0.0*0.02*0.01*-6.91*7.28*0.24*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  B*87543336*Trimester 1 2020*2020-01-01*2020-03-31*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*0.7*-0.58**178872.5*36*0.0*1646816*false*9.2066*0.22*0.0*0.22*0.01*-7.1*7.28*0.44*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RETORNO ABSOLUTO, FI*SANTALUCIA RETORNO ABS.  C*87543336*Semester 2 2019*2019-07-01*2019-12-31*5028*administracion@santaluciaam.es*A+*3 en una escala del 1 al 7*0.38*-0.52**506945.64*48*0.0*5152934*false*10.1647*0.23*0.0*0.23*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
