fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Semester 2 2016*2016-07-01*2016-12-31*5051*atencionalcliente@gesiuris.com*A3 (Moody's)*6*0.0*0.0**426435.17*38*0.0*4731707*false*11.096*0.74*0.0*0.74*0.04*11.55*10.54*0.45*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Trimester 3 2016*2016-07-01*2016-09-30*5051*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1 al 7*0.0*0.0**324757.43*8*0.0*3230530*false*9.9475*0.35*0.0*0.35*0.02***0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Semester 2 2017*2017-07-01*2017-12-31*5051*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1 al 7.*0.0*0.0**1398940.42*632*0.0*21332249*false*15.2489*0.75*0.0*0.75*0.03*8.91*7.9*0.41*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Trimester 3 2017*2017-07-01*2017-09-30*5051*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1 al 7*0.03*0.0**995985.7*258*0.0*14210753*false*14.268*0.38*0.0*0.38*0.02*12.4*8.04*0.4*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Semester 1 2017*2017-01-01*2017-06-30*5051*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1 al 7*0.0*0.0**773806.47*120*0.0*9822779*false*12.6941*0.74*0.0*0.74*0.04*9.48*9.29*0.4*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Trimester 1 2017*2017-01-01*2017-03-31*5051*atencionalcliente@gesiuris.com*A3 (Moody's)*4 en una escala del 1 al 7*0.0*0.0**650815.1*88*0.0*7546189*false*11.595*0.37*0.0*0.37*0.02*4.5*8.97*0.4*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Semester 2 2018*2018-07-01*2018-12-31*5051*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7*0.3*0.0**2795021.61*1148*0.0*34172306*false*12.2261*0.76*0.0*0.76*0.03*-17.85*23.21*0.4*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Trimester 3 2018*2018-07-01*2018-09-30*5051*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7*0.16*0.0**2791955.24*1164*0.0*41549709*false*14.8819*0.38*0.0*0.38*0.02*-2.13*12.26*0.4*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Semester 1 2018*2018-01-01*2018-06-30*5051*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7.*0.08*0.0**2797185.74*1183*0.0*42531716*false*15.2052*0.74*0.0*0.74*0.03*2.11*7.88*0.4*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Trimester 1 2018*2018-01-01*2018-03-31*5051*atencionalcliente@gesiuris.com*A3 (Moody's)*6 en una escala del 1 al 7*0.06*0.0**2673393.91*1160*0.0*39811029*false*14.8916*0.37*0.0*0.37*0.02*-2.34*15.6*0.39*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Semester 2 2019*2019-07-01*2019-12-31*5051*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7*0.04*-0.35**2447688.29*1018*0.0*36112862*false*14.7539*0.76*0.0*0.76*0.03*13.56*7.78*0.4*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
JAPAN DEEP VALUE FUND FI*JAPAN DEEP VALUE FUND FI*66821232*Trimester 3 2019*2019-07-01*2019-09-30*5051*atencionalcliente@gesiuris.com*A2 (Moody's)*6 en una escala del 1 al 7*0.15*-0.08**2743542.67*1048*0.0*35642898*false*12.9916*0.38*0.0*0.38*0.02*1.15*12.63*0.4*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156673008
