fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 3 2014*2014-07-01*2014-09-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.01*0.05**1575034.214619*64*0.0*17406197*false*11.0513*0.16*0.0*0.16*0.02*2.47*5.84*0.18*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 3 2015*2015-07-01*2015-09-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.25*0.03**1402094.049077*58*0.0*15239074*false*10.8688*0.2*-0.01*0.19*0.03*-1.83*2.44*0.23*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Trimester 3 2015*2015-07-01*2015-09-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.25*0.03**1554775.449647*1129*0.0*16814683*false*10.8149*0.32*0.0*0.32*0.02*-1.97*2.5*0.35*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Semester 1 2015*2015-01-01*2015-06-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.14*0.03**1553414.127428*60*0.0*17199193*false*11.0719*0.4*0.01*0.41*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Semester 1 2015*2015-01-01*2015-06-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.14*0.03**1384606.309898*1028*0.0*15275288*false*11.0322*0.64*0.0*0.64*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 1 2015*2015-01-01*2015-03-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.64*0.03**1564336.499334*63*0.0*17339825*false*11.0845*0.2*0.02*0.22*0.02*1.34*1.73*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Trimester 1 2015*2015-01-01*2015-03-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.64*0.03**1024612.078104*774*0.0*11332487*false*11.0603*0.32*0.0*0.32*0.02*1.23*1.75*0.34*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Semester 2 2014*2014-07-01*2014-12-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.64*0.05**1692750.948126*65*0.0*18515752*false*10.9383*0.37*0.0*0.37*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Semester 2 2014*2014-07-01*2014-12-31*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.64*0.05**825735.22254*560*0.0*9021557*false*10.9255*0.64*0.0*0.64*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Trimester 3 2016*2016-07-01*2016-09-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.41*0.25**830053.186302*51*0.0*9022200*false*10.8694*0.2*0.0*0.2*0.02*2.51*2.64*0.23*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Trimester 3 2016*2016-07-01*2016-09-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.41*0.25**131210.879325*70*0.0*1412017*false*10.7614*0.32*0.0*0.32*0.02*2.38*2.64*0.35*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE A, FI*86025251*Semester 1 2016*2016-01-01*2016-06-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.38*0.26**827132.233915*51*0.0*8770207*false*10.6032*0.4*0.0*0.4*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
PENTA INVERSION, FI*PENTA INVERSION CLASE B, FI*86025251*Semester 1 2016*2016-01-01*2016-06-30*4783*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.38*0.26**159116.425498*79*0.0*1672473*false*10.511*0.67*0.0*0.67*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
