fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2009 S2*2009-07-01*2009-12-31*Alto*0.93*0.08**2071781.08*1048*0.0*9284756*false*4.4815***1.01*0.07*3.23*23.22*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2009 T3*2009-07-01*2009-09-30*Alto*0.43*0.06**2131772.67*1073*0.0*9254315*false*4.3411***0.5*0.04*18.47*19.28*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2009 S1*2009-01-01*2009-06-30*ALTO*1.34*1.02**2165822.67*1090*0.0*7936026*false*3.6642***0.99*0.07*16.82*25.84*0.57*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2010 S2*2010-07-01*2010-12-31*Alto*0.55*0.21**1924307.09*969*0.0*8025189*false*4.1704***1.01*0.07*0.04*20.02*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2010 T3*2010-07-01*2010-09-30*Alto*0.14*0.16**1988060.61*996*0.0*8288046*false*4.1689***0.5*0.04*9.9*24.58*0.57*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2010 S1*2010-01-01*2010-06-30*Alto*0.63*0.19**2019625.22*1005*0.0*7661306*false*3.7934***0.99*0.07*-13.4*44.25*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2010 T1*2010-01-01*2010-03-31*Alto*0.36*0.15**2062235.8*1032*0.0*9033868*false*4.3806***0.49*0.04*-2.25*22.29*0.55*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europa Seleccion*2011 T3*2011-07-01*2011-09-30*Alto*0.73*0.9**1778550.31*893*0.0*5441452*false*3.0595***0.51*0.04*-28.84*51.01*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europa Seleccion*2011 S1*2011-01-01*2011-06-30*Alto*2.45*0.77**1835669.98*920*0.0*7891895*false*4.2992***0.99*0.07****False
ABANCA RENTA VARIABLE EUROPA, FI*Caixa Galicia Eurobolsa, F.I.*2011 T1*2011-01-01*2011-03-31*Alto*0.74*0.55**1868951.42*942*0.0*8200603*false*4.3878***0.49*0.03*5.21*20.74*0.54*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europ.Selección,FI*2012 S2*2012-07-01*2012-12-31*7, de una*2.46*0.08**1574316.06*774*0.0*5667796*false*3.6002*1.01*0.0*1.01*0.07*4.88*14.13*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europ.Selección,FI*2012 T3*2012-07-01*2012-09-30*7, de una*1.38*0.07**1632161.75*795*0.0*5602610*false*3.4326*0.5*0.0*0.5*0.04*7.79*24.77*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europa Seleccion*2012 S1*2012-01-01*2012-06-30*Alto*2.19*0.17**1673157.8*813*0.0*5328226*false*3.1845*1.0*0.0*1.0*0.07*-10.17*33.61*0.55*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europa Seleccion*2012 T1*2012-01-01*2012-03-31*Alto*0.98*0.3**1723382.86*844*0.0*6109270*false*3.5449*0.5*0.0*0.5*0.04*9.72*24.15*0.55*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europ.Selección,FI*2013 S2*2013-07-01*2013-12-31*7, de una escala del 1 al 7*2.07*0.0**1374706.83*668*0.0*5932595*false*4.3155*1.01*0.0*1.01*0.07*4.59*10.66*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europ.Selección,FI*2013 T3*2013-07-01*2013-09-30*7, de una escala del 1 al 7*1.12*0.0**1409754.43*687*0.0*5817057*false*4.1263*0.5*0.0*0.5*0.04*16.63*14.81*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europ.Selección,FI*2013 S1*2013-01-01*2013-06-30*7, de una escala del 1 al 7*2.34*0.04**1452558.39*714*0.0*5139219*false*3.538*0.99*0.0*0.99*0.07*-0.56*18.82*0.55*False
ABANCA RENTA VARIABLE EUROPA, FI*Novacaixagalicia Europ.Selección,FI*2013 T1*2013-01-01*2013-03-31*7, de una*1.31*0.06**1524997.17*739*0.0*5425581*false*3.5578*0.49*0.0*0.49*0.04*-1.18*15.91*0.55*False
ABANCA RENTA VARIABLE EUROPA, FI*Abanca Europa Selección,FI*2014 T3*2014-07-01*2014-09-30*7, de una escala del 1 al 7*0.94*0.0**1299445.35*620*0.0*5680162*false*4.3712*0.5*0.0*0.5*0.04*-2.39*13.87*0.56*False
ABANCA RENTA VARIABLE EUROPA, FI*Abanca Europa Selección,FI*2014 S1*2014-01-01*2014-06-30*7, de una escala del 1 al 7*2.35*0.0**1331433.41*644*0.0*5962659*false*4.4784*0.99*0.0*0.99*0.07*-0.14*11.97*0.55*False
