fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 2 2009*2009-07-01*2009-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.58*0.0****0.0**false****0.51*0.02****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 3 2009*2009-07-01*2009-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.32*0.73****0.0**false****0.25*0.01*0.71*0.86*0.27*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 1 2009*2009-01-01*2009-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.09*1.93****0.0**false****0.6*0.02****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 2 2010*2010-07-01*2010-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.38*0.0****0.0**false****0.43*0.02****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 3 2010*2010-07-01*2010-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.06*0.42****0.0**false****0.22*0.01*2.1*2.47*0.23*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 1 2010*2010-01-01*2010-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.96*0.36****0.0**false****0.5*0.02****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 1 2010*2010-01-01*2010-03-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.4*0.38****0.0**false****0.25*0.01*0.48*0.89*0.26*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 3 2011*2011-07-01*2011-09-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.22*1.33**13483413.24*18569*0.0*192508000*false*14.2774***0.21*0.01*0.67*3.84*0.23*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 1 2011*2011-01-01*2011-06-30*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.69*0.88****0.0**false****0.42*0.02****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Trimester 1 2011*2011-01-01*2011-03-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.42*0.79****0.0**false****0.21*0.01*2.28*2.32*0.22*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
MAPFRE FONDTESORO PLUS, FI*MAPFRE FONDTESORO LARGO PLAZO F.I.*79523718*Semester 2 2010*2010-07-01*2010-12-31*200*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.38*0.0****0.0**false****0.43*0.02****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0160634038
