fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO FI*80077902*Trimester 3 2009*2009-07-01*2009-09-30*274*departamento.marketing@credit-suisse.com*A*BAJO*0.13*0.23**21006244.61*398*0.0*252185424*false*12.0053***0.13*0.03*0.08*0.04*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO FI*80077902*Semester 1 2009*2009-01-01*2009-06-30*274*departamento.marketing@credit-suisse.com*A*BAJO*0.43*0.9**19506706.33*350*0.0*233993839*false*11.9956***0.25*0.05*0.23*0.08*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Semester 2 2010*2010-07-01*2010-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*BAJO*0.0*0.45**10642199.53*251*0.0*128027165*false*12.0301***0.25*0.05*0.09*0.26*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Trimester 3 2010*2010-07-01*2010-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*BAJO*0.0*0.35**13914166.71*295*0.0*167241669*false*12.0195***0.13*0.03*0.58*0.23*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Semester 1 2010*2010-01-01*2010-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*BAJO*0.0*0.27**14533724.21*283*0.0*173685514*false*11.9505***0.25*0.05*-0.55*0.5*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Trimester 1 2010*2010-01-01*2010-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*BAJO*0.0*0.23**18648201.81*379*0.0*224082270*false*12.0163***0.12*0.02*0.04*0.09*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Trimester 3 2011*2011-07-01*2011-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*BAJO*0.0*1.01**10382055.45*244*0.0*126437510*false*12.1785***0.13*0.03*0.32*0.46*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Semester 1 2011*2011-01-01*2011-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*BAJO*0.0*0.77**10968254.79*251*0.0*133151684*false*12.1397***0.25*0.05*0.31*0.12*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Trimester 1 2011*2011-01-01*2011-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*BAJO*0.0*0.56**10931737.22*258*0.0*132293477*false*12.1018***0.12*0.02*0.6*0.17*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Semester 2 2010*2010-07-01*2010-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*BAJO*0.0*0.45**10642199.53*251*0.0*128027165*false*12.0301***0.25*0.05*0.09*0.26*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Trimester 3 2012*2012-07-01*2012-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.08*0.13**13950467.11*484*0.0*173898853*false*12.4655*0.13**0.13*0.03*0.95*0.55*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Semester 1 2012*2012-01-01*2012-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.0*0.23**13661642.57*501*0.0*168693818*false*12.348*0.25**0.25*0.05*-0.1*0.52*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Trimester 1 2012*2012-01-01*2012-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.06*0.21**15456597.3*561*0.0*191051838*false*12.3605*0.12**0.12*0.02*1.17*0.35*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Semester 2 2011*2011-07-01*2011-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*BAJO*0.0*0.83**10879653.25*284*0.0*132926324*false*12.2179*0.25**0.25*0.05*0.32*0.6*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Semester 2 2013*2013-07-01*2013-12-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.0*0.04**25955994.71*864*0.0*330634318*false*12.7383*0.25**0.25*0.05*0.25*0.08*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Trimester 3 2013*2013-07-01*2013-09-30*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.0*0.03**24563676.01*784*0.0*312127477*false*12.7069*0.13**0.13*0.03*0.35*0.09*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Semester 1 2013*2013-01-01*2013-06-30*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.0*0.04**19975947.56*643*0.0*252938603*false*12.6622*0.25**0.25*0.05*0.31*0.08*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS CORTO PLAZO, FI*CREDIT SUISSE MONETARIO, FI*80077902*Trimester 1 2013*2013-01-01*2013-03-31*274*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*1. En una escala de 1 a 7*0.0*0.03**19942390.3*559*0.0*251743560*false*12.6235*0.12**0.12*0.02*0.56*0.21*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
