fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Semester 2 2016*2016-07-01*2016-12-31*5059*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*4, en una escala del 1 al 7*0.0*0.0**2072015.61*701**20434000*false*9.862*0.22*0.0*0.22*0.02*-0.03**0.14*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Trimester 3 2016*2016-07-01*2016-09-30*5059*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*4, en una escala del 1 al 7*0.0*0.0**1235759.06*408**12191000*false*9.8649*0.0*0.0*0.0*0.0****SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Semester 1 2012*2012-01-01*2012-12-31*5059*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*4, en una escala del 1 al 7*****************SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Trimester 3 2017*2017-07-01*2017-09-30*5059*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*4, en una escala del 1 al 7*0.0*0.0**1838103.08*634**18812000*false*10.2342*0.14*0.0*0.14*0.01*1.05*1.16*0.16*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Semester 1 2017*2017-01-01*2017-06-30*5059*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*4, en una escala del 1 al 7*0.0*0.0**1901239.16*647**19256000*false*10.128*0.27*0.0*0.27*0.02*1.19**0.15*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Trimester 1 2017*2017-01-01*2017-03-31*5059*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*4, en una escala del 1 al 7*0.0*0.0**1995483.26*667**19973000*false*10.0092*0.14*0.0*0.14*0.01*1.49**0.15*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Semester 1 2013*2013-01-01*2013-12-31*5059*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*****************SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Semester 1 2013*2013-01-01*2013-12-31*5059*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*****************SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Semester 1 2013*2013-01-01*2013-12-31*5059*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*****************SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Trimester 1 2018*2018-01-01*2018-03-31*5059*Sabadellassetmanagement@bancsabadell.com*BBB- (Standard & Poor's)*4, en una escala del 1 al 7*0.0*0.0**1622346.35*580**16667000*false*10.2736*0.14*0.0*0.14*0.01*0.0*0.86*0.15*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Semester 2 2019*2019-07-01*2019-12-31*5059*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.0*0.0**1279666.19*489**13236000*false*10.3434*0.28*0.0*0.28*0.03*-0.01*0.52*0.16*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Trimester 3 2019*2019-07-01*2019-09-30*5059*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.0*0.0**1313531.66*498**13588000*false*10.3445*0.14*0.0*0.14*0.01*0.21*1.0*0.16*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Semester 1 2019*2019-01-01*2019-06-30*5059*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.07*0.0**1333921.01*510**13770000*false*10.3226*0.27*0.0*0.27*0.02*0.69*1.05*0.16*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Trimester 1 2019*2019-01-01*2019-03-31*5059*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.09*0.0**1386094.56*526**14210000*false*10.2519*0.14*0.0*0.14*0.01*0.99*1.42*0.16*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Semester 2 2020*2020-07-01*2020-12-31*5059*SabadellAssetManagement@sabadellassetmanagement.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.41*-0.03**1182070.13*453**12182000*false*10.3057*0.28*0.0*0.28*0.03*0.0*1.08*0.16*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Trimester 3 2020*2020-07-01*2020-09-30*5059*SabadellAssetManagement@bancasabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.14*0.0**1203949.68*461**12407000*false*10.3054*0.14*0.0*0.14*0.01*0.37*1.08*0.16*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Semester 1 2020*2020-01-01*2020-06-30*5059*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.0*0.0**1216088.26*466**12486000*false*10.2676*0.27*0.0*0.27*0.02*1.6*1.1*0.16*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
SABADELL HORIZONTE 2021, FI*SABADELL HORIZONTE 2021, F.I.*66815069*Trimester 1 2020*2020-01-01*2020-03-31*5059*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.0*0.0**1255374.63*477**12687000*false*10.1061*0.14*0.0*0.14*0.01*-2.29*0.99*0.16*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*ES0138502002
