fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2009*2009-07-01*2009-12-31*85*N/D*A+ (S&P)*Medio-Bajo*0.32*0.26**166945309.8*463*0.0*563569434*false*3.3758***0.23*0.03*0.94*2.26*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2009*2009-07-01*2009-09-30*85*N/D*A+ (S&P)*Medio-Bajo*0.12*0.25**167110521.85*468*0.0*558855469*false*3.3442***0.11*0.02*3.58*1.74*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2009*2009-01-01*2009-06-30*85**A+ (S&P)*Medio-Bajo*0.35*0.96**167392210.57*475*0.0*540450077*false*3.2286***0.22*0.04*3.41*1.93*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2010*2010-07-01*2010-12-31*85*gesnorte@gesnorte.es*A+ (S&P)*Medio*0.46*0.41**164395063.18*440*0.0*557360359*false*3.3904***0.23*0.03*-0.41*2.87*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2010*2010-07-01*2010-09-30*85*gesnorte@gesnorte.es*A+ (S&P)*Medio*0.21*0.34**164343022.46*447*0.0*559473376*false*3.4043***0.11*0.02*2.48*2.96*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2010*2010-01-01*2010-06-30*85*N/D*A+ (S&P)*Medio-Bajo*0.5*0.25**164610588.72*452*0.0*546842409*false*3.322***0.22*0.03*-2.55*6.19*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2010*2010-01-01*2010-03-31*85*N/D*A+ (S&P)*Medio-Bajo*0.24*0.24**167250783.82*455*0.0*570176086*false*3.4091***0.11*0.02*0.99*2.98*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 2 2011*2011-07-01*2011-12-31*85*gesnorte@gesnorte.es*A+ (S&P)*Medio*0.41*0.81**159515396.06*406*0.0*535294381*false*3.3558*0.23*0.0*0.23*0.03*1.72*5.92*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 3 2011*2011-07-01*2011-09-30*85*gesnorte@gesnorte.es*A+ (S&P)*Medio*0.19*0.9**161291125.43*417*0.0*532098225*false*3.299***0.11*0.02*-4.04*6.36*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Semester 1 2011*2011-01-01*2011-06-30*85*gesnorte@gesnorte.es*A+ (S&P)*Medio*0.69*0.71**161900444.99*422*0.0*556593834*false*3.4379***0.22*0.03*0.3*3.25*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
FONDONORTE, FI*FONDONORTE, F.I.*28703429*Trimester 1 2011*2011-01-01*2011-03-31*85*gesnorte@gesnorte.es*A+ (S&P)*Medio-Bajo*0.39*0.56**163633700.65*430*0.0*560890228*false*3.4277***0.11*0.02*1.1*2.89*0.13*GESNORTE, S.A., S.G.I.I.C.*DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA*ES0138828035
