fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Trimester 3 2009*2009-07-01*2009-09-30*1221*gesmadrid@cajamadrid.es*A1*Alto*0.0*0.25**244447.94*378*0.0*14891720*false*60.9198***0.15*0.02*14.41*42.69*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 1 2009*2009-01-01*2009-06-30*1221*gesmadrid@cajamadrid.es*A1*Alto*0.0*0.77**155611.02*309*0.0*8285758*false*53.2466***0.3*0.05*14.41*0.45*0.26
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 2 2010*2010-07-01*2010-12-31*1221*gesmadrid@cajamadrid.es*A*ALTO*0.0*0.46**389670.81*490*0.0*28361878*false*72.7842***0.3*0.05*10.2*12.08*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Trimester 3 2010*2010-07-01*2010-09-30*1221*gesmadrid@cajamadrid.es*A*ALTO*0.0*0.38**352868.09*428*0.0*23305314*false*66.0454***0.15*0.02*11.28*18.93*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 1 2010*2010-01-01*2010-06-30*1221*gesmadrid@cajamadrid.es*A*ALTO*0.0*0.31**391965.08*484*0.0*23262696*false*59.3489***0.3*0.05*-12.37*18.65*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Trimester 1 2010*2010-01-01*2010-03-31*1221*gesmadrid@cajamadrid.es*A1*ALTO*0.0*0.32**365499.72*479*0.0*24754784*false*67.7286***0.15*0.02*5.24*18.12*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Trimester 3 2011*2011-07-01*2011-09-30*1221*fondos@bankia.com*A-*ALTO*0.0*0.98**401858.02*574*0.0*26344566*false*65.5569***0.15*0.02*-14.47*33.3*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 1 2011*2011-01-01*2011-06-30*1221*fondos@bankia.com*A-*ALTO*0.0*0.77**449406.14*609*0.0*34446441*false*76.6488***0.3*0.05*-0.25*12.84*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Trimester 1 2011*2011-01-01*2011-03-31*1221*gesmadrid@cajamadrid.es*A-*ALTO*0.0*0.55**458204.09*589*0.0*35207944*false*76.839***0.15*0.02*5.57*13.4*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 2 2010*2010-07-01*2010-12-31*1221*gesmadrid@cajamadrid.es*A*ALTO*0.0*0.46**389670.81*490*0.0*28361878*false*72.7842***0.3*0.05*10.2*12.08*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Trimester 3 2012*2012-07-01*2012-09-30*1221*fondos@bankia.com*BB+*ALTO*0.0*0.09**237430.04*425*0.0*19845661*false*83.5853*0.15*0.0*0.15*0.02*5.72*17.24*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Semester 1 2012*2012-01-01*2012-06-30*1221*fondos@bankia.com*BB+*ALTO*0.0*0.28**256479.05*452*0.0*20277362*false*79.0605*0.3*0.0*0.3*0.05***0.18
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Trimester 1 2012*2012-01-01*2012-03-31*1221*fondos@bankia.com*BBB-*ALTO*0.0*0.32**293818.39*503*0.0*23955102*false*81.5303*0.15*0.0*0.15*0.02*12.05*22.79*0.18
BANKIA INDEX USA CUBIERTO, FI*A INDIC SyP 500*81851867*Semester 2 2011*2011-07-01*2011-12-31*1221*fondos@bankia.com*BBB+*ALTO*0.0*0.8**323982.96*534*0.0*23573422*false*72.7613*0.3*0.0*0.3*0.05*10.99*23.27*0.19
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Trimester 3 2013*2013-07-01*2013-09-30*1221*fondos@bankia.com*BB-*ALTO*0.0*0.01**154359.03*303*0.0*15119328*false*97.9491*0.15*0.0*0.15*0.02*4.9*11.45*0.2
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Semester 1 2013*2013-01-01*2013-06-30*1221*fondos@bankia.com*BB-*ALTO*0.0*0.01**160185.35*315*0.0*14957211*false*93.3744*0.3*0.0*0.3*0.05*2.42*12.01*0.19
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Trimester 1 2013*2013-01-01*2013-03-31*1221*fondos@bankia.com*BB-*ALTO*0.0*0.01**172213.11*341*0.0*15700428*false*91.1686*0.15*0.0*0.15*0.02*9.87*12.81*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Semester 2 2012*2012-07-01*2012-12-31*1221*fondos@bankia.com*B*6*0.0*0.06**182298.85*352*0.0*15126557*false*82.9767*0.3*0.0*0.3*0.05*-0.73*12.78*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Trimester 3 2014*2014-07-01*2014-09-30*1221*fondos@bankia.com*BB-*6, en una escala del 1 al 7*0.0*0.01**128854.07*287*0.0*14884513*false*115.5145*0.15*0.0*0.15*0.02*0.75*10.24*0.19
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Trimester 1 2014*2014-01-01*2014-03-31*1221*fondos@bankia.com*BB-*6, en una escala del 1 al 7*0.0*0.01**133664.18*282*0.0*14583872*false*109.1083*0.15*0.0*0.15*0.02*1.24*11.33*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Semester 2 2013*2013-07-01*2013-12-31*1221*fondos@bankia.com*BB-*6, en una escala del 1 al 7*0.0*0.01**143192.41*285*0.0*15432820*false*107.7768*0.3*0.0*0.3*0.05*10.03*10.8*0.19
BANKIA INDEX USA CUBIERTO, FI*BBP INDICE SP500, FI*81851867*Trimester 3 2013*2013-07-01*2013-09-30*1221*fondos@bankia.com*BB-*ALTO*0.0*0.01**154359.03*303*0.0*15119328*false*97.9491*0.15*0.0*0.15*0.02*4.9*11.45*0.2
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Trimester 3 2015*2015-07-01*2015-09-30*1221*fondos@bankia.com*BB*6, en una escala del 1 al 7*0.0*0.0**79501.22*190*0.0*8985849*false*113.0278*0.15*0.0*0.15*0.02*-6.67*15.3*0.2
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Semester 1 2015*2015-01-01*2015-06-30*1221*fondos@bankia.com*BB*6, en una escala del 1 al 7*0.26*0.02**83163.69*205*0.0*10071922*false*121.1096*0.3*0.0*0.3*0.05*-0.11*12.04*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Trimester 1 2015*2015-01-01*2015-03-31*1221*fondos@bankia.com*BB*6, en una escala del 1 al 7*0.23*0.03**96704.61*233*0.0*11724438*false*121.2397*0.15*0.0*0.15*0.02*0.16*11.91*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Semester 2 2014*2014-07-01*2014-12-31*1221*fondos@bankia.com*BB*6, en una escala del 1 al 7*0.0*0.0**125402.17*293*0.0*15178741*false*121.0405*0.3*0.0*0.3*0.05*4.78*11.43*0.16
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Trimester 3 2016*2016-07-01*2016-09-30*1221*fondos@bankia.com*BB+*5, en una escala del 1 al 7*0.9*0.0**50942.22*159*0.0*6561052*false*128.794*0.15*0.0*0.15*0.02*3.53*14.31*0.19
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Semester 1 2016*2016-01-01*2016-06-30*1221*fondos@bankia.com*BB+*5, en una escala del 1 al 7*0.0*0.0**40035.49*138*0.0*4980359*false*124.3986*0.3*0.0*0.3*0.05*1.64*17.09*0.19
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Trimester 1 2016*2016-01-01*2016-03-31*1221*fondos@bankia.com*BB*5, en una escala del 1 al 7*0.0*0.0**44324.3*148*0.0*5424967*false*122.3926*0.15*0.0*0.15*0.02*1.13*16.41*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Semester 2 2015*2015-07-01*2015-12-31*1221*fondos@bankia.com*BB*5, en una escala del 1 al 7*0.0*0.0**50219.55*164*0.0*6077731*false*121.0232*0.3*0.0*0.3*0.05*7.07*15.36*0.19
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Trimester 3 2017*2017-07-01*2017-09-30*1221*fondos@bankia.com*BBB-*5, en una escala del 1 al 7*4.79*0.0**57633.15*166*0.0*8633862*false*149.8072*0.15*0.0*0.15*0.02*3.75*7.22*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Semester 1 2017*2017-01-01*2017-06-30*1221*fondos@bankia.com*BBB-*5, en una escala del 1 al 7*0.0*0.0**57695.25*168*0.0*8330808*false*144.3933*0.3*0.0*0.3*0.05*2.41*8.04*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Trimester 1 2017*2017-01-01*2017-03-31*1221*fondos@bankia.com*BBB-*5, en una escala del 1 al 7*0.0*0.0**77595.31*203*0.0*10940380*false*140.9928*0.15*0.0*0.15*0.02*5.55*9.97*0.18
BANKIA INDEX USA CUBIERTO, FI*BBP ÿNDICE SP500, FI*81851867*Semester 2 2016*2016-07-01*2016-12-31*1221*fondos@bankia.com*B*5, en una escala del 1 al 7*0.97*0.0**69770.51*182*0.0*9319590*false*133.5749*0.3*0.0*0.3*0.05*3.71*12.97*0.19
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 UNIVERSAL, FI*81851867*Trimester 3 2018*2018-07-01*2018-09-30*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.49*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*6.51*12.34*0.19
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 PLUS, FI*81851867*Trimester 3 2018*2018-07-01*2018-09-30*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.49*0.0**53533.22*148*0.0*9111531*false*170.2033*0.15*0.0*0.15*0.02*6.61*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32018_V-81851867_da"" decimals=""2"" unitref=""pure"">12.34</iic-com-fon:volatilidadvalorliquidativo>]"*0.1
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA INDICE SyP 500 CARTERA, FI*81851867*Trimester 3 2018*2018-07-01*2018-09-30*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.49*0.0**40879.63*41*0.0*4144769*false*101.3896*0.06*0.0*0.06*0.02*"[<iic-com:rentabilidadiic contextref=""FIM_T32018_V-81851867_da"" decimals=""2"" unitref=""pure"">6.51</iic-com:rentabilidadiic>, <iic-com:rentabilidadiic contextref=""FIM_T32018_V-81851867_da"" decimals=""2"" unitref=""pure"">6.61</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32018_V-81851867_da"" decimals=""2"" unitref=""pure"">12.34</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T32018_V-81851867_da"" decimals=""2"" unitref=""pure"">0.19</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_T32018_V-81851867_da"" decimals=""2"" unitref=""pure"">0.10</iic-com:ratiototalgastos>]"
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA BANCA PRIVADA INDICE SP 500 UNIVERSAL, FI*81851867*Semester 1 2018*2018-01-01*2018-06-30*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.0*0.0**47915.55*141*0.0*7656722*false*159.7962*0.3*0.0*0.3*0.05*[]*[]*[]
BANKIA INDEX USA CUBIERTO, FI*PT. BANKIA BANCA PRIVADA INDICE SP 500 CARTERA, FI*81851867*Semester 1 2018*2018-01-01*2018-06-30*1221*fondos@bankia.com*BBB*5, en una escala del 1 al 7*0.0*0.0**43490.14*43*0.0*4136077*false*95.1038*0.1*0.0*0.1*0.04*[]*[]*[]
