fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2009*2009-07-01*2009-12-31*1200*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.01*0.9**4812185.77*1971*0.0*41875763*false*8.702***0.6*0.1*0.26*1.51*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2009*2009-07-01*2009-09-30*1200*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.01*0.9**4681398.52*1955*0.0*40630477*false*8.6791***0.3*0.05*2.67*1.77*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2009*2009-01-01*2009-06-30*1200*participes.ibercajagestion@ibercaja.net*A2*Medio*0.0*1.26**4406675.34*1838*0.0*37252347*false*8.4536***0.6*0.1*3.49*2.4*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2010*2010-07-01*2010-12-31*1200*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.18*0.91**4473749.29*1730*0.0*38405016*false*8.5845***0.61*0.1*-2.28*2.19*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2010*2010-07-01*2010-09-30*1200*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.01*0.91**4634418.3*1808*0.0*40714188*false*8.7852***0.3*0.05*1.26*1.48*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2010*2010-01-01*2010-06-30*1200*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.9**4630342.31*1877*0.0*40173513*false*8.6761***0.6*0.1*-1.66*3.1*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2010*2010-01-01*2010-03-31*1200*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.89**4795102.0*1976*0.0*42303636*false*8.8223***0.3*0.05*1.38*1.07*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 3 2011*2011-07-01*2011-09-30*1200*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.0*1.48**3885226.05*1528*0.0*33903952*false*8.7264***0.3*0.05*1.03*4.27*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 1 2011*2011-01-01*2011-06-30*1200*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.4*1.04**4048941.35*1547*0.0*34970813*false*8.637***0.6*0.1*0.46*1.55*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Trimester 1 2011*2011-01-01*2011-03-31*1200*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.16*0.9**4295273.73*1616*0.0*36930164*false*8.5979***0.3*0.05*0.16*2.11*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA HORIZONTE, FI*IBERCAJA HORIZONTE*50731199*Semester 2 2010*2010-07-01*2010-12-31*1200*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.18*0.91**4473749.29*1730*0.0*38405016*false*8.5845***0.61*0.1*-2.28*2.19*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
