fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2009 T3*2009-07-01*2009-09-30*MUY BAJO*0.0*0.25**288472.55*2059*0.0*252399567*false*874.9518***0.13*0.01*0.25*0.12*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2009 S1*2009-01-01*2009-06-30*MUY BAJO*0.0*0.91**279466.67*2101*0.0*243907660*false*872.7612***0.25*0.02*0.31*0.11*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2010 S2*2010-07-01*2010-12-31*Muy bajo*0.0*0.46**114561.06*1413*0.0*100402912*false*876.414***0.25*0.03*0.12*0.14*0.13
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2010 T3*2010-07-01*2010-09-30*Muy bajo*0.0*0.37**127382.83*1481*0.0*111507936*false*875.3765***0.13*0.01*0.19*0.08*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2010 S1*2010-01-01*2010-06-30*Muy bajo*0.0*0.27**146617.18*1549*0.0*128103967*false*873.7309***0.25*0.02*-0.18*0.09*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2010 T1*2010-01-01*2010-03-31*Muy bajo*0.0*0.24**196569.66*1700*0.0*172054966*false*875.2875***0.12*0.01*0.02*0.04*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2011 T3*2011-07-01*2011-09-30*Muy bajo*0.0*0.97**118680.96*1676*0.0*104862616*false*883.5673***0.13*0.01*0.25*0.25*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2011 S1*2011-01-01*2011-06-30*Muy bajo*0.05*0.75**107187.79*1325*0.0*94467213*false*881.3244***0.25*0.02*0.25*0.16*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2011 T1*2011-01-01*2011-03-31*Muy bajo*0.01*0.53**110618.16*1375*0.0*97249205*false*879.1432***0.12*0.01*0.31*0.13*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2012 S2*2012-07-01*2012-12-31*1, en una escala del 1 al 7*0.0*0.08**91289.68*1290*0.0*81116502*false*888.5616*0.25**0.25*0.03*0.09*0.09*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2012 T3*2012-07-01*2012-09-30*1, en una escala del 1 al 7*0.0*0.12**92019.36*1377*0.0*81688987*false*887.737*0.13**0.13*0.01*0.22*0.14*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2012 S1*2012-01-01*2012-06-30*1, en una escala del 1 al 7*0.0*0.24**111148.86*1448*0.0*98457642*false*885.8178*0.25**0.25*0.02*-0.12*0.11*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2012 T1*2012-01-01*2012-03-31*Muy bajo*0.0*0.21**112422.29*1527*0.0*99702391*false*886.8561*0.12**0.12*0.01*0.21*0.09*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2013 S2*2013-07-01*2013-12-31*2, en una escala del 1 al 7*0.07*0.07**65381.56*989*0.0*58070434*false*888.1776*0.25**0.25*0.03***0.13
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2013 T3*2013-07-01*2013-09-30*1, en una escala del 1 al 7*0.0*0.05**70722.77*1086*0.0*62829474*false*888.391*0.13**0.13*0.01*-0.01*0.05*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2013 S1*2013-01-01*2013-06-30*1, en una escala del 1 al 7*0.0*0.04**73249.49*1138*0.0*65080656*false*888.4792*0.25**0.25*0.02*-0.03*0.06*0.14
BNP PARIBAS RENTA FIJA, FI*BNP P. CASH F.I.*2013 T1*2013-01-01*2013-03-31*1, en una escala del 1 al 7*0.0*0.02**78384.88*1209*0.0*69662576*false*888.7247*0.12**0.12*0.01*0.02*0.1*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2014 S2*2014-07-01*2014-12-31*2, en una escala del 1 al 7*0.0*0.0**49522.8*788*0.0*44373770*false*896.0272*0.25**0.25*0.03*0.14*0.37*0.14
BNP PARIBAS RENTA FIJA, FI*BNPP.RENTA FIJA CORTO PLAZO FI*2014 T3*2014-07-01*2014-09-30*2, en una escala del 1 al 7*0.0*0.01**48206.33*824*0.0*43132909*false*894.7561*0.13**0.13*0.01*0.24*0.28*0.14
