fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MEDIOLANUM MERCADOS EMERGENTES, FI*FIBANC LATINOAMERICA FI*61518734*Semester 2 2009*2009-07-01*2009-12-31*1294*N/D*ND*Muy alto*0.01*0.29**422314.37*549*0.0*5061223*false*11.9845***1.13*0.1*10.87*21.21*0.64*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM MERCADOS EMERGENTES, FI*FIBANC LATINOAMERICA FI*61518734*Trimester 3 2009*2009-07-01*2009-09-30*1294*N/D*ND*Muy alto*0.04*0.25**426583.47*541*0.0*4611243*false*10.8097***0.57*0.05*18.31*18.9*0.64*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM MERCADOS EMERGENTES, FI*FIBANC LATINOAMERICA FI*61518734*Semester 1 2009*2009-01-01*2009-06-30*1294*mprepiso@fibancmediolanum.es*ND*Muy Alto*0.27*0.46**437682.31*541*0.0*3998891*false*9.1365***1.12*0.1*27.28*28.57*0.65*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM MERCADOS EMERGENTES, FI*MEDIOLANUM MERCADOS EMERGENTES, FI CLASE L*61518734*Semester 2 2010*2010-07-01*2010-12-31*1294*N/D*ND*Muy alto*0.09*0.38**2614.14*4*0.0*32527*false*12.4427*[]*[]*0.0*0.04*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM MERCADOS EMERGENTES, FI*MEDIOLANUM MERCADOS EMERGENTES, FI CLASE S*61518734*Semester 2 2010*2010-07-01*2010-12-31*1294*N/D*ND*Muy alto*0.09*0.38**782983.42*4732*0.0*9710686*false*12.4022*[]*[]*1.59*0.17*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM MERCADOS EMERGENTES, FI*MEDIOLANUM MERCADOS EMERGENTES, FI*61518734*Trimester 3 2010*2010-07-01*2010-09-30*1294*N/D*ND*Muy alto*0.0*0.34**797102.2*4746*0.0*9679120*false*12.1429***1.26*0.14*2.7*13.53*1.46*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM MERCADOS EMERGENTES, FI*FIBANC LATINOAMERICA FI*61518734*Semester 1 2010*2010-01-01*2010-06-30*1294*N/D*ND*Muy alto*0.0*0.31**450648.56*570*0.0*5328528*false*11.8241***1.12*0.1*-5.19*23.62*0.67*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM MERCADOS EMERGENTES, FI*FIBANC LATINOAMERICA FI*61518734*Trimester 1 2010*2010-01-01*2010-03-31*1294*N/D*ND*Muy alto*0.0*0.28**427961.57*563*0.0*5337249*false*12.4713***0.56*0.05****MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM MERCADOS EMERGENTES, FI*MEDIOLANUM MERCADOS EMERGENTES, FI CLASE L*61518734*Trimester 3 2011*2011-07-01*2011-09-30*1294*N/D*ND*Muy alto*0.36*0.86**14627.29*12*0.0*162993*false*11.1431*[]*[]*0.38*0.05*-8.72*8.78*0.47*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM MERCADOS EMERGENTES, FI*MEDIOLANUM MERCADOS EMERGENTES, FI CLASE S*61518734*Trimester 3 2011*2011-07-01*2011-09-30*1294*N/D*ND*Muy alto*0.36*0.86**682293.52*4652*0.0*7554394*false*11.0721*[]*[]*0.45*0.05*-8.8*8.8*0.52*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
