fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TRUE VALUE, FI*TRUE VALUE, FI*86902186*Semester 2 2013*2013-07-01*2013-12-31*4683*jrivas@alphaplus.es*Baa2*7, en una escala del 1 al 7*0.0*0.0**30000.0*2*0.0*299076*false*9.9692*0.04*0.0*0.04*0.0****RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE, FI*86902186*Semester 2 2014*2014-07-01*2014-12-31*4683*info@alphaplus.es*n.d.*7, en una escala del 1 al 7*1.81*0.0**392136.57*105*0.0*4506761*false*11.4928*0.68*0.95*1.63*0.05*9.3*13.49*0.39*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE, FI*86902186*Trimester 3 2014*2014-07-01*2014-09-30*4683*info@alphaplus.es*Baa1*7, en una escala del 1 al 7*0.9*0.01**321359.51*70*0.0*3379232*false*10.5154*0.34*0.02*0.36*0.03*0.32*8.03*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE, FI*86902186*Semester 1 2014*2014-01-01*2014-06-30*4683*info@alphaplus.es*Baa1*7, en una escala del 1 al 7*3.09*0.16**303055.3*59*0.0*3176673*false*10.4822*0.66*0.55*1.21*0.05*2.66*8.74*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE, FI*86902186*Trimester 1 2014*2014-01-01*2014-03-31*4683*info@alphaplus.es*Baa1*7, en una escala del 1 al 7*2.36*0.2**271460.5*46*0.0*2771708*false*10.2104*0.33*0.32*0.65*0.02*2.42*13.47*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 2 2015*2015-07-01*2015-12-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*4.78*0.02**859885.876491*896*0.0*11087223*false*12.8938*0.68*0.2*0.88*0.05*5.12*9.01*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 3 2015*2015-07-01*2015-09-30*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*2.65*0.03**735224.220003*707*0.0*9018478*false*12.2663*0.34*-0.26*0.08*0.02*-2.49*12.61*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 1 2015*2015-01-01*2015-06-30*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*2.42*0.02**577688.793933*307*0.0*7266857*false*12.5792*0.67*0.7*1.37*0.05*-0.49*8.98*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 1 2015*2015-01-01*2015-03-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*1.06*0.0**518700.83613*263*0.0*6556672*false*12.6406*0.33*0.86*1.19*0.02*9.99*13.61*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 3 2016*2016-07-01*2016-09-30*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*1.19*0.14**1111265.97413*740*0.0*15073726*false*13.5645*0.34*0.51*0.85*0.03*6.91*7.74*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 1 2016*2016-01-01*2016-06-30*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*5.32*-0.17**1020022.57306*805*0.0*12942195*false*12.6881*0.67*0.0*0.67*0.05*-0.78*10.56*0.36*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 1 2016*2016-01-01*2016-03-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*3.44*-0.2**882561.118623*726*0.0*11286512*false*12.7884*0.34*0.0*0.34*0.02*-0.82*12.75*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 2 2015*2015-07-01*2015-12-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*4.78*0.02**859885.876491*896*0.0*11087223*false*12.8938*0.68*0.2*0.88*0.05*5.12*9.01*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 2 2017*2017-07-01*2017-12-31*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.19*0.28**9428185.042935*8933*0.0*169617779*false*17.9905*0.68*0.56*1.24*0.05*2.32*4.77*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Trimester 3 2017*2017-07-01*2017-09-30*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.2*0.3**6479935.399009*6115*0.0*113929463*false*17.5819*0.34*0.45*0.79*0.02*4.87*4.48*0.36*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
TRUE VALUE, FI*TRUE VALUE FI*86902186*Semester 1 2017*2017-01-01*2017-06-30*4683*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.24*0.43**4185557.088971*4165*0.0*70169291*false*16.7646*0.67*0.98*1.65*0.05*5.08*6.68*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0180792006
