fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONRADAR INTERNACIONAL, FI*"Fondradar
                Internacional F.I."*61333258*Semester 2 2009*2009-07-01*2009-12-31*994*info@gvcgaesco.es*AA+*medio*3.95*0.36**600652.48*188*0.0*5346394*false*8.901***0.76*0.03*-1.3*6.57*1.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*"Fondradar
                Internacional F.I."*61333258*Trimester 3 2009*2009-07-01*2009-09-30*994*info@gvcgaesco.es*AA+*medio*10.21*0.36**119122.23*209*0.0*1074239*false*9.018***0.34*0.02*7.9*9.91*1.15*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*"Fondradar
                Internacional F.I."*61333258*Semester 1 2009*2009-01-01*2009-06-30*994*info@gvcgaesco.es*AA+*medio*4.77*0.6**117386.48*209*0.0*981102*false*8.3579***0.67*0.05*19.06*19.91*0.72*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 2 2010*2010-07-01*2010-12-31*994*info@gvcgaesco.es*AA+*medio*0.2*0.72**657859.85*168*0.0*5845697*false*8.8859***0.35*0.05*-0.33*7.3*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*"Fonradar
                Internacional F.I."*61333258*Trimester 3 2010*2010-07-01*2010-09-30*994*info@gvcgaesco.es*AA+*medio*0.05*0.84**660030.37*171*0.0*5884262*false*8.9151***0.18*0.02*4.69*8.45*0.23*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 1 2010*2010-01-01*2010-06-30*994*info@gvcgaesco.es*AA+*medio*0.53*0.36**660030.4*172*0.0*5620407*false*8.5154***0.34*0.05*-4.85*14.8*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*"Fondradar
                Internacional F.I."*61333258*Trimester 1 2010*2010-01-01*2010-03-31*994*info@gvcgaesco.es*AA+*medio*0.28*0.36**620218.2*176*0.0*5550563*false*8.9494***0.18*0.02*0.54*5.84*0.27*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 2 2011*2011-07-01*2011-12-31*994*info@gvcgaesco.es*AA+*Medio*0.22*0.96**653319.44*165*0.0*5296843*false*8.1076*0.35*0.0*0.35*0.05*3.15*19.65*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 3 2011*2011-07-01*2011-09-30*994*info@gvcgaesco.es*AA+*Medio*0.07*0.84**655675.75*165*0.0*5153487*false*7.8598***0.1*0.03*-13.94*19.98*0.14*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Semester 1 2011*2011-01-01*2011-06-30*994*info@gvcgaesco.es*AA+*Medio*0.15*0.6**655850.08*167*0.0*5989870*false*9.133***0.41*0.05*-0.36*8.28*0.24*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 1 2011*2011-01-01*2011-03-31*994*info@gvcgaesco.es*AA+*medio*0.11*0.36**655850.08*167*0.0*6011395*false*9.1658***0.21*0.02*3.15*8.64*0.25*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
FONRADAR INTERNACIONAL, FI*Fondradar Internacional F.I.*61333258*Trimester 3 2012*2012-07-01*2012-09-30*994*info@gvcgaesco.es*A+*Medio*0.08*0.12**644453.52*155*0.0*5584420*false*8.6654*0.17*0.0*0.17*0.03*6.97*14.1*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0139957031
