fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2009*2009-07-01*2009-12-31*399*N/D*Aa3 (Moody's)*Alto*0.62*0.23**4135790.9*215*0.0*69897771*false*16.9007***0.38*0.05*1.22*5.28*0.21*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2009*2009-07-01*2009-09-30*399*N/D*Aa3 (Moody's)*Alto*0.41*0.23**4114496.81*215*0.0*68703006*false*16.6978***0.19*0.03*2.2*3.54*0.22*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2009*2009-01-01*2009-06-30*399*N/D*Aa3 (Moody's)*Alto*0.42*0.99**4246461.51*217*0.0*69377140*false*16.3376***0.37*0.05*4.8*4.15*0.21*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2010*2010-07-01*2010-12-31*399*info@grupobes.es*Aa3 (Moody's)*Alto*0.65*0.28**4055230.46*203*0.0*71717995*false*17.6853***0.38*0.05*4.69*5.7*0.22*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2010*2010-07-01*2010-09-30*399*info@grupobes.es*Aa3 (Moody's)*Alto*0.17*0.15**4082580.61*209*0.0*68970346*false*16.8938***0.19*0.03*0.17*5.62*0.22*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2010*2010-01-01*2010-06-30*399*info@grupobes.es*Aa3 (Moody's)*Alto*1.06*0.23**4063822.15*213*0.0*68539812*false*16.8658***0.37*0.05*-1.61*8.09*0.21*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2010*2010-01-01*2010-03-31*399*N/D*Aa3 (Moody's)*Alto*0.31*0.23**4041302.89*214*0.0*69274675*false*17.1417***0.19*0.02*1.43*5.25*0.21*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2011*2011-07-01*2011-12-31*399*info@grupobes.es*Ba1 (Moody's)*Alto*0.98*0.72**3755454.72*185*0.0*63399435*false*16.882*0.38*0.0*0.38*0.05*6.91*11.98*0.23*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2011*2011-07-01*2011-09-30*399*info@grupobes.es*Ba1 (Moody's)*Alto*0.77*0.64**3900336.35*199*0.0*61586746*false*15.7901***0.19*0.03*-6.39*11.82*0.22*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2011*2011-01-01*2011-06-30*399*info@grupobes.es*Baa2 (Moody's)*Alto*0.19*0.63**3894478.74*191*0.0*65692340*false*16.8681***0.37*0.05*-2.45*6.29*0.22*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2011*2011-01-01*2011-03-31*399*info@grupobes.es*A2 (Moody's)*Alto*0.2*0.47**3648516.15*194*0.0*63087722*false*17.2913***0.18*0.02*-2.23*6.87*0.21*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2012*2012-07-01*2012-09-30*399*info@grupobes.es*Ba3 (Moody's)*Alto*0.44*0.08**3702423.72*180*0.0*67073165*false*18.116*0.19*0.0*0.19*0.03*3.76*5.08*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2012*2012-01-01*2012-06-30*399*info@grupobes.es*Ba3 (Moody's)*Alto*0.95*-0.02**3717716.12*180*0.0*64909993*false*17.4596*0.37*0.0*0.37*0.05*-0.2*5.84*0.23*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2012*2012-01-01*2012-03-31*399*info@grupobes.es*Ba3 (Moody's)*Alto*0.51*-0.21**3726953.4*181*0.0*65204701*false*17.4954*0.19*0.0*0.19*0.02*3.63*6.14*0.23*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2011*2011-07-01*2011-12-31*399*info@grupobes.es*Ba1 (Moody's)*Alto*0.98*0.72**3755454.72*185*0.0*63399435*false*16.882*0.38*0.0*0.38*0.05*6.91*11.98*0.23*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 2 2013*2013-07-01*2013-12-31*399*info@grupobes.es*Ba3 (Moody's)*6 en una escala del 1 al 7*0.71*0.03**3630077.84*172*0.0*68335855*false*18.8249*0.38*0.0*0.38*0.05*3.21*5.26*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 3 2013*2013-07-01*2013-09-30*399*info@grupobes.es*Ba3 (Moody's)*6 en un rango del 1 al 7*0.27*0.03**3660127.59*176*0.0*66760049*false*18.2398*0.19*0.0*0.19*0.03*4.05*4.96*0.24*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Semester 1 2013*2013-01-01*2013-06-30*399*info@grupobes.es*Ba3 (Moody's)*6 en un rango del 1 al 7*0.73*0.08**3715256.82*176*0.0*65127904*false*17.5299*0.37*0.0*0.37*0.05*-3.16*6.9*0.24*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
GESDIVISA, FI*GESDIVISA, FI*80559958*Trimester 1 2013*2013-01-01*2013-03-31*399*info@grupobes.es*Ba3 (Moody's)*Alto*0.29*0.09**3736165.68*178*0.0*67634347*false*18.1026*0.18*0.0*0.18*0.02*0.48*4.87*0.25*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0142437039
