fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TREA BALANCED, FI*CLASE A TREA BALANCED, FI*88201397*Semester 2 2018*2018-07-01*2018-12-31*5306*N/D*BBB (S&P)*3 en una escala 7*0.0*-0.35**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE A TREA BALANCED, FI*88201397*Trimester 3 2019*2019-07-01*2019-09-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.0*0.15**83365.31*123*0.0*851399*false*10.2129*0.32*0.0*0.32*0.02*0.34*1.63*0.47*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE B TREA BALANCED, FI*88201397*Trimester 3 2019*2019-07-01*2019-09-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.0*0.15**522639.62*591*0.0*5287640*false*10.1172*0.18*0.0*0.18*0.03*0.49*1.63*0.23*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE C TREA BALANCED, FI*88201397*Trimester 3 2019*2019-07-01*2019-09-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.0*0.15**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE A TREA BALANCED, FI*88201397*Semester 1 2019*2019-01-01*2019-06-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.38*-0.07**229.21*2*0.0*2333*false*10.1782*0.63*0.0*0.63*0.04*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE B TREA BALANCED, FI*88201397*Semester 1 2019*2019-01-01*2019-06-30*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.38*-0.07**912310.09*843*0.0*9184759*false*10.0676*0.35*0.0*0.35*0.05*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE A TREA BALANCED, FI*88201397*Trimester 1 2019*2019-01-01*2019-03-31*5306*N/D*BBB (S&P)*3 en una escala 7*0.15*-0.35**882.08*3*0.0*8940*false*10.1347*0.3*0.0*0.3*0.02*1.35*1.77*0.36*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE B TREA BALANCED, FI*88201397*Trimester 1 2019*2019-01-01*2019-03-31*5306*N/D*BBB (S&P)*3 en una escala 7*0.15*-0.35**1250679.52*1067*0.0*12519141*false*10.0099*0.17*0.0*0.17*0.02*1.43*1.81*0.24*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE A TREA BALANCED, FI*88201397*Semester 2 2018*2018-07-01*2018-12-31*5306*N/D*BBB (S&P)*3 en una escala 7*0.0*-0.35**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE B TREA BALANCED, FI*88201397*Semester 2 2018*2018-07-01*2018-12-31*5306*N/D*BBB (S&P)*3 en una escala 7*0.0*-0.35**846762.76*743*0.0*8356078*false*9.8683*0.17*0.0*0.17*0.02*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA BALANCED, FI*CLASE A TREA BALANCED, FI*88201397*Semester 2 2020*2020-07-01*2020-12-31*5306*N/D*BBB+ (S&P)*3 en una escala 7*0.0*-0.51**149634.22*3155*0.0*1513834*false*10.1169*0.65*0.0*0.65*0.05*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
