fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA OBJETIVO 2026, FI*IBERCAJA OBJETIVO 2026 CLASE A*99553273*Semester 2 2019*2019-07-01*2019-12-31*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.03*-0.28**26333091.86*3008*0.0*160286794*false*6.0869*0.3*0.0*0.3*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA OBJETIVO 2026, FI*IBERCAJA OBJETIVO 2026 CLASE A*99553273*Trimester 3 2019*2019-07-01*2019-09-30*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.26**11876713.41*2138*0.0*74313213*false*6.2571*0.15*0.0*0.15*0.01*[]*[]*0.17*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA OBJETIVO 2026, FI*IBERCJA OBJETIVO 2026 CLASE B*99553273*Trimester 3 2019*2019-07-01*2019-09-30*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.26**5980171.47*4501*0.0*37436907*false*6.2602*0.07*0.0*0.07*0.01*[]*[]*0.09*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA OBJETIVO 2026, FI*IBERCAJA OBJETIVO 2026 CLASE A*99553273*Semester 2 2020*2020-07-01*2020-12-31*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.19**14047320.52*2941*0.0*90155747*false*6.418*0.3*0.0*0.3*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA OBJETIVO 2026, FI*IBERCJA OBJETIVO 2026 CLASE B*99553273*Semester 2 2020*2020-07-01*2020-12-31*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.19**25049714.1*4282*0.0*161461893*false*6.4457*0.15*0.0*0.15*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA OBJETIVO 2026, FI*IBERCAJA OBJETIVO 2026 CLASE A*99553273*Trimester 3 2020*2020-07-01*2020-09-30*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.18**15149377.37*3086*0.0*95347734*false*6.2938*0.15*0.0*0.15*0.01*2.61*2.89*0.16*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA OBJETIVO 2026, FI*IBERCJA OBJETIVO 2026 CLASE B*99553273*Trimester 3 2020*2020-07-01*2020-09-30*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.18**25957742.92*4353*0.0*163952917*false*6.3161*0.07*0.0*0.07*0.01*2.69*2.89*0.09*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA OBJETIVO 2026, FI*IBERCAJA OBJETIVO 2026 CLASE A*99553273*Semester 1 2020*2020-01-01*2020-06-30*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.04*-0.31**16141999.68*3221*0.0*99009347*false*6.1336*0.3*0.0*0.3*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA OBJETIVO 2026, FI*IBERCJA OBJETIVO 2026 CLASE B*99553273*Semester 1 2020*2020-01-01*2020-06-30*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.04*-0.31**26926736.38*4393*0.0*165618366*false*6.1507*0.15*0.0*0.15*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA OBJETIVO 2026, FI*IBERCAJA OBJETIVO 2026 CLASE A*99553273*Trimester 1 2020*2020-01-01*2020-03-31*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.01*-0.28**32234293.45*2825*0.0*194487968*false*6.0336*0.15*0.0*0.15*0.01*-0.88*15.14*0.16*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA OBJETIVO 2026, FI*IBERCJA OBJETIVO 2026 CLASE B*99553273*Trimester 1 2020*2020-01-01*2020-03-31*5405*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.01*-0.28**7446447.35*4394*0.0*45019437*false*6.0458*0.07*0.0*0.07*0.01*-0.8*15.14*0.08*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
