fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Semester 2 2017*2017-07-01*2017-12-31*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.51*0.0***0.0**false**0.5*1.3*1.8*0.04***
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Trimester 3 2017*2017-07-01*2017-09-30*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.3*0.0***0.0**false**0.25*0.51*0.76*0.02*2.37*7.42*0.32
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Semester 1 2017*2017-01-01*2017-06-30*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.53*0.0***0.0**false**0.47**0.47*0.04***
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Trimester 1 2017*2017-01-01*2017-03-31*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.0*0.0***0.0**false**0.19**0.19*0.02***0.29
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Semester 2 2018*2018-07-01*2018-12-31*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.46*0.0***0.0**false**0.5**0.5*0.04***
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Trimester 3 2018*2018-07-01*2018-09-30*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.22*0.0***0.0**false**0.25**0.25*0.02*1.05*7.4*0.3
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Semester 1 2018*2018-01-01*2018-06-30*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.61*0.0***0.0**false**0.5**0.5*0.04***
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Trimester 1 2018*2018-01-01*2018-03-31*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.13*0.0***0.0**false**0.25**0.25*0.02*-4.39*13.75*0.3
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Trimester 3 2019*2019-07-01*2019-09-30*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.28*0.0***0.0**false**0.25**0.25*0.02*-1.98*12.44*0.3
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Semester 1 2019*2019-01-01*2019-06-30*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.51*0.0***0.0**false**0.5**0.5*0.04***
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Trimester 1 2019*2019-01-01*2019-03-31*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.24*0.0***0.0**false**0.25**0.25*0.02*9.85*9.61*0.3
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Semester 2 2018*2018-07-01*2018-12-31*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.46*0.0***0.0**false**0.5**0.5*0.04***
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Semester 2 2020*2020-07-01*2020-12-31*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.7*-0.12***0.0**false**0.5**0.5*0.04***
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Trimester 3 2020*2020-07-01*2020-09-30*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.13*-0.12***0.0**false**0.25**0.25*0.02*0.57*11.2*0.42
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Semester 1 2020*2020-01-01*2020-06-30*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.96*-0.09***0.0**false**0.5**0.5*0.04***
ALONDRA CAPITAL, FI*ALONDRA CAPITAL, FI*87733978*Trimester 1 2020*2020-01-01*2020-03-31*5122*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.63*-0.03***0.0**false**0.25**0.25*0.02*-14.75*37.36*0.31
