fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 2 2009*2009-07-01*2009-12-31*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.06*0.26**1568314.26*103*0.0*16479589*false*10.5078***0.81*0.05*0.86*1.31*0.43*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Trimester 3 2009*2009-07-01*2009-09-30*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.04*0.25**1524279.01*105*0.0*15879913*false*10.418***0.4*0.03*1.68*0.71*0.44*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 1 2009*2009-01-01*2009-06-30*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.97*0.99**1379910.72*105*0.0*14138368*false*10.2459***0.79*0.05*0.22*0.39*0.43*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 2 2010*2010-07-01*2010-12-31*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.0*0.33**1648155.54*101*0.0*17020724*false*10.3271***1.24*0.09*-0.21*3.81*1.37*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Trimester 3 2010*2010-07-01*2010-09-30*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.0*0.32**1441057.85*102*0.0*14913691*false*10.3491***0.4*0.03*2.3*3.09*0.44*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 1 2010*2010-01-01*2010-06-30*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.09*0.26**1551130.0*103*0.0*15691892*false*10.1164***0.79*0.05*-3.44*4.28*0.43*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Trimester 1 2010*2010-01-01*2010-03-31*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.0*0.24**1603232.21*104*0.0*16796262*false*10.4765***0.39*0.02*-0.3*1.76*0.43*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Trimester 3 2011*2011-07-01*2011-09-30*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.0*0.7**1522845.36*104*0.0*14441593*false*9.4833***0.4*0.03*-11.34*10.73*0.44*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 1 2011*2011-01-01*2011-06-30*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.41*0.64**1551962.79*100*0.0*16600528*false*10.6965***0.79*0.05*-0.63*4.76*0.44*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Trimester 1 2011*2011-01-01*2011-03-31*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.22*0.47**1578654.08*101*0.0*16993116*false*10.7643***0.39*0.02*4.23*4.59*0.47*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
DP FONGLOBAL FI*PRIVAT BCN MIXTO F.I.*60094075*Semester 2 2010*2010-07-01*2010-12-31*339*pbp@privatbank.es*AA (S&P)*Medio-Alto*0.0*0.33**1648155.54*101*0.0*17020724*false*10.3271***1.24*0.09*-0.21*3.81*1.37*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0114907035
