fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 2 2009*2009-07-01*2009-12-31*1175*informesfondos@gruposantander.com*Aa2*Alto*1.22*0.28**1549993.78*104*0.0*10940098*false*7.0582***0.35*0.05*1.4*7.76*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 3 2009*2009-07-01*2009-09-30*1175*comsanassetm@gruposantander.com*Aa2*Alto*0.48*0.28**1557193.78*104*0.0*10840000*false*6.9609***0.18*0.03*0.39*4.9*0.3*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 1 2009*2009-01-01*2009-06-30*1175*comsanassetm@gruposantander.com*Aa1*Alto*1.52*1.38**1316893.78*104*0.0*9131000*false*6.9341***0.35*0.05*1.7*4.31*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 2 2010*2010-07-01*2010-12-31*1175*informesfondos@gruposantander.com*Aa2*Alto*0.57*0.51**1457291.78*104*0.0*10411665*false*7.1445***0.35*0.05*2.98*5.04*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 3 2010*2010-07-01*2010-09-30*1175*informesfondos@gruposantander.com*Aa2*Alto*0.35*0.41**1464791.78*102*0.0*10162257*false*6.9377***0.18*0.03*3.07*6.94*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 1 2010*2010-01-01*2010-06-30*1175*informesfondos@gruposantander.com*Aa2*Alto*1.42*0.37**1541391.78*102*0.0*10375257*false*6.7311***0.35*0.05*-3.04*10.39*0.29*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 1 2010*2010-01-01*2010-03-31*1175*informesfondos@gruposantander.com*Aa2*Alto*0.92*0.38**1545493.78*104*0.0*10728665*false*6.9419***0.17*0.02*-1.65*11.29*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 3 2011*2011-07-01*2011-09-30*1175*informesfondos@gruposantander.com*Aa2*Alto*0.17*1.01**2114665.59*104*0.0*14067387*false*6.6523***0.18*0.03*-8.28*14.7*0.24*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 1 2011*2011-01-01*2011-06-30*1175*informesfondos@gruposantander.com*Aa2*Alto*1.01*0.81**2122665.59*104*0.0*15395933*false*7.2531***0.35*0.05*-0.62*6.67*0.24*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Trimester 1 2011*2011-01-01*2011-03-31*1175*informesfondos@gruposantander.com*Aa2*Alto*0.04*0.57**2005384.15*104*0.0*14635371*false*7.298***0.17*0.02*2.15*4.55*0.24*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
FONDANETO, FI*FONDANETO, F.I.*81820060*Semester 2 2010*2010-07-01*2010-12-31*1175*informesfondos@gruposantander.com*Aa2*Alto*0.57*0.51**1457291.78*104*0.0*10411665*false*7.1445***0.35*0.05*2.98*5.04*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0138772035
