fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 2 2015*2015-07-01*2015-12-31*4846*gestora@fineco.com*A+  (S&P)*7 en una escala de 1 a 7*2.46*0.0**6301596.47*240*0.0*61849035*false*9.8148*0.25**0.25*0.03*7.16*21.75*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 3 2015*2015-07-01*2015-09-30*4846*gestora@fineco.com*A+  (S&P)*7 en una escala de 1 a 7*1.27*0.0**4810116.63*169*0.0*44055179*false*9.1589*0.13**0.13*0.01*-9.22*33.66*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 1 2015*2015-01-01*2015-06-30*4846*gestora@fineco.com*A+  (S&P)*7 en una escala de 1 a 7*7.04*0.0**4073453.67*155*0.0*41097432*false*10.0891*0.25**0.25*0.02*-3.87*20.53*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 1 2015*2015-01-01*2015-03-31*4846*gestora@fineco.com*A+  (S&P)*7 en una escala de 1 a 7*10.08*0.0**3470474.56*134*0.0*36423522*false*10.4953*0.12**0.12*0.01***0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 2 2016*2016-07-01*2016-12-31*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.09*0.0**6705320.69*243*0.0*70264852*false*10.479*0.25**0.25*0.03*14.67*16.88*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 3 2016*2016-07-01*2016-09-30*4846*gestora@fineco.com*A+*6 en una escala de 6 a 7*0.02*0.0**6476576.87*238*0.0*59184785*false*9.1383*0.13**0.13*0.01*6.32*20.51*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 1 2016*2016-01-01*2016-06-30*4846*gestora@fineco.com*A+  (S&P)*6 en una escala de 1 a 7*0.05*0.0**6587197.0*239*0.0*56615108*false*8.5947*0.25**0.25*0.02*-3.27*36.13*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 1 2016*2016-01-01*2016-03-31*4846*gestora@fineco.com*A+  (S&P)*7 en una escala de 1 a 7*0.03*0.0**6401630.08*242*0.0*56879781*false*8.8852*0.12**0.12*0.01*-9.47*32.25*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 3 2017*2017-07-01*2017-09-30*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.44*-0.36**1709158.3*110*0.0*21650026*false*12.6671*0.13**0.13*0.01*7.77*16.87*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Semester 1 2017*2017-01-01*2017-06-30*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*2.24*-0.36**2669939.07*151*0.0*31382827*false*11.7541*0.25**0.25*0.02*2.12*16.5*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
FON FINECO INVERSION, FI*FON FINECO INVERSION FI*95785788*Trimester 1 2017*2017-01-01*2017-03-31*4846*gestora@fineco.com*A+*6 en una escala de 1 a 7*0.73*0.0**5008078.82*225*0.0*57641072*false*11.5096*0.12**0.12*0.01*9.84*14.51*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0137396000
