fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Semester 2 2009*2009-07-01*2009-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.13*0.45**5360.14*274*0.0*3654576*false*681.806***0.0*0.04*2.77*7.33*0.05*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*R. CESTA MODERADA 60 FI*83021683*Trimester 3 2009*2009-07-01*2009-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.19*0.5**5453.41*277*0.0*3618079*false*663.453***0.0*0.02*6.95*7.85*0.07*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*R. CESTA MODERADA 60 FI*83021683*Semester 1 2009*2009-01-01*2009-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*A*Medio / Alto*0.62*1.21**5769.02*286*0.0*3578812*false*620.3504***0.0*0.1*3.09*8.92*0.08*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Semester 2 2010*2010-07-01*2010-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.52**5573.58*266*0.0*3922213*false*703.7152***0.0*0.04*2.58*5.75*0.04*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Trimester 3 2010*2010-07-01*2010-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.45**5773.22*272*0.0*3960553*false*686.0209***0.0*0.02*1.89*8.44*0.04*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Semester 1 2010*2010-01-01*2010-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.34**5954.85*281*0.0*4009375*false*673.2958***0.0*0.04*-3.91*11.43*0.05*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Trimester 1 2010*2010-01-01*2010-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.34**5480.95*275*0.0*3840485*false*700.6975***0.0*0.02*2.77*7.34*0.05*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Semester 2 2011*2011-07-01*2011-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.9**4582.28*224*0.0*3149100*false*687.2341*0.0**0.0*0.04*4.2*10.0*0.57*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Trimester 3 2011*2011-07-01*2011-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.01*1.0**4633.76*232*0.0*3056133*false*659.5362***0.0*0.02*-5.12*12.32*0.07*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Semester 1 2011*2011-01-01*2011-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.88**4812.12*236*0.0*3345094*false*695.1391***0.0*0.04*-1.58*5.94*0.06*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Trimester 1 2011*2011-01-01*2011-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.66**5333.77*251*0.0*3767086*false*706.2703***0.0*0.02*0.36*6.59*0.05*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Semester 2 2012*2012-07-01*2012-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio / Alto*1.1*0.11**6791.96*468*0.0*4871640*false*717.2651*0.0**0.0*0.04*0.12*4.51*0.54*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Trimester 3 2012*2012-07-01*2012-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio / Alto*0.0*0.14**4072.36*199*0.0*2917526*false*716.4219*0.0**0.0*0.02*3.39*5.63*0.56*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Semester 1 2012*2012-01-01*2012-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.46*0.35**4198.49*203*0.0*2909409*false*692.9661*0.0**0.0*0.04*-0.92*5.69*0.52*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA MODERADA 60 FI*83021683*Trimester 1 2012*2012-01-01*2012-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.46*0.37**4450.52*214*0.0*3112537*false*699.3644*0.0**0.0*0.02*1.77*4.76*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Semester 2 2013*2013-07-01*2013-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.1**5611.11*300*0.0*4515531*false*804.7489*0.0**0.0*0.03*5.63*5.86*0.57*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Trimester 3 2013*2013-07-01*2013-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.09**5651.54*304*0.0*4305671*false*761.8575*0.0**0.0*0.02*3.76*5.91*0.56*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Semester 1 2013*2013-01-01*2013-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*5 en una escala del 1 al 7*0.04*0.07**5682.94*326*0.0*4172836*false*734.2746*0.0**0.0*0.03*-0.69*8.54*0.54*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Trimester 1 2013*2013-01-01*2013-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio / Alto*0.06*0.07**5789.71*322*0.0*4280863*false*739.3921*0.0**0.0*0.01***0.61*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Trimester 3 2014*2014-07-01*2014-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.03**6604.87*313*0.0*5742397*false*869.4181*0.0**0.0*0.02*2.75*7.21*0.55*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Semester 1 2014*2014-01-01*2014-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.18*0.2**6207.73*300*0.0*5252406*false*846.108*0.0**0.0*0.03*4.04*5.93*0.56*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Trimester 1 2014*2014-01-01*2014-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.21*0.19**5510.12*300*0.0*4481161*false*813.2605*0.0**0.0*0.01*1.06*7.24*0.55*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Semester 2 2013*2013-07-01*2013-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.1**5611.11*300*0.0*4515531*false*804.7489*0.0**0.0*0.03*5.63*5.86*0.57*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Semester 2 2015*2015-07-01*2015-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.0**13655.36*585*0.0*12261525*false*897.9276*0.0**0.0*0.04*1.36*8.67*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Trimester 3 2015*2015-07-01*2015-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.0**13164.3*566*0.0*11662244*false*885.8995*0.0**0.0*0.02*-4.9*11.08*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Semester 1 2015*2015-01-01*2015-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.01**11785.54*556*0.0*10978808*false*931.5486*0.0**0.0*0.03*-3.01*8.9*0.53*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Trimester 1 2015*2015-01-01*2015-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.01**10117.32*491*0.0*9717242*false*960.4562*0.0**0.0*0.02*10.01*8.63*0.52*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Semester 2 2016*2016-07-01*2016-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*5 en una escala del 1 al 7*1.54*0.0**12923.53*609*0.0*11991536*false*927.8837*0.85**0.85*0.05*4.79*7.58*0.63*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Trimester 3 2016*2016-07-01*2016-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.62*0.0**12437.03*565*0.0*11012838*false*885.4878*0.41**0.41*0.02***0.68*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Semester 1 2016*2016-01-01*2016-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.0**12442.57*555*0.0*10653266*false*856.195*0.0**0.0*0.04*-1.33*10.57*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*RURAL CESTA DECIDIDA 60 FI*83021683*Trimester 1 2016*2016-01-01*2016-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.0**12395.9*561*0.0*10756449*false*867.7425*0.0**0.0*0.02*-3.36*12.34*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Semester 2 2017*2017-07-01*2017-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.0*-0.09**21530.26*1077*0.0*21292713*false*988.9669*0.88**0.88*0.05*0.73*4.48*0.61*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Trimester 3 2017*2017-07-01*2017-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.0*0.0**18630.16*956*0.0*18290264*false*981.7556*0.44**0.44*0.03*-0.09*5.61*0.61*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Semester 1 2017*2017-01-01*2017-06-30*2465*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.53*0.0**16579.08*836*0.0*16291066*false*982.6279*0.87**0.87*0.05*-0.31*5.28*0.63*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Trimester 1 2017*2017-01-01*2017-03-31*2465*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*5 en una escala del 1 al 7*0.18*0.0**14914.27*731*0.0*14700430*false*985.6618*0.43**0.43*0.02*6.23*5.19*0.62*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Semester 2 2018*2018-07-01*2018-12-31*2465*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.39*-0.13**32961.66*1437*0.0*28386042*false*861.1836*0.88**0.88*0.05*-10.95*9.82*0.6*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
RURAL PERFIL DECIDIDO, FI*GESCO GESTION DECIDIDO FI*83021683*Trimester 3 2018*2018-07-01*2018-09-30*2465*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.22*-0.17**34003.23*1463*0.0*32883251*false*967.0627*0.44**0.44*0.03*-0.98*4.73*0.59*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174304032
