fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GVC GAESCO EUROPA, FI*Gaescoquant F.I.*61637435*Semester 2 2009*2009-07-01*2009-12-31*1474*info@gvcgaesco.es*BBB +*alto*0.04*0.36**3590681.37*944*0.0*10182638*false*2.8359***1.13*0.05*-4.2*15.23*0.69*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*Gaescoquant F.I.*61637435*Trimester 3 2009*2009-07-01*2009-09-30*1474*info@gvcgaesco.es*BBB +*alto*0.0*0.36**3804609.34*994*0.0*11262725*false*2.9603***0.57*0.02*23.0*20.84*0.7*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*Gaescoquant F.I.*61637435*Semester 1 2009*2009-01-01*2009-06-30*1474*info@gvcgaesco.es*BBB +*alto*0.32*0.48**4062711.95*1046*0.0*9778265*false*2.4068***1.12*0.05*21.97*46.77*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC GaescoQuant, F.I.*61637435*Semester 2 2010*2010-07-01*2010-12-31*1474*info@gvcgaesco.es*Aa2*muy alto*0.59*0.49**3256593.63*769*0.0*10382061*false*3.188***1.13*0.05*7.45*15.36*0.61*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC GaescoQuant, F.I.*61637435*Trimester 3 2010*2010-07-01*2010-09-30*1474*info@gvcgaesco.es*BBB +*alto*0.38*0.48**3221946.76*819*0.0*9559385*false*2.967***0.57*0.03*4.6*19.86*0.58*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*Gaescoquant F.I.*61637435*Semester 1 2010*2010-01-01*2010-06-30*1474*info@gvcgaesco.es*BBB +*alto*0.34*0.48**3277052.16*853*0.0*9295080*false*2.8364***1.12*0.05*-6.15*31.81*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*Gaescoquant F.I.*61637435*Trimester 1 2010*2010-01-01*2010-03-31*1474*info@gvcgaesco.es*BBB +*alto*0.39*0.24**3398304.25*905*0.0*10270500*false*3.0222***0.56*0.02*6.57*15.81*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa, F.I.*61637435*Semester 2 2011*2011-07-01*2011-12-31*1474*info@gvcgaesco.es*A*Muy alto*0.54*1.33**4237727.38*994*0.0*10814032*false*2.5518*1.14*0.0*1.14*0.05*5.86*38.68*0.61*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC GaescoQuant, F.I.*61637435*Trimester 3 2011*2011-07-01*2011-09-30*1474*info@gvcgaesco.es*A*Muy alto*0.21*0.96**3047194.33*775*0.0*7345657*false*2.4106***0.57*0.03*-26.05*38.98*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC GaescoQuant, F.I.*61637435*Semester 1 2011*2011-01-01*2011-06-30*1474*info@gvcgaesco.es*A*Muy alto*0.08*1.33**3176586.37*785*0.0*10354655*false*3.2597***1.12*0.05*-1.06*14.43*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC GaescoQuant, F.I.*61637435*Trimester 1 2011*2011-01-01*2011-03-31*1474*info@gvcgaesco.es*A*Alto*0.0*1.09**3386327.14*787*0.0*11156400*false*3.2945***0.55*0.02*3.34*15.81*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 3 2012*2012-07-01*2012-09-30*1474*info@gvcgaesco.es*BBB-*Muy alto*0.24*2.14**3999809.89*969*0.0*11856513*false*2.9643*0.57*0.0*0.57*0.03*11.82*26.31*0.6*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Semester 1 2012*2012-01-01*2012-06-30*1474*info@gvcgaesco.es*BBB-*Muy alto*0.3*1.45**4043759.11*972*0.0*10720043*false*2.651*1.12*0.0*1.12*0.05*-7.98*27.56*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
GVC GAESCO EUROPA, FI*GVC Gaesco Europa F.I.*61637435*Trimester 1 2012*2012-01-01*2012-03-31*1474*info@gvcgaesco.es*BBB-*Muy alto*0.19*1.45**4217488.65*984*0.0*12150026*false*2.8809*0.56*0.0*0.56*0.02*12.89*20.78*0.59*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0140643034
