fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 2 2009*2009-07-01*2009-12-31*1285*fondos@segurosbilbao.com*ND*Moderado*0.04*0.28**680891.13*222*0.0*6440856*false*9.4595***0.73*0.04*0.96*4.85*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 3 2009*2009-07-01*2009-09-30*1285*fondos@segurosbilbao.com*ND*Moderado*0.02*0.27**607144.41*178*0.0*5688724*false*9.3696***0.37*0.02*4.9*4.5*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 1 2009*2009-01-01*2009-06-30*1285*fondos@segurosbilbao.com*ND*Moderado*0.0*0.97**573692.92*171*0.0*5124421*false*8.9323***0.72*0.04*4.68*5.3*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 2 2010*2010-07-01*2010-12-31*1285*fondos@segurosbilbao.com*ND*Moderado*0.0*0.5**676906.36*202*0.0*6112018*false*9.0293***0.73*0.04*-1.34*5.59*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 3 2010*2010-07-01*2010-09-30*1285*fondos@segurosbilbao.com*ND*Moderado*0.0*0.41**675396.97*213*0.0*6181191*false*9.1519***0.37*0.02*3.63*5.66*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 1 2010*2010-01-01*2010-06-30*1285*fondos@segurosbilbao.com*ND*Moderado*0.22*0.34**691091.9*219*0.0*6103255*false*8.8313***0.72*0.04*-4.52*11.11*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 1 2010*2010-01-01*2010-03-31*1285*fondos@segurosbilbao.com*ND*Moderado*0.24*0.31**717657.49*229*0.0*6637872*false*9.2494***0.36*0.02*-2.22*5.2*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 3 2011*2011-07-01*2011-09-30*1285*fondos@segurosbilbao.com*ND*Moderado*0.03*1.0**663983.84*182*0.0*5841175*false*8.7972***0.37*0.02***0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 1 2011*2011-01-01*2011-06-30*1285*fondos@segurosbilbao.com*ND*Moderado*0.11*0.77**663470.47*188*0.0*6114533*false*9.216***0.72*0.04*-0.21*4.82*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Trimester 1 2011*2011-01-01*2011-03-31*1285*fondos@segurosbilbao.com*ND*Moderado*0.03*0.57**667683.72*192*0.0*6166003*false*9.2349***0.36*0.02*2.28*5.31*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 2 2010*2010-07-01*2010-12-31*1285*fondos@segurosbilbao.com*ND*Moderado*0.0*0.5**676906.36*202*0.0*6112018*false*9.0293***0.73*0.04*-1.34*5.59*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
GCO MIXTO, FI*Fonbilbao Mixto, FI*48941942*Semester 2 2012*2012-07-01*2012-12-31*1285*fondos@segurosbilbao.com*BBB- (S&P)*Moderado*0.0*0.25**547615.58*156*0.0*4971860*false*9.0791*0.73*0.0*0.73*0.04*2.66*4.34*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138478039
