fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2009*2009-07-01*2009-12-31*40*fondos@bankoa-gestion.es*ND*Medio-alto*0.35*0.25**165325.68*778*0.0*38684218*false*233.988***1.13*0.05*1.24*9.32*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2009*2009-07-01*2009-09-30*40*fondos@bankoa-gestion.es*ND*Medio-alto*0.25*0.25**164976.39*755*0.0*38130711*false*231.1283***0.57*0.03*9.6*9.58*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2009*2009-01-01*2009-06-30*40*fondos@bankoa-gestion.es*ND*Medio-alto*0.61*0.97**164186.92*751*0.0*34625622*false*210.8915***1.12*0.05*6.16*8.38*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2010*2010-07-01*2010-12-31*40*fondos@bankoa-gestion.es*A1 (Moody's)*Medio-alto*0.14*0.49**136351.13*680*0.0*29463178*false*216.0831***1.14*0.05*-1.36*7.44*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2010*2010-07-01*2010-09-30*40*fondos@bankoa-gestion.es*A1*Medio-alto*0.02*0.4**149802.41*717*0.0*32816550*false*219.0656***0.57*0.03*4.98*8.44*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2010*2010-01-01*2010-06-30*40*fondos@bankoa-gestion.es*ND*Medio-alto*0.31*0.29**157991.81*733*0.0*32969099*false*208.676***1.12*0.05*-6.88*16.76*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2010*2010-01-01*2010-03-31*40*fondos@bankoa-gestion.es*ND*Medio-alto*0.1*0.24**165530.17*771*0.0*37092962*false*224.0858***0.56*0.02*-4.23*9.68*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 3 2011*2011-07-01*2011-09-30*40*fondos@bankoa-gestion.es*A1 (Moody's)*Medio-Alto*0.0*1.01**127489.73*631*0.0*25592496*false*200.7416***0.57*0.03*-8.83*16.73*-1.34*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 1 2011*2011-01-01*2011-06-30*40*fondos@bankoa-gestion.es*A1 (Moody's)*Medio-Alto*0.41*0.77**128973.0*642*0.0*28398111*false*220.1865***1.12*0.05*-0.33*8.98*0.61*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Trimester 1 2011*2011-01-01*2011-03-31*40*fondos@bankoa-gestion.es*A+ (IBCA)*Medio-alto*0.2*0.56**132248.02*663*0.0*29216521*false*220.9222***0.55*0.02*2.24*8.72*0.59*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
FONDGESKOA, FI*601 - FONDGESKOA,F.I.*48215396*Semester 2 2010*2010-07-01*2010-12-31*40*fondos@bankoa-gestion.es*A1 (Moody's)*Medio-alto*0.14*0.49**136351.13*680*0.0*29463178*false*216.0831***1.14*0.05*-1.36*7.44*0.6*BANKOA GESTIÓN, S.A., S.G.I.I.C.*BANKOA, S.A.*ES0138869039
