fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 2 2009*2009-07-01*2009-12-31*315*ayuda@openbank.es*Aa2*Bajo*1.17*0.29**506257868.78*2119*0.0*82399165*false*0.1628***0.05*0.05*0.21*0.11*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 3 2009*2009-07-01*2009-09-30*315*ayuda@openbank.es*Aa2*Bajo*0.51*0.27**560673328.77*2296*0.0*91065000*false*0.1624***0.03*0.03*0.35*0.09*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK DINERO, F.I.*80283781*Semester 1 2009*2009-01-01*2009-06-30*315*ayuda@openbank.es*Aa1*Muy Bajo*1.69*1.33**612909433.21*2438*0.0*99202000*false*0.1619***0.05*0.05*0.36*0.13*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 2 2010*2010-07-01*2010-12-31*315*ayuda@openbank.es*Aa2*Bajo*0.77*0.48**352999986.09*1556*0.0*57668879*false*0.1634***0.05*0.05*-0.09*0.37*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 3 2010*2010-07-01*2010-09-30*315*ayuda@openbank.es*Aa2*Bajo*0.63*0.39**385001235.41*1681*0.0*62954352*false*0.1635***0.03*0.03*0.49*0.16*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 1 2010*2010-01-01*2010-06-30*315*ayuda@openbank.es*Aa2*Bajo*0.4*0.31**414683857.3*1776*0.0*67474165*false*0.1627***0.05*0.05*-0.35*0.42*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 1 2010*2010-01-01*2010-03-31*315*ayuda@openbank.es*Aa2*Bajo*0.26*0.25**470589537.54*1998*0.0*76837303*false*0.1633***0.02*0.02*0.32*0.13*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 3 2011*2011-07-01*2011-09-30*315*ayuda@openbank.es*Aa2*Bajo*0.22*0.93**355036219.04*1595*0.0*59131169*false*0.1665***0.03*0.03*0.45*0.4*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 1 2011*2011-01-01*2011-06-30*315*ayuda@openbank.es*Aa2*Bajo*0.72*0.7**345305421.62*1586*0.0*57250935*false*0.1658***0.05*0.05*0.5*0.2*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 1 2011*2011-01-01*2011-03-31*315*ayuda@openbank.es*Aa2*Bajo*0.17*0.5**355715102.08*1601*0.0*58683385*false*0.165***0.02*0.02*0.98*0.31*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 2 2010*2010-07-01*2010-12-31*315*ayuda@openbank.es*Aa2*Bajo*0.77*0.48**352999986.09*1556*0.0*57668879*false*0.1634***0.05*0.05*-0.09*0.37*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 3 2012*2012-07-01*2012-09-30*315*ayuda@openbank.es*Baa2*Bajo*0.49*0.16**339398570.39*1600*0.0*58166445*false*0.1714*0.03**0.03*0.03*1.21*0.83*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 1 2012*2012-01-01*2012-06-30*315*ayuda@openbank.es*Baa2*Bajo*1.09*0.28**334590519.34*1603*0.0*56658431*false*0.1693*0.05**0.05*0.05*-0.36*0.75*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Trimester 1 2012*2012-01-01*2012-03-31*315*ayuda@openbank.es*Aa3*Bajo*0.71*0.29**350693884.73*1619*0.0*59600853*false*0.17*0.02**0.02*0.02*1.09*0.35*0.05*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
OPENBANK AHORRO, FI*OPENBANK CORTO PLAZO, F.I.*80283781*Semester 2 2011*2011-07-01*2011-12-31*315*ayuda@openbank.es*Aa3*Bajo*0.41*0.95**345606893.4*1546*0.0*58105407*false*0.1681*0.05**0.05*0.05*0.95*0.9*0.06*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0178172039
