fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Semester 2 2010*2010-07-01*2010-12-31*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*1.09*0.5**131973.39*197*0.0*13360289*false*101.2347***0.59*0.04****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER PATRIMONIO DECIDIDO, F.I.*85932945*Trimester 3 2010*2010-07-01*2010-09-30*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*1.13*0.44**32994.54*2*0.0*3292503*false*99.7893***0.13*0.02****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Trimester 3 2011*2011-07-01*2011-09-30*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.09*0.87**682179.32*1036*0.0*61067258*false*89.5179***0.43*0.02*-12.92*16.13*0.47*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Semester 1 2011*2011-01-01*2011-06-30*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.24*0.69**759916.66*1163*0.0*78116881*false*102.7966***0.84*0.05*0.7*6.62*0.47*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Trimester 1 2011*2011-01-01*2011-03-31*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.07*0.58**678525.71*1042*0.0*69266667*false*102.0841***0.41*0.02*0.84*6.5*0.48*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Semester 2 2010*2010-07-01*2010-12-31*4253*informesfondos@gruposantander.com*Aa2*Medio-Alto*1.09*0.5**131973.39*197*0.0*13360289*false*101.2347***0.59*0.04****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 3 2012*2012-07-01*2012-09-30*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.08*0.13**527722.92*862*0.0*52748424*false*99.9548*0.43*[]*0.43*0.02*1.43*8.71*0.66*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 3 2012*2012-07-01*2012-09-30*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.08*0.13**1892.39*15*0.0*189010*false*99.8788*0.47*[]*0.47*0.02*1.38*8.71*0.7*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 1 2012*2012-01-01*2012-06-30*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.49*0.22**550217.81*895*0.0*54223316*false*98.5488*0.85*[]*0.85*0.04*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 1 2012*2012-01-01*2012-06-30*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.49*0.22**649.87*4*0.0*64023*false*98.5167*0.32*[]*0.32*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 1 2012*2012-01-01*2012-03-31*4253*informesfondos@gruposantander.com*Aa3*Medio-Alto*0.21*0.28**575898.39*931*0.0*56770602*false*98.5775*0.42*[]*0.42*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 1 2012*2012-01-01*2012-03-31*4253*informesfondos@gruposantander.com*Aa3*Medio-Alto*0.21*0.28**0.0*0*0.0*0*false*0.0*0.0*[]*0.0*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*SANTANDER SELECT DECIDIDO, F.I.*85932945*Semester 2 2011*2011-07-01*2011-12-31*4253*informesfondos@gruposantander.com*Aa3*Medio-Alto*0.3*0.77**605130.61*959*0.0*56385040*false*93.1783*0.86**0.86*0.05*4.09*14.37*0.77*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Semester 2 2013*2013-07-01*2013-12-31*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.67*0.06**1210006.23*2057*0.0*136466080*false*112.7813*0.85*[]*0.85*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Semester 2 2013*2013-07-01*2013-12-31*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.67*0.06**51559.79*572*0.0*5797950*false*112.451*0.95*[]*0.95*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase S*85932945*Trimester 3 2013*2013-07-01*2013-09-30*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.64*0.05**871825.91*1426*0.0*93709271*false*107.4862*0.43*[]*0.43*0.02*3.69*4.53*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MI FONDO SANTANDER DECIDIDO, FI*S. Select Decidido - Clase A*85932945*Trimester 3 2013*2013-07-01*2013-09-30*4253*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.64*0.05**27771.09*314*0.0*2977637*false*107.2208*0.48*[]*0.48*0.02*3.64*4.53*0.65*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
