fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Semester 2 2009*2009-07-01*2009-12-31*3605*acgestionclientes@ahorro.com*AA-   FITCH*Medio*0.61*0.17**9997.33*1212*0.0*13553476*false*1355.7094***0.5*0.02*0.3*2.64*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Trimester 3 2009*2009-07-01*2009-09-30*3605*acgestionclientes@ahorro.com*AA-   FITCH*Medio*0.28*0.11**10056.95*1330*0.0*13593160*false*1351.6181***0.25*0.01*2.33*3.65*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Semester 1 2009*2009-01-01*2009-06-30*3605*acgestionclientes@ahorro.com*AA-   IBCA*MEDIO*0.49*1.11**11301.17*1420*0.0*14927154*false*1320.8507***0.5*0.02*-1.0*4.99*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Trimester 3 2010*2010-07-01*2010-09-30*3605*acgestionclientes@ahorro.com*AA-   FITCH*Medio*1.04*0.36**6471.44*989*0.0*8686237*false*1342.2421***0.25*0.01*-0.36*1.34*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Semester 1 2010*2010-01-01*2010-06-30*3605*acgestionclientes@ahorro.com*AA-   FITCH*Medio*0.19*0.26**6948.66*1028*0.0*9360214*false*1347.0531***0.5*0.02*-0.5*1.17*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Trimester 1 2010*2010-01-01*2010-03-31*3605*acgestionclientes@ahorro.com*AA-   FITCH*Medio*0.01*0.16**7712.5*1098*0.0*10440846*false*1353.7572***0.25*0.01*-0.14*1.55*0.27*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Semester 2 2009*2009-07-01*2009-12-31*3605*acgestionclientes@ahorro.com*AA-   FITCH*Medio*0.61*0.17**9997.33*1212*0.0*13553476*false*1355.7094***0.5*0.02*0.3*2.64*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Trimester 3 2011*2011-07-01*2011-09-30*3605*acgestionclientes@ahorro.com*A1    MOODY'S*Medio*0.19*1.08**4841.17*825*0.0*6549204*false*1352.814***0.25*0.01*0.03*0.51*0.29*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Semester 1 2011*2011-01-01*2011-06-30*3605*acgestionclientes@ahorro.com*A1    MOODY'S*Medio*0.53*0.73**5194.11*868*0.0*7024816*false*1352.4575***0.5*0.02*0.21*0.35*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Trimester 1 2011*2011-01-01*2011-03-31*3605*acgestionclientes@ahorro.com*A1    MOODY'S*Medio*0.24*0.59**5489.3*897*0.0*7408365*false*1349.6021***0.25*0.01*0.9*0.45*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
IMANTIA RENTA FIJA FLEXIBLE, FI*A.C. Renta Fija Euro, F.I.*79489316*Semester 2 2010*2010-07-01*2010-12-31*3605*acgestionclientes@ahorro.com*AA-   FITCH*Medio*1.47*0.51**5884.85*942*0.0*7871436*false*1337.5754***0.5*0.02*-0.35*0.56*0.28*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*
