fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 2 2009*2009-07-01*2009-12-31*2164*informesfondos@gruposantander.com*Aa2*Alto*0.16*0.24**43933935.28*9990*0.0*270429398*false*6.1554***0.96*0.05*4.55*15.52*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Trimester 3 2009*2009-07-01*2009-09-30*2164*comsanassetm@gruposantander.com*Aa2*Alto*0.29*0.25**39938865.46*9634*0.0*235132000*false*5.8873***0.48*0.03*16.72*13.66*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 1 2009*2009-01-01*2009-06-30*2164*comsanassetm@gruposantander.com*Aa1*Alto*1.03*1.43**37394022.24*9556*0.0*188609000*false*5.0438***0.94*0.05*12.57*16.56*0.59*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 2 2010*2010-07-01*2010-12-31*2164*informesfondos@gruposantander.com*Aa2*Alto*0.27*0.47**40805318.66*9414*0.0*252978340*false*6.1996***0.96*0.05*1.73*12.24*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Trimester 3 2010*2010-07-01*2010-09-30*2164*informesfondos@gruposantander.com*Aa2*Alto*0.15*0.39**41559249.62*9731*0.0*253268677*false*6.0942***0.48*0.03*6.27*15.73*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 1 2010*2010-01-01*2010-06-30*2164*informesfondos@gruposantander.com*Aa2*Alto*0.24*0.28**44585895.75*9957*0.0*255691885*false*5.7348***0.94*0.05*-7.95*25.85*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Trimester 1 2010*2010-01-01*2010-03-31*2164*informesfondos@gruposantander.com*Aa2*Alto*0.08*0.22**46184186.76*10220*0.0*287727304*false*6.23***0.47*0.02*1.21*12.07*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Trimester 3 2011*2011-07-01*2011-09-30*2164*informesfondos@gruposantander.com*Aa2*Alto*0.22*1.03**39064195.29*9038*0.0*202442725*false*5.1823***0.48*0.03*-17.74*33.67*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 1 2011*2011-01-01*2011-06-30*2164*informesfondos@gruposantander.com*Aa2*Alto*0.05*0.75**41185747.28*9429*0.0*259470540*false*6.3***0.94*0.05*0.22*14.35*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Trimester 1 2011*2011-01-01*2011-03-31*2164*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.53**41651763.5*9567*0.0*261842041*false*6.2865***0.47*0.02*1.4*14.94*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER DIVIDENDO EUROPA, FI*SANTANDER DIVIDENDO EUROPA, F.I.*82068164*Semester 2 2010*2010-07-01*2010-12-31*2164*informesfondos@gruposantander.com*Aa2*Alto*0.27*0.47**40805318.66*9414*0.0*252978340*false*6.1996***0.96*0.05*1.73*12.24*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
