fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 2 2009*2009-07-01*2009-12-31*529*informesfondos@gruposantander.com*Aa2*Medio*0.44*0.24**4271935.02*1388*0.0*56307677*false*13.1808***0.63*0.05*0.6*0.95*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 3 2009*2009-07-01*2009-09-30*529*comsanassetm@gruposantander.com*Aa2*Medio*0.21*0.22**4337441.7*1420*0.0*56833000*false*13.1028***0.32*0.03*1.57*0.82*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 1 2009*2009-01-01*2009-06-30*529*comsanassetm@gruposantander.com*Aa1*Medio*2.25*1.3**4420170.52*1436*0.0*57023000*false*12.9005***0.62*0.05*1.06*1.15*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 2 2010*2010-07-01*2010-12-31*529*informesfondos@gruposantander.com*Aa2*Medio*0.57*0.56**4020984.0*1257*0.0*53523611*false*13.3111***0.63*0.05*0.56*2.43*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 3 2010*2010-07-01*2010-09-30*529*informesfondos@gruposantander.com*Aa2*Medio*0.15*0.42**4057149.07*1295*0.0*53705749*false*13.2373***0.32*0.03*1.35*2.47*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 1 2010*2010-01-01*2010-06-30*529*informesfondos@gruposantander.com*Aa2*Medio*0.61*0.31**4222711.4*1324*0.0*55154702*false*13.0614***0.62*0.05*-1.89*3.49*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 1 2010*2010-01-01*2010-03-31*529*informesfondos@gruposantander.com*Aa2*Medio*0.25*0.25**4253206.49*1350*0.0*56623199*false*13.3131***0.31*0.02*1.0*1.85*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 3 2011*2011-07-01*2011-09-30*529*informesfondos@gruposantander.com*Aa2*Medio*0.66*2.29**3881491.41*1147*0.0*49136187*false*12.6591***0.32*0.03*-6.13*7.86*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 1 2011*2011-01-01*2011-06-30*529*informesfondos@gruposantander.com*Aa2*Medio*0.79*0.82**3903057.28*1173*0.0*52636526*false*13.486***0.62*0.05****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 1 2011*2011-01-01*2011-03-31*529*informesfondos@gruposantander.com*Aa2*Medio*0.32*0.56**3974886.35*1211*0.0*53373233*false*13.4276***0.31*0.02*0.88*3.21*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 2 2010*2010-07-01*2010-12-31*529*informesfondos@gruposantander.com*Aa2*Medio*0.57*0.56**4020984.0*1257*0.0*53523611*false*13.3111***0.63*0.05*0.56*2.43*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 2 2012*2012-07-01*2012-12-31*529*informesfondos@gruposantander.com*Baa2*Bajo - Medio*0.77*0.17**2789047.76*1037*0.0*38902086*false*13.9482*0.6**0.6*0.05*3.29*2.78*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 3 2012*2012-07-01*2012-09-30*529*informesfondos@gruposantander.com*Baa2*Bajo - Medio*0.33*0.19**2773243.25*1045*0.0*37449448*false*13.5038*0.31**0.31*0.03*3.81*5.26*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 1 2012*2012-01-01*2012-06-30*529*informesfondos@gruposantander.com*Baa2*Bajo - Medio*1.59*0.44**2824532.13*1057*0.0*36740421*false*13.0076*0.62**0.62*0.05*-3.12*4.29*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 1 2012*2012-01-01*2012-03-31*529*informesfondos@gruposantander.com*Aa3*Medio*1.1*0.35**3767190.68*1115*0.0*50581886*false*13.427*0.31**0.31*0.02*3.26*2.78*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 2 2013*2013-07-01*2013-12-31*529*informesfondos@gruposantander.com*Baa2*Bajo - Medio*0.17*0.21**3438953.31*1164*0.0*52391309*false*15.2347*0.63**0.63*0.05*2.46*2.28*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 3 2013*2013-07-01*2013-09-30*529*informesfondos@gruposantander.com*Baa2*Bajo - Medio*0.1*0.1**2996818.76*1040*0.0*44557557*false*14.8683*0.31**0.31*0.03*3.44*2.83*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 1 2013*2013-01-01*2013-06-30*529*informesfondos@gruposantander.com*Baa2*Bajo - Medio*1.33*0.12**2929171.34*1021*0.0*42101742*false*14.3733*0.62**0.62*0.05*1.41*4.06*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 1 2013*2013-01-01*2013-03-31*529*informesfondos@gruposantander.com*Baa2*Bajo - Medio*0.72*0.1**2824928.57*1010*0.0*40039149*false*14.1735*0.31**0.31*0.02*1.62*3.59*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 2 2014*2014-07-01*2014-12-31*529*comsanassetm@gruposantander.com*Baa1*3 en una escala del 1 al 7*0.0*0.03**9396714.83*2819*0.0*150090647*false*15.9727*0.63**0.63*0.05*-0.53*3.53*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Trimester 3 2014*2014-07-01*2014-09-30*529*comsanassetm@gruposantander.com*Baa1*3 en una escala del 1 al 7*0.04*0.03**6726147.4*1890*0.0*108011074*false*16.0584*0.31**0.31*0.03*0.67*2.68*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
INVERACTIVO CONFIANZA, FI*INVERACTIVO CONFIANZA, F.I.*81009284*Semester 1 2014*2014-01-01*2014-06-30*529*informesfondos@gruposantander.com*Baa1*3 en una escala del 1 al 7*0.34*0.19**5329605.26*1624*0.0*85015160*false*15.9515*0.62**0.62*0.05*1.82*2.54*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0147131033
