fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Semester 2 2010*2010-07-01*2010-12-31*4198*clientes@mutuactivos.com*AAA*Muy Alto*0.07*0.43**423989.57*138*0.0*42878529*false*101.1311***0.3*0.03*-3.23*7.23*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Trimester 3 2010*2010-07-01*2010-09-30*4198*clientes@mutuactivos.com*AAA*Muy Alto*0.05*0.35**424012.08*139*0.0*44313431*false*104.5098***0.15*0.01*12.28*5.83*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Semester 1 2010*2010-01-01*2010-06-30*4198*clientes@mutuactivos.com*AAA*Muy Alto*0.0*0.18**424012.89*139*0.0*39468134*false*93.0824***0.24*0.02*-8.2*12.06*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Trimester 1 2010*2010-01-01*2010-03-31*4198*clientes@mutuactivos.com*AAA*Muy Alto*0.0*0.1**424190.82*139*0.0*43013706*false*101.4018***0.09*0.01****MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Semester 2 2011*2011-07-01*2011-12-31*4198*clientes@mutuactivos.com*AAA*Muy Alto*0.19*0.93**423361.31*136*0.0*38883572*false*91.8449*0.3**0.3*0.02*3.48*14.25*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Trimester 3 2011*2011-07-01*2011-09-30*4198*clientes@mutuactivos.com*AAA*Muy Alto*0.05*0.9**423371.66*137*0.0*37577480*false*88.7577***0.15*0.01*-16.87*17.96*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Semester 1 2011*2011-01-01*2011-06-30*4198*clientes@mutuactivos.com*AAA*Muy Alto*0.09*0.74**423329.13*137*0.0*45203641*false*106.7813***0.3*0.02*0.08*4.37*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Trimester 1 2011*2011-01-01*2011-03-31*4198*clientes@mutuactivos.com*AAA*Muy Alto*0.02*0.52**423329.13*137*0.0*45164208*false*106.6882***0.15*0.01*5.5*3.97*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Semester 2 2012*2012-07-01*2012-12-31*4198*clientes@mutuactivos.com*A1+*Muy Alto*0.12*0.1**423095.42*135*0.0*49423295*false*116.8136*0.3**0.3*0.02*7.55*3.79*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Trimester 3 2012*2012-07-01*2012-09-30*4198*clientes@mutuactivos.com*AA-*Muy Alto*0.03*0.13**423156.67*136*0.0*45960030*false*108.6123*0.15**0.15*0.01*9.6*5.88*0.17*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
MUTUAFONDO BONOS SUBORDINADOS II, FI*MUTUAFONDO BONOS TIER 1, FI*-8589205*Semester 1 2012*2012-01-01*2012-06-30*4198*clientes@mutuactivos.com*AA-*Muy Alto*0.2*0.27**423152.06*135*0.0*41932570*false*99.0957*0.3**0.3*0.02*-5.18*7.55*0.16*MUTUACTIVOS, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0124144009
