fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2009*2009-07-01*2009-09-30*2050*gestora@fineco.com*AA  (S&P)*alto*0.0*0.22**838739.99*234*0.0*6542710*false*7.8006***0.44*0.04*21.35*19.15*0.49*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2009*2009-01-01*2009-06-30*2050*gestora@fineco.com*AA  (S&P)*alto*1.08*0.82**863881.94*231*0.0*5553201*false*6.4282***0.87*0.07*17.22*24.16*0.49*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2010*2010-07-01*2010-12-31*2050*gestora@fineco.com*AA  (S&P)*alto*0.57*0.42**972325.47*260*0.0*7869502*false*8.0935***0.88*0.08*5.11*14.1*0.49*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2010*2010-07-01*2010-09-30*2050*gestora@fineco.com*AA  (S&P)*alto*0.0*0.3**964496.08*258*0.0*7426630*false*7.7***0.44*0.04*9.18*16.21*0.49*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2010*2010-01-01*2010-06-30*2050*gestora@fineco.com*AA  (S&P)*alto*0.44*0.22**924584.28*253*0.0*6520966*false*7.0529***0.87*0.07*-9.71*28.79*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2010*2010-01-01*2010-03-31*2050*gestora@fineco.com*AA  (S&P)*alto*0.0*0.23**958445.67*253*0.0*7486465*false*7.811***0.43*0.04*0.03*15.91*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2011*2011-07-01*2011-12-31*2050*gestora@fineco.com*AA- (S&P)*alto*0.75*0.97**854650.52*244*0.0*5764919*false*6.7454*0.88**0.88*0.08*4.21*31.63*0.49*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2011*2011-07-01*2011-09-30*2050*gestora@fineco.com*AA  (S&P)*alto*0.0*1.04**1025160.96*267*0.0*6635929*false*6.4731***0.44*0.04*-23.88*37.43*0.49*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2011*2011-01-01*2011-06-30*2050*gestora@fineco.com*AA  (S&P)*alto*0.48*0.74**991425.65*267*0.0*8430619*false*8.5035***0.87*0.07*-0.4*16.13*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2011*2011-01-01*2011-03-31*2050*gestora@fineco.com*AA  (S&P)*alto*0.0*0.52**821520.29*244*0.0*7013620*false*8.5374***0.43*0.04*5.48*13.73*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2012*2012-07-01*2012-12-31*2050*gestora@fineco.com*A-  (S&P)*alto*0.11*0.09**1461585.65*275*0.0*11683496*false*7.9937*0.88**0.88*0.08*7.41*13.51*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 3 2012*2012-07-01*2012-09-30*2050*gestora@fineco.com*A-  (S&P)*alto*0.0*0.13**974712.93*237*0.0*7254203*false*7.4424*0.44**0.44*0.04*8.65*21.58*0.49*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 1 2012*2012-01-01*2012-06-30*2050*gestora@fineco.com*A-  (S&P)*alto*0.57*0.22**937455.87*237*0.0*6421203*false*6.8496*0.87**0.87*0.07*-6.17*22.49*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Trimester 1 2012*2012-01-01*2012-03-31*2050*gestora@fineco.com*A+  (S&P)*alto*0.0*0.2**904504.75*241*0.0*6602758*false*7.2999*0.43**0.43*0.04*8.22*16.53*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
FON FINECO VALOR, FI*FON FINECO VALOR FI*95078705*Semester 2 2013*2013-07-01*2013-12-31*2050*gestora@fineco.com*A+  (S&P)*alto*0.15*0.04**2828992.08*428*0.0*27324641*false*9.6588*0.88**0.88*0.08*7.37*11.81*0.48*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0176236034
