fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 3 2009*2009-07-01*2009-09-30*3180*departamento.marketing@credit-suisse.com*A*ALTO*2.02*0.2**649726.77*138*0.0*8100447*false*12.4675***0.3*0.03****CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCE FI*84330224*Semester 1 2009*2009-01-01*2009-06-30*3180*departamento.marketing@credit-suisse.com*A*ALTO*2.47*0.85**643888.02*142*0.0*7730287*false*12.0056***0.66*0.07*1.09*8.38*0.39*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Semester 2 2010*2010-07-01*2010-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*3.7*0.43**938453.6*192*0.0*12904116*false*13.7504***1.14*0.05*3.65*6.18*0.65*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 3 2010*2010-07-01*2010-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*1.78*0.35**900855.71*173*0.0*11950505*false*13.2657***0.51*0.03*2.36*5.9*0.54*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Semester 1 2010*2010-01-01*2010-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*4.23*0.26**857117.68*164*0.0*11108208*false*12.96***0.72*0.05*0.28*8.9*0.39*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 1 2010*2010-01-01*2010-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*2.15*0.22**808277.95*160*0.0*10445785*false*12.9235***0.37*0.02*2.85*6.05*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 3 2011*2011-07-01*2011-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*2.3*1.0**1077403.07*225*0.0*13218886*false*12.2692***0.34*0.03*-5.51*11.85*0.37*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Semester 1 2011*2011-01-01*2011-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*3.72*0.76**1077342.95*231*0.0*13989399*false*12.9851***0.67*0.05*-2.77*9.57*0.37*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 1 2011*2011-01-01*2011-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*1.7*0.55**1145903.41*221*0.0*15304089*false*13.3555***0.33*0.02*-2.87*11.21*0.36*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Semester 2 2010*2010-07-01*2010-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*3.7*0.43**938453.6*192*0.0*12904116*false*13.7504***1.14*0.05*3.65*6.18*0.65*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Semester 2 2012*2012-07-01*2012-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*4.23*0.1**862036.62*191*0.0*10809378*false*12.5393*0.68**0.68*0.05*0.83*4.04*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 3 2012*2012-07-01*2012-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*2.34*0.12**918652.68*200*0.0*11424377*false*12.436*0.34**0.34*0.03*2.31*6.31*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Semester 1 2012*2012-01-01*2012-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*3.98*0.23**939332.83*205*0.0*11417652*false*12.1551*0.67**0.67*0.05*-1.73*7.81*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 1 2012*2012-01-01*2012-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*1.7*0.21**967904.36*215*0.0*11971757*false*12.3687*0.33**0.33*0.02*0.25*5.93*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Semester 2 2013*2013-07-01*2013-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*3.2*0.05**991586.77*180*0.0*13257098*false*13.3696*0.68**0.68*0.05*4.07*6.49*0.4*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 3 2013*2013-07-01*2013-09-30*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*1.34*0.03**869812.64*181*0.0*11174577*false*12.8471*0.34**0.34*0.03*2.3*5.0*0.39*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Semester 1 2013*2013-01-01*2013-06-30*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*3.93*0.04**881191.27*187*0.0*11066738*false*12.5588*0.67**0.67*0.05*-2.89*9.78*0.44*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR BALANCED, FI*84330224*Trimester 1 2013*2013-01-01*2013-03-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*1.94*0.03**904613.14*192*0.0*11699463*false*12.9331*0.33**0.33*0.02*3.14*4.16*0.45*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
CS DIRECTOR FLEXIBLE, FI*CS DIRECTOR FLEXIBLE, FI*84330224*Semester 2 2014*2014-07-01*2014-12-31*3180*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*5 en una escala del 1 al 7.*2.21*0.0**1270346.77*207*0.0*19161265*false*15.0835*0.68*0.5*1.18*0.05***0.45*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*ES0125102030
