fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IM 93 RENTA, FI*"IM 93
                Renta F.I."*60180791*Semester 2 2009*2009-07-01*2009-12-31*373*info@gvcgaesco.es*BBB +*alto*1.14*0.36**545702.83*103*0.0*5852015*false*10.7238***0.76*0.05*0.53*7.43*0.46*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*"IM 93
                Renta F.I."*60180791*Trimester 3 2009*2009-07-01*2009-09-30*373*info@gvcgaesco.es*BBB +*alto*0.79*0.36**544241.02*102*0.0*5805341*false*10.6669***0.38*0.02*10.58*8.54*0.44*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*"IM 93
                Renta F.I."*60180791*Semester 1 2009*2009-01-01*2009-06-30*373*info@gvcgaesco.es*BBB +*alto*1.03*0.12**544238.01*99*0.0*5249833*false*9.6462***0.74*0.05*7.06*11.56*0.41*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 2 2010*2010-07-01*2010-12-31*373*info@gvcgaesco.es*Aa2*alto*0.32*0.5**590217.92*116*0.0*6861830*false*11.6259***0.76*0.05*3.64*8.86*0.42*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 3 2010*2010-07-01*2010-09-30*373*info@gvcgaesco.es*BBB +*alto*0.1*0.48**590217.92*116*0.0*6621039*false*11.218***0.38*0.02*5.64*10.51*0.43*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*"IM 93
                Renta F.I."*60180791*Semester 1 2010*2010-01-01*2010-06-30*373*info@gvcgaesco.es*BBB +*alto*0.85*0.36**590403.29*119*0.0*6269761*false*10.6195***0.74*0.05*-5.01*17.44*0.44*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*"IM 93
                Renta F.I."*60180791*Trimester 1 2010*2010-01-01*2010-03-31*373*info@gvcgaesco.es*BBB +*alto*0.28*0.24**616726.94*123*0.0*6895069*false*11.1801***0.37*0.02*4.25*8.41*0.42*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 2 2011*2011-07-01*2011-12-31*373*info@gvcgaesco.es*A*Muy alto*0.26*1.04**1417615.3*115*0.0*14802748*false*10.442*0.3*0.0*0.3*0.05*4.2*21.96*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 3 2011*2011-07-01*2011-09-30*373*info@gvcgaesco.es*A*Muy alto*0.17*0.85**1417615.3*115*0.0*14206567*false*10.0215***0.15*0.02*-15.11*22.34*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Semester 1 2011*2011-01-01*2011-06-30*373*info@gvcgaesco.es*A*Muy alto*0.2*1.15**1417528.89*115*0.0*16734788*false*11.8056***0.41*0.05*-1.16*8.99*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
IM 93 RENTA, FI*IM 93 Renta F.I.*60180791*Trimester 1 2011*2011-01-01*2011-03-31*373*info@gvcgaesco.es*A*Muy alto*0.0*0.89**1417529.85*117*0.0*16930831*false*11.9439***0.33*0.02*2.74*10.3*0.37*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*ES0130588033
