fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACION, FI*87778734*Semester 2 2017*2017-07-01*2017-12-31*5169*bbvafondos@bbva.com*A-*4 en una escala del 1 al 7*0.75*-0.14**23683187.54*6049*0.0*238101000*false*10.0536*0.24*0.0*0.24*0.02*0.32*1.75*0.32*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACION, FI*87778734*Trimester 3 2017*2017-07-01*2017-09-30*5169*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.0*-0.06**3206867.01*842*0.0*32138000*false*10.0217*0.09*0.0*0.09*0.01*0.22*0.52*0.26*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACION, FI*87778734*Semester 1 2017*2017-01-01*2017-06-30*5169*bbvafondos@bbva.com*0*4 en una escala del 1 al 7*0.0*0.0**30000.0*1*0.0*300000*false*10.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACION, FI*87778734*Semester 2 2018*2018-07-01*2018-12-31*5169*bbvafondos@bbva.com*A-*4 en una escala del 1 al 7*0.2*-0.36**85641747.86*20305*0.0*831193000*false*9.7055*0.2*0.0*0.2*0.03*-2.53*3.48*0.26*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACIÓN FI*87778734*Trimester 3 2018*2018-07-01*2018-09-30*5169*bbvafondos@bbva.com*A-*4 en una escala del 1 al 7*0.29*-0.3**72551662.82*17714*0.0*722393000*false*9.9569*0.1*0.0*0.1*0.01*-0.69*1.63*0.27*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACIÓN FI*87778734*Semester 1 2018*2018-01-01*2018-06-30*5169*bbvafondos@bbva.com*A-*4 en una escala del 1 al 7*0.55*-0.29**61667941.19*15193*0.0*618294000*false*10.0262*0.24*0.0*0.24*0.02*-0.13*2.4*0.27*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACION, FI*87778734*Trimester 1 2018*2018-01-01*2018-03-31*5169*bbvafondos@bbva.com*A-*4 en una escala del 1 al 7*0.53*-0.3**45091262.11*11077*0.0*452693000*false*10.0395*0.12*0.0*0.12*0.01*-0.14*3.55*0.3*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACION, FI*87778734*Trimester 3 2019*2019-07-01*2019-09-30*5169*bbvafondos@bbva.com*A-*4 en una escala del 1 al 7*0.25*-0.12**114762197.29*30993*0.0*1167321000*false*10.1717*0.1*0.0*0.1*0.01*0.73*2.82*0.29*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACION, FI*87778734*Semester 1 2019*2019-01-01*2019-06-30*5169*bbvafondos@bbva.com*A-*4 en una escala del 1 al 7*0.41*-0.24**109761135.33*29314*0.0*1108325000*false*10.0976*0.2*0.0*0.2*0.02*0.41*2.48*0.27*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACION, FI*87778734*Trimester 1 2019*2019-01-01*2019-03-31*5169*bbvafondos@bbva.com*A-*4 en una escala del 1 al 7*0.06*-0.24**97926736.3*24821*0.0*984776000*false*10.0563*0.1*0.0*0.1*0.01*3.61*2.24*0.27*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
ESTRATEGIA ACUMULACIÓN, FI*ESTRATEGIA ACUMULACION, FI*87778734*Semester 2 2018*2018-07-01*2018-12-31*5169*bbvafondos@bbva.com*A-*4 en una escala del 1 al 7*0.2*-0.36**85641747.86*20305*0.0*831193000*false*9.7055*0.2*0.0*0.2*0.03*-2.53*3.48*0.26*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133337008
