fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Semester 2 2009*2009-07-01*2009-12-31*956*N/D*BBB+ (Fitch Rating)*BAJO*1.24*0.48**318278.34*1024*0.0*28609074*false*89.887***0.55*0.08*0.52*1.37*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Trimester 3 2009*2009-07-01*2009-09-30*956*N/D*BBB+ (IBCA)*BAJO*0.5*0.49**324661.49*1016*0.0*28755757*false*89.4198***0.28*0.04*2.14*2.09*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Semester 1 2009*2009-01-01*2009-06-30*956*N/D*BBB+ (IBCA)*BAJO*1.15*1.07**325521.59*995*0.0*28053918*false*87.549***0.54*0.07*2.6*1.78*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Semester 2 2010*2010-07-01*2010-12-31*956*N/D*BBB+ (IBCA)*BAJO*1.5*0.47**313529.51*1044*0.0*27971492*false*89.2149***0.55*0.08*-0.86*1.39*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Trimester 3 2010*2010-07-01*2010-09-30*956*N/D*BBB+ (Fitch Rating)*BAJO*0.94*0.5**350999.93*1152*0.0*31584000*false*89.986***0.28*0.04*0.74*0.97*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Semester 1 2010*2010-01-01*2010-06-30*956*N/D*BBB+ (Fitch Rating)*BAJO*1.06*0.51**382859.98*1224*0.0*34033360*false*89.3255***0.55*0.07*-1.41*2.39*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Trimester 1 2010*2010-01-01*2010-03-31*956*N/D*BBB+ (Fitch Rating)*BAJO*0.43*0.49**386357.19*1187*0.0*35265778*false*90.6005***0.27*0.04*0.79*0.64*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Trimester 3 2011*2011-07-01*2011-09-30*956*N/D*Baa3 (Moody's)*BAJO*0.11*0.99**253621.28*868*0.0*23096932*false*91.0607***0.28*0.04*0.48*2.51*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Semester 1 2011*2011-01-01*2011-06-30*956*N/D*Baa3 (Moody's)*BAJO*0.35*0.66**259736.07*888*0.0*23538763*false*90.6257***0.55*0.07*0.95*1.24*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Trimester 1 2011*2011-01-01*2011-03-31*956*N/D*Baa3 (Moody's)*BAJO*0.29*0.51**289907.56*967*0.0*26024654*false*89.7688***0.27*0.04*0.62*1.44*0.31*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND RENTA FIJA LARGO PLAZO, FI*FONDESPAÑA ACUMULATIVO F.I.*81715617*Semester 2 2010*2010-07-01*2010-12-31*956*N/D*BBB+ (IBCA)*BAJO*1.5*0.47**313529.51*1044*0.0*27971492*false*89.2149***0.55*0.08*-0.86*1.39*0.32*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
