fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Semester 2 2017*2017-07-01*2017-12-31*5139*N/D*A-   (S&P)*3 en una escala de 1 a 7*0.0*0.0**164318.35*25*0.0*1630223*false*9.9211*0.35*0.0*0.35*0.04*0.35*1.34*0.24*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Trimester 3 2017*2017-07-01*2017-09-30*5139*N/D*A-   (S&P)*3 en una escala de 1 a 7*0.0*0.0**164318.35*25*0.0*1624605*false*9.8869*0.18*0.0*0.18*0.02*0.22*1.38*0.24*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Semester 1 2017*2017-01-01*2017-06-30*5139*N/D*A-   (S&P)*3 en una escala de 1 a 7*0.0*0.0**62812.72*3*0.0*619682*false*9.8656*0.22*0.0*0.22*0.02***0.67*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Trimester 1 2017*2017-01-01*2017-03-31*5139*N/D*A-   (S&P)*3 en una escala de 1 a 7*0.0*0.0**7500.0*1*0.0*74939*false*9.9919*0.03*0.0*0.03*0.0***0.08*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Trimester 3 2018*2018-07-01*2018-09-30*5139*N/D*ND*3 en una escala de 1 a 7*0.04*0.0**172282.82*28*0.0*1702924*false*9.8845*0.18*0.0*0.18*0.02*0.3*1.42*0.19*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Semester 1 2018*2018-01-01*2018-06-30*5139*N/D*ND*3 en una escala de 1 a 7*0.17*0.0**172282.82*28*0.0*1697800*false*9.8547*0.35*0.0*0.35*0.04*-0.03*2.28*0.23*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Trimester 1 2018*2018-01-01*2018-03-31*5139*N/D*A-   (S&P)*3 en una escala de 1 a 7*0.0*0.0**172333.62*28*0.0*1698728*false*9.8572*0.17*0.0*0.17*0.02*-0.64*2.61*0.23*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Semester 2 2017*2017-07-01*2017-12-31*5139*N/D*A-   (S&P)*3 en una escala de 1 a 7*0.0*0.0**164318.35*25*0.0*1630223*false*9.9211*0.35*0.0*0.35*0.04*0.35*1.34*0.24*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Semester 2 2019*2019-07-01*2019-12-31*5139*N/D*ND*3 en una escala de 1 a 7*0.0*-0.16**189120.38*34*0.0*1899963*false*10.0463*0.35*0.0*0.35*0.04*0.61*1.84*0.22*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Trimester 3 2019*2019-07-01*2019-09-30*5139*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**182316.41*32*0.0*1820435*false*9.985*0.18*0.0*0.18*0.02*0.56*2.47*0.22*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Semester 1 2019*2019-01-01*2019-06-30*5139*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**177308.91*31*0.0*1760588*false*9.9295*0.35*0.0*0.35*0.03*0.48*2.06*0.22*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Trimester 1 2019*2019-01-01*2019-03-31*5139*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**173404.03*31*0.0*1713630*false*9.8823*0.17*0.0*0.17*0.02*2.15*2.12*0.21*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Semester 2 2020*2020-07-01*2020-12-31*5139*N/D*ND*3 en una escala de 1 a 7*0.0*-0.46**254220.71*41*0.0*2572763*false*10.1202*0.35*0.0*0.35*0.04*1.61*2.64*0.21*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Trimester 3 2020*2020-07-01*2020-09-30*5139*N/D*ND*3 en una escala de 1 a 7*0.0*-0.46**257548.69*42*0.0*2565259*false*9.9603*0.18*0.0*0.18*0.02*0.53*2.8*0.21*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Semester 1 2020*2020-01-01*2020-06-30*5139*N/D*ND*3 en una escala de 1 a 7*0.0*-0.47**214276.38*39*0.0*2123003*false*9.9078*0.35*0.0*0.35*0.03*2.28*4.32*0.21*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
IMDI FUNDS, FI*IMDI FUNDS FI*87749917*Trimester 1 2020*2020-01-01*2020-03-31*5139*N/D*ND*3 en una escala de 1 a 7*0.0*-0.43**203547.43*37*0.0*1971819*false*9.6873*0.17*0.0*0.17*0.02*-3.57*6.27*0.21*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
