fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 2 2016*2016-07-01*2016-12-31*4964*Sabadellassetmanagement@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.04**342627.75*246*[]*3321000*false*9.6919*0.5*0.0*0.5*0.03*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Trimester 3 2016*2016-07-01*2016-09-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*0.0**380679.24*211*[]*3726000*false*9.7867*0.25*0.0*0.25*0.02*-0.11*[]*0.47*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Trimester 3 2016*2016-07-01*2016-09-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*0.0**2640578.45*445*[]*25872000*false*9.7978*0.2*0.0*0.2*0.02*-0.06*[]*0.43*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Trimester 3 2016*2016-07-01*2016-09-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*0.0**29949.91*1*[]*294000*false*9.8089*0.27*0.0*0.27*0.02*-0.0*[]*0.5*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Trimester 3 2016*2016-07-01*2016-09-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*0.0**9367496.54*18413*[]*91725000*false*9.7918*0.23*0.0*0.23*0.01*-0.07*[]*0.44*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Trimester 3 2016*2016-07-01*2016-09-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*0.0**30162.01*8*[]*295000*false*9.7918*0.23*0.0*0.23*0.01*-0.07*[]*0.46*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - EMPRESA*66707167*Trimester 3 2016*2016-07-01*2016-09-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*0.0**0.0*0*[]*0*false*9.7975*0.0*0.0*0.0*0.0*-0.04*[]*0.0*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - BASE*66707167*Semester 1 2016*2016-01-01*2016-06-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.03**434648.71*167*[]*4258000*false*9.7971*0.32*0.0*0.32*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PLUS*66707167*Semester 1 2016*2016-01-01*2016-06-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.03**2311874.77*382*[]*22664000*false*9.8033*0.26*0.0*0.26*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PREMIER*66707167*Semester 1 2016*2016-01-01*2016-06-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.03**0.0*0*[]*0*false*9.8093*0.0*0.0*0.0*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - CARTERA*66707167*Semester 1 2016*2016-01-01*2016-06-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.03**9779530.04*18913*[]*95826000*false*9.7986*0.28*0.0*0.28*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL SELECCIÓN ALTERNATIVA, FI*SABADELL SELECCIÓN ALTERNATIVA, FI - PYME*66707167*Semester 1 2016*2016-01-01*2016-06-30*4964*bsinversion@bancsabadell.com*BB+ (Standard & Poor's)*3, en una escala del 1 al 7.*0.0*-0.03**25076.98*7*[]*246000*false*9.7986*0.29*0.0*0.29*0.02*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
