fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL I*88139241*Trimester 3 2018*2018-07-01*2018-09-30*5291*info@loretoinversiones.com*A+*3 en una escala del 1 al 7.*0.0*0.0**20000.0*1*0.0*19939136*false*996.9568*0.03*[]*0.03*0.01*[]*[]*0.05*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL I*88139241*Trimester 3 2019*2019-07-01*2019-09-30*5291*info@loretoinversiones.com*A+*3 en una escala del 1 al 7.*1.26*-0.26**25097.37*1*0.0*24522569*false*977.097*0.1*[]*0.1*0.02*-0.04*4.71*0.12*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL R*88139241*Trimester 3 2019*2019-07-01*2019-09-30*5291*info@loretoinversiones.com*A+*3 en una escala del 1 al 7.*1.26*-0.26**337673.92*121*0.0*3360938*false*9.9532*0.15*[]*0.15*0.02*-0.09*4.71*0.17*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL I*88139241*Semester 1 2019*2019-01-01*2019-06-30*5291*info@loretoinversiones.com*A+*3 en una escala del 1 al 7.*2.44*-0.17**20000.0*1*0.0*19549914*false*977.4957*0.2*[]*0.2*0.03*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL R*88139241*Semester 1 2019*2019-01-01*2019-06-30*5291*info@loretoinversiones.com*A+*3 en una escala del 1 al 7.*2.44*-0.17**293313.33*97*0.0*2922072*false*9.9623*0.3*[]*0.3*0.03*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL I*88139241*Trimester 1 2019*2019-01-01*2019-03-31*5291*info@loretoinversiones.com*A+*3 en una escala del 1 al 7.*1.17*-0.2**20000.0*1*0.0*19593636*false*979.6818*0.1*[]*0.1*0.02*2.42*4.42*0.12*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL R*88139241*Trimester 1 2019*2019-01-01*2019-03-31*5291*info@loretoinversiones.com*A+*3 en una escala del 1 al 7.*1.17*-0.2**133417.46*38*0.0*1332780*false*9.9895*0.15*[]*0.15*0.02*2.37*4.42*0.17*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL I*88139241*Semester 2 2018*2018-07-01*2018-12-31*5291*info@loretoinversiones.com*A+*3 en una escala del 1 al 7.*0.67*0.0**20000.0*1*0.0*19130298*false*956.5149*0.13*[]*0.13*0.02*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL R*88139241*Semester 2 2018*2018-07-01*2018-12-31*5291*info@loretoinversiones.com*A+*3 en una escala del 1 al 7.*0.67*0.0**69171.61*7*0.0*674986*false*9.7581*0.08*[]*0.08*0.01*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL I*88139241*Semester 2 2020*2020-07-01*2020-12-31*5291*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*0.0*-0.36**48790.5*2*0.0*48167992*false*987.2413*0.2*[]*0.2*0.04*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA FIJA MIXTA, FI*LORETO PREMIUM RF MIXTA CL R*88139241*Semester 2 2020*2020-07-01*2020-12-31*5291*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*0.0*-0.36**346131.17*125*0.0*3472176*false*10.0314*0.3*[]*0.3*0.04*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
