fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Trimester 3 2016*2016-07-01*2016-09-30*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*1.1*0.0**12488159.44*109*0.0*60583804*false*4.8513*0.22**0.22*0.01*1.45*6.05*0.43*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Semester 1 2016*2016-01-01*2016-06-30*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*0.0*0.0**1633261.11*56*0.0*7810400*false*4.7821*0.43**0.43*0.03*-2.32*8.96*0.45*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Trimester 1 2016*2016-01-01*2016-03-31*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*0.45*0.0**60000.0*1*0.0*293744*false*4.8957*0.22**0.22*0.01*-0.54*7.11*1.72*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Semester 2 2015*2015-07-01*2015-12-31*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*0.0*0.0**60000.0*1*0.0*295350*false*4.9225*0.08**0.08*0.01***1.55*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Semester 2 2017*2017-07-01*2017-12-31*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*0.77*0.0**14422409.8*145*0.0*77223569*false*5.3544*0.45**0.45*0.03*0.37*3.42*0.25*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Trimester 3 2017*2017-07-01*2017-09-30*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*0.34*0.0**13792530.81*137*0.0*73580882*false*5.3348*0.23**0.23*0.02*1.08*4.34*0.25*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Semester 1 2017*2017-01-01*2017-06-30*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*0.26*0.0**13695061.89*133*0.0*72280692*false*5.2779*0.45**0.45*0.03***0.24*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Trimester 1 2017*2017-01-01*2017-03-31*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*0.06*0.0**13769556.03*132*0.0*71835026*false*5.2169*0.22**0.22*0.02*3.06*3.88*0.25*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Trimester 3 2018*2018-07-01*2018-09-30*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*0.32*0.0**14382495.93*201*0.0*75251848*false*5.2322*0.22**0.22*0.01*0.22*3.57*0.25*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Semester 1 2018*2018-01-01*2018-06-30*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*0.79*0.0**14508788.82*204*0.0*75748824*false*5.2209*0.44**0.44*0.03*0.23*5.19*0.25*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
JB INVERSIONES, FI*JB INVERSIONES FI*87422366*Trimester 1 2018*2018-01-01*2018-03-31*4926*beatriz.delacruz@juliusbaer.com*A+*6, en una escala del 1 al 7.*0.4*0.0**16231499.6*196*0.0*84547526*false*5.2089*0.22**0.22*0.02*-2.72*7.12*0.25*JULIUS BAER GESTION, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0156473003
