fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.A*88160874*Semester 2 2018*2018-07-01*2018-12-31*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*[]*0.0*0.0*[]*[]*[]*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.A*88160874*Trimester 3 2019*2019-07-01*2019-09-30*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.5*-0.95**26755.87*13*0.0*2635000*false*98.4831*0.19*[]*0.19*0.02*0.28*1.57*0.23*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.Z*88160874*Trimester 3 2019*2019-07-01*2019-09-30*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.5*-0.95**35607.07*71*0.0*3518868*false*98.825*0.05*[]*0.05*0.02*0.42*1.58*0.09*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.A*88160874*Semester 1 2019*2019-01-01*2019-06-30*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*2.32*14.59**53268.2*18*0.0*5231570*false*98.2119*0.3*[]*0.3*0.03*[]*[]*[]*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.Z*88160874*Semester 1 2019*2019-01-01*2019-06-30*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*2.32*14.59**42403.47*52*0.0*4173193*false*98.4163*0.1*[]*0.1*0.04*[]*[]*[]*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.A*88160874*Trimester 1 2019*2019-01-01*2019-03-31*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.0*-0.54**34577.21*12*0.0*3424826*false*99.0486*0.11*[]*0.11*0.01*-0.38*0.64*0.16*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.Z*88160874*Trimester 1 2019*2019-01-01*2019-03-31*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.0*-0.54**40189.59*55*0.0*3983544*false*99.1188*0.05*[]*0.05*0.02*-0.7*0.47*0.12*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.A*88160874*Semester 2 2018*2018-07-01*2018-12-31*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*[]*0.0*0.0*[]*[]*[]*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.Z*88160874*Semester 2 2018*2018-07-01*2018-12-31*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.0*0.0**3000.0*3*0.0*299466*false*99.8221*0.01*[]*0.01*0.0*[]*[]*[]*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*PRECISION ABSOLUTE FI CL.A*88160874*Semester 2 2020*2020-07-01*2020-12-31*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.21*-1.82**12080.7*7*0.0*1213615*false*100.459*0.38*[]*0.38*0.04*[]*[]*[]*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*PRECISION ABSOLUTE FI CL.Z*88160874*Semester 2 2020*2020-07-01*2020-12-31*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.21*-1.82**28499.23*92*0.0*2892794*false*101.5043*0.1*[]*0.1*0.04*[]*[]*[]*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*PRECISION ABSOLUTE FI CL.A*88160874*Trimester 3 2020*2020-07-01*2020-09-30*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.37*-1.12**11158.96*12*0.0*1084889*false*97.2213*0.19*[]*0.19*0.02*1.81*3.71*0.5*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*PRECISION ABSOLUTE FI CL.Z*88160874*Trimester 3 2020*2020-07-01*2020-09-30*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.37*-1.12**30472.06*98*0.0*2989226*false*98.0973*0.05*[]*0.05*0.02*1.95*3.71*0.36*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*PRECISION ABSOLUTE FI CL.A*88160874*Semester 1 2020*2020-01-01*2020-06-30*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.35*-0.51**11914.21*13*0.0*1137700*false*95.491*0.37*[]*0.37*0.04*[]*[]*[]*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*PRECISION ABSOLUTE FI CL.Z*88160874*Semester 1 2020*2020-01-01*2020-06-30*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.35*-0.51**31973.8*98*0.0*3076464*false*96.2183*0.1*[]*0.1*0.04*[]*[]*[]*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.A*88160874*Trimester 1 2020*2020-01-01*2020-03-31*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.28*-0.57**11914.21*12*0.0*1109417*false*93.1172*0.19*[]*0.19*0.02*-4.95*13.74*0.23*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
PRECISION ABSOLUTE, FI*KBL PRECISION ABSOLUTE FI CL.Z*88160874*Trimester 1 2020*2020-01-01*2020-03-31*5325*info.administracion@kblbank.es*A+*3 en una escala del 1 al 7.*0.28*-0.57**36952.07*96*0.0*3462340*false*93.6981*0.05*[]*0.05*0.02*-4.82*13.74*0.1*QUINTET ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
