fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Semester 2 2009*2009-07-01*2009-12-31*1948*N/D*A+ (S&P)*MODERADO*0.0*0.54**10651988.59*125*0.0*68167086*false*6.3995***0.13*0.03*-0.06*0.19*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Trimester 3 2009*2009-07-01*2009-09-30*1948*N/D*A+ (S&P)*bajo*0.0*0.57**9882560.17*69*0.0*63282823*false*6.4035***0.06*0.01*0.02*0.32*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Semester 1 2009*2009-01-01*2009-06-30*1948*N/D*A+ (S&P)*BAJO*0.0*1.25**7475583.4*61*0.0*47860706*false*6.4023***0.12*0.02*0.31*0.31*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Semester 2 2010*2010-07-01*2010-12-31*1948*N/D*A (S&P)*MODERADO*0.06*0.87**3568870.16*92*0.0*22572830*false*6.3249***0.13*0.03*0.05*0.51*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Trimester 3 2010*2010-07-01*2010-09-30*1948*N/D*A (S&P)*MODERADO*0.0*0.9**4687079.03*105*0.0*29629664*false*6.3216***0.06*0.01*-0.16*0.4*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Semester 1 2010*2010-01-01*2010-06-30*1948*N/D*A (S&P)*MODERADO*0.0*0.71**6991263.95*120*0.0*44265496*false*6.3315***0.12*0.02*-1.41*0.68*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Trimester 1 2010*2010-01-01*2010-03-31*1948*N/D*A+ (S&P)*MODERADO*0.0*0.65**8228942.49*125*0.0*52845831*false*6.4219***0.06*0.01*0.35*0.17*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Semester 2 2011*2011-07-01*2011-12-31*1948*N/D*A- (IBCA)*MODERADO*0.54*1.4**3491323.94*122*0.0*22684880*false*6.4975*0.13*0.0*0.13*0.03*0.84*0.56*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Trimester 3 2011*2011-07-01*2011-09-30*1948*N/D*A- (S&P)*MODERADO*0.26*1.47**2776777.0*118*0.0*17892409*false*6.4436***0.06*0.01*0.72*0.48*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Semester 1 2011*2011-01-01*2011-06-30*1948*N/D*A- (S&P)*MODERADO*0.24*1.07**2868674.83*100*0.0*18352845*false*6.3977***0.12*0.02*0.44*0.31*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
KUTXABANK RENTA FIJA EMPRESAS, FI*KUTXAPREMIER2, FI*20674750*Trimester 1 2011*2011-01-01*2011-03-31*1948*N/D*A (S&P)*MODERADO*0.13*0.95**3119083.85*89*0.0*19867006*false*6.3695***0.06*0.01*0.7*0.3*0.08*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0157354038
