fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Semester 2 2009*2009-07-01*2009-12-31*3966*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.91**3330985.53*638*0.0*21179791*false*6.3584***0.2*0.05*0.2*0.08*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Trimester 3 2009*2009-07-01*2009-09-30*3966*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.91**3356013.32*646*0.0*21295993*false*6.3456***0.1*0.03*0.48*0.15*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1 FI*99198038*Semester 1 2009*2009-01-01*2009-06-30*3966*participes.ibercajagestion@ibercaja.net*A2*Medio*0.0*1.27**3463000.26*652*0.0*21869642*false*6.3152***0.2*0.05*0.64*0.27*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Semester 2 2010*2010-07-01*2010-12-31*3966*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.06*0.91**2098927.0*363*0.0*13465328*false*6.4153***0.2*0.05*0.3*0.14*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Trimester 3 2010*2010-07-01*2010-09-30*3966*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.92**2114652.1*368*0.0*13525905*false*6.3963***0.1*0.03*0.67*0.25*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Semester 1 2010*2010-01-01*2010-06-30*3966*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.13*0.88**2126529.76*372*0.0*13511590*false*6.3538***0.2*0.05*-0.26*1.02*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Trimester 1 2010*2010-01-01*2010-03-31*3966*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.86**2395080.72*446*0.0*15257268*false*6.3703***0.1*0.02*0.19*0.08*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Trimester 3 2011*2011-07-01*2011-09-30*3966*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.0*1.51**6495710.99*1437*0.0*42440634*false*6.5336***0.1*0.03*0.68*0.33*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Semester 1 2011*2011-01-01*2011-06-30*3966*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.02*1.04**6558306.05*1448*0.0*42561753*false*6.4897***0.28*0.06*0.7*0.17*0.2*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Trimester 1 2011*2011-01-01*2011-03-31*3966*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.0*0.89**5696978.9*1224*0.0*36716615*false*6.4449***0.1*0.02*0.46*0.25*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Semester 2 2010*2010-07-01*2010-12-31*3966*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.06*0.91**2098927.0*363*0.0*13465328*false*6.4153***0.2*0.05*0.3*0.14*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Trimester 3 2012*2012-07-01*2012-09-30*3966*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Medio*0.0*0.79**5756266.47*1305*0.0*38265388*false*6.6476*0.16*0.0*0.16*0.03*1.62*0.86*0.19*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Semester 1 2012*2012-01-01*2012-06-30*3966*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Medio*0.54*1.07**5811321.22*1314*0.0*38015510*false*6.5416*0.29*0.0*0.29*0.05*-1.01*0.91*0.19*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Trimester 1 2012*2012-01-01*2012-03-31*3966*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.21*1.0**5871398.12*1320*0.0*38800371*false*6.6084*0.13*0.0*0.13*0.02*0.51*0.37*0.16*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Semester 2 2011*2011-07-01*2011-12-31*3966*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.0*1.44**6461534.24*1436*0.0*42485315*false*6.5751*0.2*0.0*0.2*0.05*0.63*0.26*0.13*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Semester 2 2013*2013-07-01*2013-12-31*3966*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*3 (en una escala del 1 al 7)*0.0*0.46**4341225.48*1031*0.0*29573842*false*6.8123*0.33*0.0*0.33*0.05*0.21*0.17*0.19*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Trimester 3 2013*2013-07-01*2013-09-30*3966*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*3 (en una escala del 1 al 7)*0.0*0.5**4352888.53*1033*0.0*29591520*false*6.7981*0.16*0.0*0.16*0.03*0.47*0.24*0.19*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA DEUDA CORPORATIVA 2024, FI*IBERCAJA RF 1 AÑO- 1*99198038*Semester 1 2013*2013-01-01*2013-06-30*3966*participes.ibercajagestion@ibercaja.net*A1 (Moody's)*Medio*0.96*0.68**4383232.16*1028*0.0*29657218*false*6.7661*0.32*0.0*0.32*0.05*0.58*0.4*0.19*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
