fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2009*2009-07-01*2009-12-31*2187*N/D*ND*Medio*0.5*0.24**140349.38*106*0.0*17727056*false*126.3066***0.11*0.04*0.24*0.23*0.09*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2009*2009-07-01*2009-09-30*2187*N/D*ND*Medio*0.24*0.23**140349.38*106*0.0*17685199*false*126.0084***0.06*0.02*0.53*0.26*0.09*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2009*2009-01-01*2009-06-30*2187**ND*Medio*1.02*0.91**140349.38*106*0.0*17591835*false*125.3432***0.11*0.04*0.3*0.15*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2010*2010-07-01*2010-12-31*2187*N/D*ND*Medio*1.12*0.57**154969.45*107*0.0*19644190*false*126.7617***0.11*0.04*0.17*0.3*0.09*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2010*2010-07-01*2010-09-30*2187*N/D*ND*Medio*0.14*0.37**151218.89*106*0.0*19136853*false*126.5507***0.06*0.02*0.72*0.27*0.09*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2010*2010-01-01*2010-06-30*2187*N/D*ND*Medio*0.53*0.31**151218.89*106*0.0*19000446*false*125.6486***0.11*0.04*-0.67*1.02*0.09*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2010*2010-01-01*2010-03-31*2187*N/D*ND*Medio*0.28*0.23**152055.25*107*0.0*19235299*false*126.502***0.05*0.02*0.15*0.2*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2011*2011-07-01*2011-09-30*2187*N/D*ND*Medio*0.38*1.08**146102.76*107*0.0*18673193*false*127.8086***0.06*0.02*0.27*0.37*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2011*2011-01-01*2011-06-30*2187*N/D*ND*Medio*0.27*0.78**146102.68*97*0.0*18623495*false*127.4685***0.11*0.04*0.39*0.2*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2011*2011-01-01*2011-03-31*2187*N/D*ND*Medio*0.13*0.57**146523.33*98*0.0*18604702*false*126.9743***0.05*0.02*0.17*0.27*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2010*2010-07-01*2010-12-31*2187*N/D*ND*Medio*1.12*0.57**154969.45*107*0.0*19644190*false*126.7617***0.11*0.04*0.17*0.3*0.09*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2012*2012-07-01*2012-12-31*2187*N/D*ND*4 (en una escala del 1 al 7)*1.1*0.12**140681.46*105*0.0*18439598*false*131.0734*0.11*0.0*0.11*0.04*0.34*0.32*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2012*2012-07-01*2012-09-30*2187*N/D*ND*4 (en una escala del 1 al 7)*0.89*0.15**141913.62*105*0.0*18537470*false*130.625*0.06*0.0*0.06*0.02***0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2012*2012-01-01*2012-06-30*2187*N/D*ND*4 (en una escala del 1 al 7)*1.04*0.24**149052.37*105*0.0*19360002*false*129.8872*0.11*0.0*0.11*0.04*0.33*0.36*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2012*2012-01-01*2012-03-31*2187*N/D*ND*Medio*0.59*0.23**145972.02*106*0.0*18896754*false*129.4546*0.05*0.0*0.05*0.02*0.81*0.28*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2013*2013-07-01*2013-12-31*2187*N/D*ND*4 (en una escala del 1 al 7)*0.42*0.06**139914.59*104*0.0*18600007*false*132.9383*0.11*0.0*0.11*0.04*0.51*0.48*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2013*2013-07-01*2013-09-30*2187*N/D*ND*4 (en una escala del 1 al 7)*0.23*0.04**139914.59*104*0.0*18505758*false*132.2647*0.06*0.0*0.06*0.02*0.46*0.55*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2013*2013-01-01*2013-06-30*2187*N/D*ND*4 (en una escala del 1 al 7)*2.39*0.08**139914.59*104*0.0*18420722*false*131.6569*0.11*0.0*0.11*0.04*0.02*0.57*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2013*2013-01-01*2013-03-31*2187*N/D*ND*4 (en una escala del 1 al 7)*1.04*0.08**140988.86*105*0.0*18557586*false*131.6245*0.05*0.0*0.05*0.02*0.42*0.37*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2014*2014-07-01*2014-09-30*2187*N/D*ND*4 (en una escala del 1 al 7)*0.04*0.08**139914.59*104*0.0*18753812*false*134.0376*0.06*0.0*0.06*0.02*0.2*0.32*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2014*2014-01-01*2014-06-30*2187*N/D*ND*4 (en una escala del 1 al 7)*1.01*0.19**139914.59*104*0.0*18716428*false*133.7704*0.11*0.0*0.11*0.04*0.26*0.25*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2014*2014-01-01*2014-03-31*2187*N/D*ND*4 (en una escala del 1 al 7)*0.61*0.17**139914.59*104*0.0*18668410*false*133.4272*0.05*0.0*0.05*0.02*0.37*0.23*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2013*2013-07-01*2013-12-31*2187*N/D*ND*4 (en una escala del 1 al 7)*0.42*0.06**139914.59*104*0.0*18600007*false*132.9383*0.11*0.0*0.11*0.04*0.51*0.48*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2015*2015-07-01*2015-09-30*2187*N/D*ND*4 (en una escala del 1 al 7)*0.2*0.08**140709.39*103*0.0*18964633*false*134.7787*0.06*0.0*0.06*0.02*0.02*0.29*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2015*2015-01-01*2015-06-30*2187*N/D*ND*4 (en una escala del 1 al 7)*0.21*0.21**140308.94*102*0.0*18907269*false*134.7546*0.11*0.0*0.11*0.04*-0.26*0.34*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2015*2015-01-01*2015-03-31*2187*N/D*ND*4 (en una escala del 1 al 7)*0.16*0.25**140308.95*103*0.0*18956613*false*135.1062*0.05*0.0*0.05*0.02*0.5*0.5*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2014*2014-07-01*2014-12-31*2187*N/D*ND*4 (en una escala del 1 al 7)*0.12*0.18**139914.53*102*0.0*18809897*false*134.4385*0.11*0.0*0.11*0.04*0.3*0.36*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2016*2016-07-01*2016-12-31*2187*N/D*ND*4 (en una escala del 1 al 7)*0.11*0.01**140616.23*101*0.0*19392186*false*137.9086*0.11*0.0*0.11*0.04*0.8*1.03*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2016*2016-07-01*2016-09-30*2187*N/D*ND*4 (en una escala del 1 al 7)*0.05*0.01**140583.22*99*0.0*19233891*false*136.815*0.06*0.0*0.06*0.02*-0.1*0.74*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2016*2016-01-01*2016-06-30*2187*N/D*ND*4 (en una escala del 1 al 7)*0.19*0.08**140583.25*100*0.0*19253096*false*136.9516*0.11*0.0*0.11*0.04*1.28*1.83*0.04*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2016*2016-01-01*2016-03-31*2187*N/D*ND*4 (en una escala del 1 al 7)*0.03*0.08**140627.77*103*0.0*19016655*false*135.2269*0.05*0.0*0.05*0.02*0.23*0.29*0.12*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 3 2017*2017-07-01*2017-09-30*2187*fondosfi@inverseguros.es*ND*4 (en una escala del 1 al 7)*0.47*0.0**139933.14*84*0.0*19436288*false*138.897*0.06*0.0*0.06*0.02*-0.02*0.57*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 1 2017*2017-01-01*2017-06-30*2187*N/D*ND*4 (en una escala del 1 al 7)*0.38*0.0**140111.12*87*0.0*19465316*false*138.9277*0.11*0.0*0.11*0.04*0.11*0.62*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Trimester 1 2017*2017-01-01*2017-03-31*2187*N/D*ND*4 (en una escala del 1 al 7)*0.03*0.0**139931.12*89*0.0*19419445*false*138.7786*0.05*0.0*0.05*0.02*0.63*1.31*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2016*2016-07-01*2016-12-31*2187*N/D*ND*4 (en una escala del 1 al 7)*0.11*0.01**140616.23*101*0.0*19392186*false*137.9086*0.11*0.0*0.11*0.04*0.8*1.03*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
NUCLEFON, FI*NUCLEFON FI*82686775*Semester 2 2018*2018-07-01*2018-12-31*2187*fondosfi@inverseguros.es*ND*4 (en una escala del 1 al 7)*0.63*0.0**138088.57*100*0.0*18643378*false*135.0103*0.09*0.0*0.09*0.03*-1.12*0.8*0.08*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*ES0166486037
