fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN PRUDENTE DISTRIBUCION FI*93573863*Semester 2 2017*2017-07-01*2017-12-31*5215*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3, en una escala de 1 a 7*0.0*0.0**148529.65*10*0.0*886668*false*5.9696*0.1**0.1*0.01***0.87*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN PRUDENTE DISTRIBUCION FI*93573863*Semester 2 2018*2018-07-01*2018-12-31*5215*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3, en una escala de 1 a 7*0.27*0.0**2064564.67*292*0.0*11446297*false*5.5442*0.38**0.38*0.04***0.36*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN PRUDENTE DISTRIBUCION FI*93573863*Trimester 3 2018*2018-07-01*2018-09-30*5215*apoyoredunigest@grupounicaja.es*BBB (Standard & Poor's)*3, en una escala de 1 a 7*0.24*0.0**2116894.31*302*0.0*12382553*false*5.8494*0.19**0.19*0.02*0.69*2.1*0.35*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN PRUDENTE DISTRIBUCION FI*93573863*Semester 1 2018*2018-01-01*2018-06-30*5215*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3, en una escala de 1 a 7*0.1*0.0**2144687.11*287*0.0*12459033*false*5.8093*0.37**0.37*0.03*-1.03*2.37*0.34*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN PRUDENTE DISTRIBUCION FI*93573863*Trimester 1 2018*2018-01-01*2018-03-31*5215*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3, en una escala de 1 a 7*0.05*0.0**1470653.17*188*0.0*8632117*false*5.8696*0.18**0.18*0.02*-1.68*2.8*0.35*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN MODERADO DISTRIBUCIÓN FI*93573863*Trimester 3 2019*2019-07-01*2019-09-30*5215*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*3, en una escala de 1 a 7*0.19*-0.17**2066896.71*329*0.0*12171028*false*5.8886*0.19**0.19*0.02*1.13*1.97*0.35*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN MODERADO DISTRIBUCIÓN FI*93573863*Semester 1 2019*2019-01-01*2019-06-30*5215*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3, en una escala de 1 a 7*0.79*-0.3**2113482.59*318*0.0*12306098*false*5.8227*0.37**0.37*0.03*1.04*1.97*0.33*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN PRUDENTE DISTRIBUCION FI*93573863*Trimester 1 2019*2019-01-01*2019-03-31*5215*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3, en una escala de 1 a 7*0.2*-0.33**2070270.51*293*0.0*11930926*false*5.763*0.18**0.18*0.02*3.95*2.56*0.34*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN PRUDENTE DISTRIBUCION FI*93573863*Semester 2 2018*2018-07-01*2018-12-31*5215*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3, en una escala de 1 a 7*0.27*0.0**2064564.67*292*0.0*11446297*false*5.5442*0.38**0.38*0.04***0.36*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN MODERADO DISTRIBUCIÓN FI*93573863*Trimester 3 2020*2020-07-01*2020-09-30*5215*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*3, en una escala de 1 a 7*0.03*-0.24**2295088.48*414*0.0*13472135*false*5.87*0.19**0.19*0.02*1.84*2.6*0.34*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
UNICORP SELECCIÓN MODERADO DISTRIBUCIÓN, FI*UNIC.SELECCIÓN MODERADO DISTRIBUCIÓN FI*93573863*Semester 1 2020*2020-01-01*2020-06-30*5215*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*3, en una escala de 1 a 7*0.07*-0.23**2196919.75*393*0.0*12662573*false*5.7638*0.37**0.37*0.03*6.9*5.87*0.34*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180873004
