fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2009*2009-07-01*2009-12-31*283*N/D*Aa3 (Moody's)*Moderado*0.44*0.19**1352213.67*257*0.0*15280385*false*11.3003***0.88*0.05*-0.13*2.35*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2009*2009-07-01*2009-09-30*283*N/D*Aa3 (Moody's)*Moderado*0.33*0.22**1298184.12*250*0.0*14689573*false*11.3155***0.44*0.03*2.07*1.87*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2009*2009-01-01*2009-06-30*283*N/D*Aa3 (Moody's)*Moderado*0.45*1.01**1220940.48*244*0.0*13535576*false*11.0862***0.87*0.05*2.61*2.36*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2010*2010-07-01*2010-12-31*283*info@grupobes.es*A2 (Moody's)*Moderado*0.29*0.31**1258061.63*246*0.0*13733261*false*10.9162***0.88*0.05*-0.63*5.29*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2010*2010-07-01*2010-09-30*283*info@grupobes.es*Aa3 (Moody's)*Moderado*0.15*0.21**1320092.98*253*0.0*14502010*false*10.9856***0.44*0.03*1.4*4.1*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2010*2010-01-01*2010-06-30*283*info@grupobes.es*Aa3 (Moody's)*Moderado*0.66*0.18**1336977.22*256*0.0*14484300*false*10.8336***0.87*0.05*-3.67*10.75*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2010*2010-01-01*2010-03-31*283*N/D*Aa3 (Moody's)*Moderado*0.29*0.16**1371654.17*262*0.0*15426357*false*11.2465***0.43*0.02*-0.48*2.73*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 2 2011*2011-07-01*2011-12-31*283*info@grupobes.es*Ba1 (Moody's)*Moderado*0.59*0.99**1037631.09*214*0.0*10528457*false*10.1466*0.88*0.0*0.88*0.05*1.25*9.98*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 3 2011*2011-07-01*2011-09-30*283*info@grupobes.es*Ba1 (Moody's)*Moderado*0.2*0.98**1149541.61*235*0.0*11519721*false*10.0211***0.44*0.03*-8.92*11.68*0.48*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Semester 1 2011*2011-01-01*2011-06-30*283*info@grupobes.es*Baa2 (Moody's)*Moderado*0.5*0.69**1211068.96*233*0.0*13324431*false*11.0022***0.87*0.05*0.02*3.34*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
FONDIBAS, FI*FONDIBAS, FI*80116478*Trimester 1 2011*2011-01-01*2011-03-31*283*info@grupobes.es*A2 (Moody's)*Moderado*0.3*0.53**1228273.61*237*0.0*13510543*false*10.9996***0.43*0.02*0.76*3.0*0.47*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*ES0138936036
