fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Trimester 3 2009*2009-07-01*2009-09-30*965*gestora@fineco.com*AA  (S&P)*medio alto*0.02*0.23**2226926.71*286*0.0*19553635*false*8.7805***0.58*0.01*8.04*9.93*0.6*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Semester 1 2009*2009-01-01*2009-06-30*965*gestora@fineco.com*AA  (S&P)*medio alto*1.16*0.9**1805329.3*261*0.0*14672815*false*8.1275***0.27*0.02*12.79*15.13*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Semester 2 2010*2010-07-01*2010-12-31*965*gestora@fineco.com*AA  (S&P)*medio alto*0.47*0.44**1211482.96*110*0.0*11911709*false*9.8323***0.72*0.03****G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Trimester 3 2010*2010-07-01*2010-09-30*965*gestora@fineco.com*AA  (S&P)*medio alto*0.01*0.32**2244345.97*292*0.0*20692060*false*9.2196***0.21*0.01*5.48*11.23*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Semester 1 2010*2010-01-01*2010-06-30*965*gestora@fineco.com*AA  (S&P)*medio alto*0.01*0.21**2255712.59*289*0.0*19717153*false*8.741***0.05*0.02*-4.69*19.87*-0.11*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Trimester 1 2010*2010-01-01*2010-03-31*965*gestora@fineco.com*AA  (S&P)*medio alto*0.02*0.22**2264065.34*291*0.0*20763891*false*9.1711***0.18*0.01*1.42*8.39*0.2*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Semester 2 2011*2011-07-01*2011-12-31*965*gestora@fineco.com*AA- (S&P)*Medio / Alto*0.0*0.98**3500588.55*329*0.0*29759640*false*8.5013*0.44**0.44*0.03*7.37*31.23*0.26*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Trimester 3 2011*2011-07-01*2011-09-30*965*gestora@fineco.com*AA  (S&P)*Medio / Alto*0.0*1.05**3661365.21*340*0.0*28991139*false*7.9181***0.22*0.01*-19.67*33.98*0.25*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Semester 1 2011*2011-01-01*2011-06-30*965*gestora@fineco.com*AA  (S&P)*Medio / Alto*0.2*0.73**3517089.65*329*0.0*34667149*false*9.8568***0.37*0.02*-0.33*15.93*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Trimester 1 2011*2011-01-01*2011-03-31*965*gestora@fineco.com*AA  (S&P)*Medio / Alto*0.3*0.53**3566221.66*296*0.0*35269029*false*9.8897***0.19*0.01*0.58*12.75*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
FON FINECO EUROLIDER, FI*FON FINECO EURO LIDER FI*48899678*Semester 2 2012*2012-07-01*2012-12-31*965*gestora@fineco.com*A-  (S&P)*Medio / Alto*0.0*0.09**3314672.62*366*0.0*32563127*false*9.8239*0.4**0.4*0.03*6.06*12.86*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138584034
