fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Trimester 3 2015*2015-07-01*2015-09-30*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.07*0.0**58147.79*23*0.0*5759711*false*99.053*0.15*0.0*0.15*0.02*-3.28*9.43*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Semester 1 2015*2015-01-01*2015-06-30*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.54*0.0**57968.6*21*0.0*5936410*false*102.4073*0.3*0.0*0.3*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Semester 1 2015*2015-01-01*2015-06-30*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.54*0.0**63703.45*14*1.49*6428550*false*100.9137*0.3*0.0*0.3*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Trimester 1 2015*2015-01-01*2015-03-31*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.32*0.0**57731.06*18*0.0*6040744*false*104.6359*0.15*0.0*0.15*0.03*5.09*5.53*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Trimester 1 2015*2015-01-01*2015-03-31*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.32*0.0**63703.45*14*0.0*6665671*false*104.636*0.15*0.0*0.15*0.02*5.09*5.53*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Semester 2 2014*2014-07-01*2014-12-31*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.0*0.12**53683.84*14*0.0*5344963*false*99.5637*0.09*0.0*0.09*0.02*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Semester 2 2014*2014-07-01*2014-12-31*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.0*0.12**63703.45*14*0.0*6342555*false*99.5638*0.1*0.0*0.1*0.02*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Semester 2 2016*2016-07-01*2016-12-31*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.0*-0.15**60846.63*127*0.0*6650107*false*109.2929*0.3*0.0*0.3*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Semester 2 2016*2016-07-01*2016-12-31*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.0*-0.15**64601.54*15*3.0*6758627*false*104.6202*0.3*0.0*0.3*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Trimester 3 2016*2016-07-01*2016-09-30*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.05*0.0**59866.81*108*0.0*6339655*false*105.896*0.15*0.0*0.15*0.02*5.02*6.3*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Trimester 3 2016*2016-07-01*2016-09-30*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.05*0.0**63800.81*15*0.0*6649329*false*104.2201*0.15*0.0*0.15*0.02*5.11*6.4*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Semester 1 2016*2016-01-01*2016-06-30*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.34*0.0**58131.3*97*0.0*5861368*false*100.8298*0.3*0.0*0.3*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Semester 1 2016*2016-01-01*2016-06-30*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.34*0.0**63800.81*15*0.0*6325902*false*99.1508*0.3*0.0*0.3*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE A FI*66421264*Trimester 1 2016*2016-01-01*2016-03-31*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.0*0.0**58206.62*99*0.0*5868752*false*100.8262*0.15*0.0*0.15*0.02*-0.82*8.73*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO SOSTENIBLE ISR, FI*GVC GAESCO SOSTENIBLE ISR CLASE R FI*66421264*Trimester 1 2016*2016-01-01*2016-03-31*4826*info@gvcgaesco.es*nd*5 (En una escala del 1 al 7)*0.0*0.0**63800.81*15*0.0*6325510*false*99.1447*0.15*0.0*0.15*0.02*-0.83*8.88*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
