fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2009*2009-07-01*2009-12-31*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Medio-Alto*0.42*0.26**1641289.75*1812*0.0*23837271*false*14.5235***1.13*0.05*2.48*3.58*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2009*2009-07-01*2009-09-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Medio-Alto*0.28*0.26**1647162.44*1800*0.0*23342907*false*14.1716***0.57*0.03*1.75*4.15*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2009*2009-01-01*2009-06-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Medio-Alto*0.34*1.07**1687547.23*1843*0.0*23504364*false*13.9281***1.12*0.05*6.48*4.42*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2010*2010-07-01*2010-12-31*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Muy Alto*0.27*0.42**1430233.88*1668*0.0*21788433*false*15.2342***1.14*0.05*5.97*8.25*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2010*2010-07-01*2010-09-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Alto*0.03*0.32**1448844.55*1680*0.0*20828547*false*14.376***0.57*0.03*2.91*9.22*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2010*2010-01-01*2010-06-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Alto*0.3*0.26**1608416.78*1730*0.0*22468475*false*13.9693***1.12*0.05*-6.05*16.77*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2010*2010-01-01*2010-03-31*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Medio-Alto*0.09*0.21**1615908.1*1766*0.0*24027153*false*14.8691***0.56*0.02*2.38*6.42*0.58*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2011*2011-07-01*2011-09-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Muy Alto*0.43*1.16**1404424.2*1615*0.0*18469718*false*13.1511***0.57*0.03*-16.05*32.48*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2011*2011-01-01*2011-06-30*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Muy Alto*0.65*0.7**1439375.42*1629*0.0*22548621*false*15.6656***1.12*0.05*0.0*9.49*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2011*2011-01-01*2011-03-31*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Muy Alto*0.21*0.51**1418703.42*1637*0.0*22225817*false*15.6663***0.55*0.02*2.84*10.16*0.58*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2010*2010-07-01*2010-12-31*2689*atencionalcliente@gesiuris.com*AA (IBCA)*Muy Alto*0.27*0.42**1430233.88*1668*0.0*21788433*false*15.2342***1.14*0.05*5.97*8.25*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2012*2012-07-01*2012-09-30*2689*atencionalcliente@gesiuris.com*Baa2 (Moody's)*Muy Alto*0.28*0.0**1261506.58*1432*0.0*18154218*false*14.3909*0.57*0.0*0.57*0.03*2.61*10.16*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2012*2012-01-01*2012-06-30*2689*atencionalcliente@gesiuris.com*Baa2 (Moody's)*Muy Alto*0.78*0.18**1288009.89*1469*0.0*18063998*false*14.0247*1.12*0.0*1.12*0.05*-4.7*17.75*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2012*2012-01-01*2012-03-31*2689*atencionalcliente@gesiuris.com*A (IBCA)*Muy Alto*0.24*0.25**1316132.34*1527*0.0*19369365*false*14.7169*0.56*0.0*0.56*0.02*3.04*7.88*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2011*2011-07-01*2011-12-31*2689*atencionalcliente@gesiuris.com*AA- (IBCA)*Muy Alto*0.86*1.06**1384584.69*1616*0.0*19775250*false*14.2824*1.14*0.0*1.14*0.05*8.6*17.53*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2013*2013-07-01*2013-09-30*2689*atencionalcliente@gesiuris.com*Baa2 (Moody's)*6 en una escala del 1al 7,*0.06*0.03**1113177.81*1283*0.0*16078370*false*14.4437*0.57*0.0*0.57*0.03*8.56*8.64*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2013*2013-01-01*2013-06-30*2689*atencionalcliente@gesiuris.com*Baa2 (Moody's)*6 en una escala del 1al 7,*0.85*0.04**1142853.78*1300*0.0*15204867*false*13.3043*1.12*0.0*1.12*0.05*-2.15*12.85*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2013*2013-01-01*2013-03-31*2689*atencionalcliente@gesiuris.com*Baa3 (Moody's)*6 en una escala del 1al 7,*0.6*0.03**1178486.4*1347*0.0*16022829*false*13.5961*0.56*0.0*0.56*0.02*-3.83*9.18*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2012*2012-07-01*2012-12-31*2689*atencionalcliente@gesiuris.com*Baa3 (Moody's)*Muy Alto*0.68*0.0**1237951.18*1394*0.0*17501593*false*14.1375*1.13*0.0*1.13*0.05*-1.76*4.69*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2014*2014-07-01*2014-12-31*2689*atencionalcliente@gesiuris.com*Baa1 (Moody's)*5 en una escala del 1al 7,*0.0*0.0**1096510.91*1293*0.0*17249802*false*15.7315*1.13*0.0*1.13*0.05*-0.87*11.41*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2014*2014-07-01*2014-09-30*2689*atencionalcliente@gesiuris.com*Baa1 (Moody's)*6 en una escala del 1al 7,*0.01*0.01**1082398.51*1291*0.0*17177432*false*15.8698*0.57*0.0*0.57*0.03*-0.6*7.4*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2014*2014-01-01*2014-06-30*2689*atencionalcliente@gesiuris.com*Baa1 (Moody's)*5 en una escala del 1al 7,*0.0*0.12**1106251.01*1303*0.0*17662233*false*15.9658*1.12*0.0*1.12*0.05*3.45*5.34*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2014*2014-01-01*2014-03-31*2689*atencionalcliente@gesiuris.com*Baa2 (Moody's)*6 en una escala del 1al 7,*0.03*0.13**1130089.62*1310*0.0*17440940*false*15.4332*0.55*0.0*0.55*0.02*2.26*7.23*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2015*2015-07-01*2015-12-31*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*5 en una escala del 1al 7,*0.0*0.0**1299826.03*1412*0.0*20791529*false*15.9956*1.13*0.0*1.13*0.05*2.33*10.05*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2015*2015-07-01*2015-09-30*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*5 en una escala del 1al 7,*0.0*0.0**1350168.16*1399*0.0*21104406*false*15.6309*0.57*0.0*0.57*0.03*-4.71*14.38*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 1 2015*2015-01-01*2015-06-30*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*5 en una escala del 1al 7,*0.0*0.0**1288765.3*1390*0.0*21140437*false*16.4036*1.12*0.0*1.12*0.05*-2.94*8.91*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 1 2015*2015-01-01*2015-03-31*2689*atencionalcliente@gesiuris.com*Baa1 (Moody's)*5 en una escala del 1al 7,*0.0*0.0**1177107.81*1329*0.0*19894008*false*16.9008*0.55*0.0*0.55*0.02*7.43*8.76*0.59*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Semester 2 2016*2016-07-01*2016-12-31*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*5 en una escala del 1al 7,*0.01*-0.01**1062463.23*1368*0.0*17319228*false*16.301*1.13*0.0*1.13*0.05*2.67*5.83*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
CATALANA OCCIDENTE PATRIMONIO, FI*CO PATRIMONIO, FI*63076483*Trimester 3 2016*2016-07-01*2016-09-30*2689*atencionalcliente@gesiuris.com*A3 (Moody's)*5 en una escala del 1al 7,*0.08*0.0**1148507.2*1382*0.0*18234823*false*15.877*0.57*0.0*0.57*0.03*2.28*7.65*0.6*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0116903032
