fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 2 2009*2009-07-01*2009-12-31*2231*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.71*0.25**1196434.04*3736*0.0*74670891*false*62.4112***0.75*0.05*2.39*3.49*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 3 2009*2009-07-01*2009-09-30*2231*comsanassetm@gruposantander.com*Aa2*Medio-Alto*0.93*0.24**1002937.85*3706*0.0*61132000*false*60.9531***0.38*0.03*4.29*4.58*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 1 2009*2009-01-01*2009-06-30*2231*comsanassetm@gruposantander.com*Aa1*Medio-Alto*0.0*1.25**975342.94*3737*0.0*57004000*false*58.4454***0.76*0.05*2.94*3.67*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 2 2010*2010-07-01*2010-12-31*2231*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.0*0.49**13047408.7*16709*0.0*882861933*false*67.6657***0.78*0.05*2.25*2.01*0.49*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 3 2010*2010-07-01*2010-09-30*2231*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.32*0.39**8219298.86*12847*0.0*543916902*false*66.1756***0.39*0.02*0.55*1.94*0.46*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 1 2010*2010-01-01*2010-06-30*2231*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.0*0.26**6414417.01*11213*0.0*422174071*false*65.8164***0.77*0.05*1.02*3.26*0.46*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 1 2010*2010-01-01*2010-03-31*2231*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.0*0.21**2743076.75*4957*0.0*178711857*false*65.1501***0.37*0.02*4.39*2.56*0.47*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 3 2011*2011-07-01*2011-09-30*2231*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.29*1.03**7925742.7*11266*0.0*500227277*false*63.1142***0.39*0.02*-6.0*5.87*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 1 2011*2011-01-01*2011-06-30*2231*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.0*0.73**11300965.0*13300*0.0*758757826*false*67.141***0.76*0.05*-0.92*4.84*0.49*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 1 2011*2011-01-01*2011-03-31*2231*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.0*0.54**14021657.92*17369*0.0*950179183*false*67.7651***0.38*0.02*0.15*4.57*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 2 2010*2010-07-01*2010-12-31*2231*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.0*0.49**13047408.7*16709*0.0*882861933*false*67.6657***0.78*0.05*2.25*2.01*0.49*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 3 2012*2012-07-01*2012-09-30*2231*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.39*0.17**4584084.13*7157*0.0*305910861*false*66.7333*0.4**0.4*0.02*-0.03*5.57*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 1 2012*2012-01-01*2012-06-30*2231*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.31*0.23**5117314.36*7585*0.0*341604960*false*66.7547*0.79**0.79*0.05*0.43*4.12*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 1 2012*2012-01-01*2012-03-31*2231*informesfondos@gruposantander.com*Aa3*Medio-Alto*0.15*0.21**5792197.47*8295*0.0*384995693*false*66.468*0.4**0.4*0.02*1.66*2.76*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIï¿½N ACTIVA, F.I.*82759937*Semester 2 2011*2011-07-01*2011-12-31*2231*informesfondos@gruposantander.com*Aa3*Medio-Alto*0.19*0.88**6433660.25*9154*0.0*420658859*false*65.3841*0.79**0.79*0.05*3.6*4.81*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIï¿½N ACTIVA, F.I.*82759937*Semester 2 2013*2013-07-01*2013-12-31*2231*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.59*0.14**1571443.39*4334*0.0*103199397*false*65.6717*0.81**0.81*0.05*-0.04*2.53*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 3 2013*2013-07-01*2013-09-30*2231*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.28*0.07**1993237.16*4859*0.0*130954646*false*65.6995*0.4**0.4*0.03*0.53*2.5*0.49*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Semester 1 2013*2013-01-01*2013-06-30*2231*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.35*0.07**2329900.86*5233*0.0*152266619*false*65.3533*0.78**0.78*0.05*-2.78*3.58*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIÓN ACTIVA, F.I.*82759937*Trimester 1 2013*2013-01-01*2013-03-31*2231*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.18*0.05**3606174.31*6182*0.0*242423958*false*67.2247*0.39**0.39*0.02*-1.21*5.49*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
SANTANDER RETORNO ABSOLUTO, FI*SANTANDER REVALORIZACIï¿½N ACTIVA, F.I.*82759937*Semester 2 2014*2014-07-01*2014-12-31*2231*comsanassetm@gruposantander.com*Baa1*5 en una escala del 1 al 7*0.87*0.03**999151.03*3301*0.0*66355620*false*66.412*0.81**0.81*0.05*-1.31*4.07*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0114271036
