fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 2 2009*2009-07-01*2009-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.0*0.0****0.0**false****1.13*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 3 2009*2009-07-01*2009-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.06*0.71****0.0**false****0.57*0.05*14.06*14.87*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 1 2009*2009-01-01*2009-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.17*2.06****0.0**false****1.12*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 2 2010*2010-07-01*2010-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.16*0.0****0.0**false****1.13*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 3 2010*2010-07-01*2010-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.09*0.42****0.0**false****0.57*0.05*5.97*16.81*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 1 2010*2010-01-01*2010-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.27*0.36****0.0**false****1.12*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 1 2010*2010-01-01*2010-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.17*0.38****0.0**false****0.56*0.05*-0.54*13.27*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 3 2011*2011-07-01*2011-09-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.04*1.32**671317.95*2533*0.0*28185000*false*41.985***0.57*0.05*-18.12*34.82*0.62*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 1 2011*2011-01-01*2011-06-30*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.14*0.88****0.0**false****1.12*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Trimester 1 2011*2011-01-01*2011-03-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.03*0.78****0.0**false****0.55*0.05*2.87*14.36*0.61*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
FONDMAPFRE BOLSA EUROPA, FI*FONDMAPFRE DIVIDENDO F.I.*81008195*Semester 2 2010*2010-07-01*2010-12-31*532*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.16*0.0****0.0**false****1.13*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0178520039
