fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 2 2009*2009-07-01*2009-12-31*249*info@profitgestion.es*n.d.*Medio*0.2*0.3**113767.55*334*0.0*179975273*false *1581.9561***0.46*0.04*1.94*3.37*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 3 2009*2009-07-01*2009-09-30*249*info@profitgestion.es*n.d.*Medio*0.11*0.23**113587.76*338*0.0*176262857*false *1551.7769***0.23*0.02*5.46*2.95*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2009*2009-01-01*2009-06-30*249*info@profitgestion.es*n.d.*Medio*0.4*0.74**114206.26*341*0.0*168046160*false*1471.4269***0.45*0.04*3.55*4.26*0.24*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 2 2010*2010-07-01*2010-12-31*249*info@profitgestion.es*n.d.*Medio*0.18*0.34**113035.42*339*0.0*181211275*false *1603.1372***0.45*0.04*0.68*3.18*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 3 2010*2010-07-01*2010-09-30*249*info@profitgestion.es*n.d.*Medio*0.21*0.3**113130.08*338*0.0*180143311*false *1592.3556***0.23*0.02*1.96*3.88*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2010*2010-01-01*2010-06-30*249*info@profitgestion.es*n.d.*Medio*0.0*0.25**113361.87*335*0.0*177038430*false *1561.7105***0.45*0.03*-3.04*6.26*0.24*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 1 2010*2010-01-01*2010-03-31*249*info@profitgestion.es*n.d.*Medio*0.03*0.21**114303.29*338*0.0*184105180*false *1610.6727***0.22*0.02*1.82*3.23*0.24*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 2 2011*2011-07-01*2011-12-31*249*info@profitgestion.es*n.d.*Medio*0.19*0.83**114651.54*337*0.0*183843886*false *1603.5012*0.45*-0.1*0.35*0.04*2.75*7.96*0.25*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 3 2011*2011-07-01*2011-09-30*249*info@profitgestion.es*n.d.*Medio*0.13*0.87**111649.93*334*0.0*174232378*false *1560.5238***0.12*0.02*-4.69*9.58*0.14*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Semester 1 2011*2011-01-01*2011-06-30*249*info@profitgestion.es*n.d.*Medio*0.37*0.65**111616.29*335*0.0*182748164*false *1637.2893***0.55*0.03*0.85*3.35*0.29*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
FONPROFIT, FI*FONPROFIT, FI*80031115*Trimester 1 2011*2011-01-01*2011-03-31*249*info@profitgestion.es*n.d.*Medio*0.1*0.45**111442.74*332*0.0*180918989*false *1623.4255***0.28*0.02*1.27*3.19*0.3*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0138929031
