fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Semester 2 2011*2011-07-01*2011-12-31*1777*N/D*Ba1 (Moody's)*Medio*1.57*1.07**135964.06*1033*0.0*11623627*false*85.4904*0.5*0.0*0.5*0.1*0.12*2.66*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Semester 2 2013*2013-07-01*2013-12-31*1777*N/D*Ba3 (Moody's)*4 en una escala del 1 al 7*0.82*0.1**184313.95*741*0.0*18256330*false*99.0502*0.61*0.0*0.61*0.03*1.42*1.49*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Trimester 3 2013*2013-07-01*2013-09-30*1777*N/D*Ba3 (Moody's)*4 en una escala del 1 al 7*0.16*0.1**183628.03*810*0.0*17934351*false*97.6667*0.3*0.0*0.3*0.01*2.19*1.66*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Semester 1 2013*2013-01-01*2013-06-30*1777*N/D*Ba3 (Moody's)*4 en una escala del 1 al 7*2.36*0.1**189158.87*883*0.0*18078616*false*95.5737*0.6*0.0*0.6*0.02*0.28*3.09*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Trimester 1 2013*2013-01-01*2013-03-31*1777*N/D*Ba3 (Moody's)*4 en una escala del 1 al 7*1.32*0.1**194199.63*963*0.0*18507926*false*95.3036*0.3*0.0*0.3*0.01*0.27*1.94*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 2 2014*2014-07-01*2014-12-31*1777*N/D*B2 (Moody's)*4 en una escala del 1 al 7*1.08*0.09**168377.48*622*0.0*18182683*false*107.9876*0.61*0.0*0.61*0.03*1.54*1.78*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Trimester 3 2014*2014-07-01*2014-09-30*1777*N/D*B2 (Moody's)*4 en una escala del 1 al 7*0.16*0.1**178412.65*636*0.0*18973719*false*106.3474*0.3*0.0*0.3*0.01*1.53*2.14*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Semester 1 2014*2014-01-01*2014-06-30*1777*N/D*Ba3 (Moody's)*4 en una escala del 1 al 7*1.17*0.1**202751.89*728*0.0*21237677*false*104.7471*0.59*0.0*0.59*0.02*2.53*2.28*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*ESAF RENTA FIJA LARGO, FI*82281775*Trimester 1 2014*2014-01-01*2014-03-31*1777*N/D*Ba3 (Moody's)*4 en una escala del 1 al 7*0.67*0.1**193602.77*724*0.0*19778030*false*102.1578*0.3*0.0*0.3*0.01*3.14*1.5*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 2 2015*2015-07-01*2015-12-31*1777*info@gruponovobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.57*0.1**125205.38*513*0.0*13220072*false*105.5871*0.61*0.0*0.61*0.03*0.99*1.89*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 3 2015*2015-07-01*2015-09-30*1777*info@gruponovobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.11*0.1**142361.48*542*0.0*14884286*false*104.5528*0.3*0.0*0.3*0.01*-0.68*2.1*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 1 2015*2015-01-01*2015-06-30*1777*N/D*B2 (Moody's)*4 en una escala del 1 al 7*2.87*0.1**158328.5*572*0.0*16666245*false*105.2637*0.6*0.0*0.6*0.02*-5.28*3.25*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 1 2015*2015-01-01*2015-03-31*1777*N/D*B2 (Moody's)*4 en una escala del 1 al 7*2.06*0.1**185799.74*636*0.0*20648370*false*111.1324*0.3*0.0*0.3*0.01*2.91*2.59*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 2 2016*2016-07-01*2016-12-31*1777*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.74*0.1**92416.42*438*0.0*10008263*false*108.2953*0.6*0.0*0.6*0.03*-1.64*2.26*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 3 2016*2016-07-01*2016-09-30*1777*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.44*0.1**98627.43*457*0.0*10858900*false*110.1002*0.3*0.0*0.3*0.01*1.69*2.28*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 1 2016*2016-01-01*2016-06-30*1777*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*1.81*0.1**101678.23*472*0.0*11009102*false*108.2739*0.6*0.0*0.6*0.02*1.19*1.9*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 1 2016*2016-01-01*2016-03-31*1777*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.59*0.1**104118.53*482*0.0*11140527*false*106.9985*0.3*0.0*0.3*0.01*1.34*3.42*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 3 2017*2017-07-01*2017-09-30*1777*info@gruponovobanco.es*NR (S&P)*4 en una escala del 1 al 7*0.33*0.1**84301.18*371*0.0*9288980*false*110.188*0.3*0.0*0.3*0.01*0.81*1.17*0.34*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 1 2017*2017-01-01*2017-06-30*1777*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*1.81*0.06**83247.59*377*0.0*9098832*false*109.2984*0.6*0.0*0.6*0.02*0.89*1.36*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 1 2017*2017-01-01*2017-03-31*1777*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*1.34*0.1**87227.22*412*0.0*9450165*false*108.3396*0.3*0.0*0.3*0.01*0.04*1.7*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 2 2016*2016-07-01*2016-12-31*1777*info@gruponovobanco.es*Caa1 (Moody's)*4 en una escala del 1 al 7*0.74*0.1**92416.42*438*0.0*10008263*false*108.2953*0.6*0.0*0.6*0.03*-1.64*2.26*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 2 2018*2018-07-01*2018-12-31*1777*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.62*0.0**71460.81*296*0.0*7639331*false*106.9024*0.61*0.0*0.61*0.03*-1.34*1.47*0.34*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 3 2018*2018-07-01*2018-09-30*1777*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.53*0.0**73249.79*308*0.0*7937097*false*108.3566*0.3*0.0*0.3*0.01*-0.19*1.04*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 1 2018*2018-01-01*2018-06-30*1777*info@gruponovobanco.es*NR (S&P)*4 en una escala del 1 al 7*0.99*0.0**77909.38*324*0.0*8458126*false*108.5636*0.6*0.0*0.6*0.02*-1.41*1.43*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 1 2018*2018-01-01*2018-03-31*1777*info@gruponovobanco.es*NR (S&P)*4 en una escala del 1 al 7*0.21*0.1**83078.16*346*0.0*9148180*false*110.1154*0.3*0.0*0.3*0.01*-0.52*1.22*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 2 2019*2019-07-01*2019-12-31*1777*info@gruponovobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.02*0.1**69500.81*276*0.0*7679604*false*110.4966*0.61*0.0*0.61*0.03*-0.21*0.77*0.34*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 3 2019*2019-07-01*2019-09-30*1777*info@gruponovobanco.es*NR (S&P)*4 en una escala del 1 al 7*0.0*0.1**70825.62*281*0.0*7842335*false*110.7274*0.3*0.0*0.3*0.01*0.34*0.86*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 1 2019*2019-01-01*2019-06-30*1777*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.0*0.1**72299.08*288*0.0*7978605*false*110.3556*0.6*0.0*0.6*0.02*1.19*1.12*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 1 2019*2019-01-01*2019-03-31*1777*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.0*0.1**71795.38*290*0.0*7830047*false*109.0606*0.3*0.0*0.3*0.01*2.02*1.22*0.34*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 3 2020*2020-07-01*2020-09-30*1777*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.0*0.1**70183.18*262*0.0*7691169*false*109.5871*0.3*0.0*0.3*0.01*0.92*0.71*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 1 2020*2020-01-01*2020-06-30*1777*info@gruponovobanco.es*Caa2 (Moody's)*4 en una escala del 1 al 7*0.0*0.1**70190.57*268*0.0*7621942*false*108.5893*0.6*0.0*0.6*0.02*2.73*2.31*0.34*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Trimester 1 2020*2020-01-01*2020-03-31*1777*info@gruponovobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.0*0.1**71485.23*270*0.0*7556007*false*105.7002*0.3*0.0*0.3*0.01*-4.34*3.67*0.33*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
TREA NB RENTA FIJA LARGO, FI*NB RENTA FIJA LARGO, FI*82281775*Semester 2 2019*2019-07-01*2019-12-31*1777*info@gruponovobanco.es*B2 (Moody's)*4 en una escala del 1 al 7*0.02*0.1**69500.81*276*0.0*7679604*false*110.4966*0.61*0.0*0.61*0.03*-0.21*0.77*0.34*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0168662031
