fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2009*2009-07-01*2009-12-31*2295*35049900@bancopopular.es*Aa3*Medio*0.47*0.3**158551.58*2988*0.0*50786138*false*320.313***0.68*0.08*15.97*20.6*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2009*2009-07-01*2009-09-30*2295*35049900@bancopopular.es*Aa3*Medio*0.14*0.33**116466.56*2401*0.0*32168746*false*276.2059***0.34*0.04*19.74*17.89*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2009*2009-01-01*2009-06-30*2295*35049900@bancopopular.es*Aa3*Medio*0.43*0.83**103916.95*2143*0.0*23971666*false*230.681***0.67*0.07*32.19*27.23*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2010*2010-07-01*2010-12-31*2295*35049900@bancopopular.es*Aa3*Alto*0.12*0.46**182246.97*3251*0.0*70518217*false*386.9377***1.93*0.08*7.55*10.79*1.0*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2010*2010-07-01*2010-09-30*2295*35049900@bancopopular.es*Aa3*Alto*0.06*0.35**178682.32*3135*0.0*64287091*false*359.7843***0.97*0.04*7.27*12.74*1.01*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2010*2010-01-01*2010-06-30*2295*35049900@bancopopular.es*Aa3*Alto*0.5*0.18**176576.67*3065*0.0*59221925*false*335.3893***0.94*0.07*-0.9*24.29*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 1 2010*2010-01-01*2010-03-31*2295*35049900@bancopopular.es*Aa3*Alto*0.35*0.23**180288.11*3127*0.0*61016225*false*338.4373***0.76*0.04*5.66*19.05*0.8*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 2 2011*2011-07-01*2011-12-31*2295*35049900@bancopopular.es*BBB+*Alto*0.24*0.1**102395.9*2048*0.0*31935465*false*311.8823*0.68**0.68*0.08*10.79*19.46*0.48*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 3 2011*2011-07-01*2011-09-30*2295*35049900@bancopopular.es*A-*Alto*0.17*0.08**105585.52*2142*0.0*29722570*false*281.5023***0.34*0.04*-18.07*28.75*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Semester 1 2011*2011-01-01*2011-06-30*2295*35049900@bancopopular.es*A-*Alto*0.63*0.15**119487.94*2418*0.0*41054297*false*343.5853***0.67*0.07*-4.53*13.21*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
EUROVALOR IBEROAMERICA, FI*EUROVALOR IBEROAMERICA*82766775*Trimester 1 2011*2011-01-01*2011-03-31*2295*35049900@bancopopular.es*Aa3*Alto*0.45*0.22**134120.02*2640*0.0*48267489*false*359.8828***0.33*0.04*-6.99*14.29*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133576035
